
[00:00:00.000 --> 00:00:02.000]  在最後一章的約伯記
[00:00:02.000 --> 00:00:07.000]  我們看到約伯經歷了一切苦難之後
[00:00:07.000 --> 00:00:11.000]  他就得到他所失去的一切
[00:00:11.000 --> 00:00:14.000]  並且得到雙倍
[00:00:14.000 --> 00:00:16.000]  有人可能會指出
[00:00:16.000 --> 00:00:17.000]  不是的
[00:00:17.000 --> 00:00:22.000]  約伯得到雙倍的生操和其他的牛羊
[00:00:22.000 --> 00:00:27.000]  但是他的兒女仍然是七個兒子和三個女兒
[00:00:27.000 --> 00:00:33.000]  不過事實上他死去的兒女並不是沒有了
[00:00:33.000 --> 00:00:36.000]  只不過先行一步回到天家
[00:00:36.000 --> 00:00:41.000]  因此約伯一共有二十名兒女
[00:00:41.000 --> 00:00:47.000]  有些人可能會覺得這樣的喜劇收場
[00:00:47.000 --> 00:00:49.000]  好像不是很現實
[00:00:49.000 --> 00:00:53.000]  人生事實上是充滿悲劇的
[00:00:53.000 --> 00:00:59.000]  很少是喜變悲,悲又變喜這麼圓滿收場
[00:00:59.000 --> 00:01:03.000]  不過這是見仁見智的問題
[00:01:03.000 --> 00:01:07.000]  我認為很多人對約伯記所討論的事
[00:01:07.000 --> 00:01:10.000]  是掌握得未夠全面
[00:01:10.000 --> 00:01:14.000]  以為約伯只是探討苦難的原因
[00:01:14.000 --> 00:01:17.000]  或者是苦難的意義
[00:01:17.000 --> 00:01:22.000]  總之從頭到尾都是講苦難就對了
[00:01:22.000 --> 00:01:26.000]  但是假如我們這樣看約伯記
[00:01:26.000 --> 00:01:31.000]  我們就很難解釋約伯記二十八章的作用
[00:01:31.000 --> 00:01:35.000]  也很難解釋在三十八至四十一章
[00:01:35.000 --> 00:01:39.000]  為何上主問了約伯這麼多問題
[00:01:39.000 --> 00:01:45.000]  而並沒有向約伯解釋他為何受苦
[00:01:45.000 --> 00:01:49.000]  更奇怪的是約伯聽完上帝的文話之後
[00:01:49.000 --> 00:01:55.000]  又會坐在塵土和爐灰中懺悔
[00:01:55.000 --> 00:02:00.000]  事實上我認為約伯記不只是討論苦難
[00:02:00.000 --> 00:02:03.000]  而是討論人生的智慧
[00:02:03.000 --> 00:02:06.000]  而人生的真正智慧
[00:02:06.000 --> 00:02:10.000]  真正智慧的人生就是敬畏上主
[00:02:10.000 --> 00:02:12.000]  在苦難裡面
[00:02:12.000 --> 00:02:18.000]  人仍然應該用信心去相信上主的智慧
[00:02:18.000 --> 00:02:21.000]  是比我們高的
[00:02:21.000 --> 00:02:26.000]  要用毫不懷疑上主的信心
[00:02:26.000 --> 00:02:33.000]  認定上主為我們鋪排的人生道路
[00:02:33.000 --> 00:02:38.000]  一定是對我們最好的
[00:02:38.000 --> 00:02:42.000]  當苦難臨到我們身上的時候
[00:02:42.000 --> 00:02:46.000]  我們只需要憑信心
[00:02:46.000 --> 00:02:52.000]  肯定是有上帝的准許苦難才會臨到
[00:02:52.000 --> 00:02:55.000]  是一定對我們有益的
[00:02:55.000 --> 00:03:00.000]  而不需要知道原因
[00:03:00.000 --> 00:03:08.000]  所以約伯記最後一講的題目就是苦難、智慧、信心
[00:03:08.000 --> 00:03:12.000]  我記得曾經簡單介紹過約伯記的結構
[00:03:12.000 --> 00:03:16.000]  今天我想跟大家重溫一下約伯記的結構
[00:03:16.000 --> 00:03:18.000]  並且有少許修改
[00:03:18.000 --> 00:03:24.000]  然後我們從結構裡面來看看第28章的重要性
[00:03:24.000 --> 00:03:33.000]  在第一章一至五節介紹約伯
[00:03:33.000 --> 00:03:36.000]  介紹他是一個敬虔的約伯
[00:03:36.000 --> 00:03:40.000]  然後一章六節到二章十三節
[00:03:40.000 --> 00:03:44.000]  記載了上帝和撒旦的對話
[00:03:44.000 --> 00:03:47.000]  以及對撒旦的影響
[00:03:47.000 --> 00:03:49.000]  對話有兩次
[00:03:49.000 --> 00:03:53.000]  由第三章到第27章
[00:03:53.000 --> 00:03:59.000]  約伯和他三位朋友有三輪的會談
[00:03:59.000 --> 00:04:01.000]  很有趣的,一二三
[00:04:01.000 --> 00:04:06.000]  然後二十八章就是智慧之詩
[00:04:06.000 --> 00:04:09.000]  這篇詩就像一個獨白
[00:04:09.000 --> 00:04:13.000]  二十九章到三十一章就是約伯的獨白
[00:04:13.000 --> 00:04:18.000]  三十二章到三十七章就是以利戶的獨白
[00:04:18.000 --> 00:04:21.000]  然後由三十八章到四十二章六節
[00:04:21.000 --> 00:04:25.000]  是上主對約伯的說話
[00:04:25.000 --> 00:04:27.000]  以及對約伯的影響
[00:04:27.000 --> 00:04:29.000]  有兩次
[00:04:29.000 --> 00:04:32.000]  最後一段就是約伯的結局
[00:04:32.000 --> 00:04:37.000]  我們看到是一個很有福的約伯
[00:04:37.000 --> 00:04:42.000]  如果我們這樣看約伯記的話
[00:04:42.000 --> 00:04:46.000]  我們可以看出一個很工整的結構
[00:04:46.000 --> 00:04:49.000]  有前言對應著結尾
[00:04:49.000 --> 00:04:51.000]  前言是一個敬虔的約伯
[00:04:51.000 --> 00:04:55.000]  結尾是一個非常有福的約伯
[00:04:55.000 --> 00:05:00.000]  然後有上主和撒旦兩次的對話
[00:05:00.000 --> 00:05:06.000]  對應著上主和約伯的兩次對話
[00:05:06.000 --> 00:05:12.000]  中間有約伯和他三位朋友的三輪的會談
[00:05:12.000 --> 00:05:17.000]  然後有三段的獨白
[00:05:17.000 --> 00:05:19.000]  我們將第二十八章
[00:05:19.000 --> 00:05:21.000]  事實上一篇詩是一個人的獨白
[00:05:21.000 --> 00:05:25.000]  一共有三段獨白
[00:05:25.000 --> 00:05:27.000]  一二三三二一
[00:05:27.000 --> 00:05:29.000]  一種倒影結構
[00:05:29.000 --> 00:05:34.000]  這是希伯來文學的一種非常常用的手法
[00:05:34.000 --> 00:05:38.000]  而這種結構的重點通常在中間
[00:05:38.000 --> 00:05:42.000]  所以二十八章的位置就在中間
[00:05:42.000 --> 00:05:44.000]  第二部分的開始
[00:05:44.000 --> 00:05:49.000]  而且也好像和上文下理沒有什麼特殊關係
[00:05:49.000 --> 00:05:52.000]  正因為這樣
[00:05:52.000 --> 00:05:59.000]  這篇的篇幅才是作者很盼望讀者能夠注意的地方
