
[00:00:00.000 --> 00:00:01.760]  好,第一節末月晚安
[00:00:01.760 --> 00:00:05.820]  那麼在我小時候
[00:00:05.820 --> 00:00:09.840]  我不知道大家有沒有不喜歡刷牙的時候
[00:00:09.840 --> 00:00:12.140]  小時候不喜歡刷牙的時候
[00:00:12.140 --> 00:00:15.180]  我覺得我小時候不是很喜歡刷牙
[00:00:15.180 --> 00:00:17.500]  因為我覺得刷牙很麻煩
[00:00:17.500 --> 00:00:19.080]  我現在幫我兒子刷牙
[00:00:19.080 --> 00:00:21.080]  我就覺得我幫他刷牙
[00:00:21.080 --> 00:00:26.080]  經常都要哄他,又要求他才肯刷牙
[00:00:26.080 --> 00:00:29.180]  那麼我小時候刷牙就覺得很麻煩
[00:00:29.180 --> 00:00:31.180]  為什麼晚上一定要刷牙呢
[00:00:31.180 --> 00:00:34.180]  我就會做一件事想避開刷牙
[00:00:34.180 --> 00:00:35.180]  做什麼呢?
[00:00:35.180 --> 00:00:37.180]  就是假裝睡覺
[00:00:37.180 --> 00:00:41.180]  那麼假裝假裝就會真的睡著
[00:00:41.180 --> 00:00:44.180]  那麼雖然我真的睡著了
[00:00:44.180 --> 00:00:46.180]  但是每一次
[00:00:46.180 --> 00:00:49.180]  每一次當我爸爸
[00:00:49.180 --> 00:00:52.180]  我爸爸不是做牙醫的,他是做廚師
[00:00:52.180 --> 00:00:58.180]  那時候他就很注重我和我妹妹的牙齒健康
[00:00:58.180 --> 00:01:01.180]  那所以他堅持我們每一晚
[00:01:01.180 --> 00:01:03.180]  臨睡前一定要刷牙
[00:01:03.180 --> 00:01:05.180]  就是說早晚一定要刷
[00:01:05.180 --> 00:01:08.180]  為了保持牙齒健康
[00:01:08.180 --> 00:01:12.180]  但是通常他下班回到家
[00:01:12.180 --> 00:01:15.180]  通常是凌晨十二點
[00:01:15.180 --> 00:01:17.180]  那麼當他回到家
[00:01:17.180 --> 00:01:20.180]  如果知道我和我妹妹還沒有刷牙的話
[00:01:20.180 --> 00:01:24.180]  他就會強行要我們起床
[00:01:24.180 --> 00:01:28.180]  然後刷了牙再睡覺
[00:01:28.180 --> 00:01:29.180]  凌晨十二點
[00:01:29.180 --> 00:01:33.180]  對於一個睡著了的小朋友來說
[00:01:33.180 --> 00:01:38.180]  要我強行起床刷牙其實是非常不願意的事
[00:01:38.180 --> 00:01:43.180]  但是因為我和我妹妹都很不願意起床刷牙
[00:01:43.180 --> 00:01:48.180]  但是因為我爸爸強行要我起床刷
[00:01:48.180 --> 00:01:49.180]  無奈也要刷
[00:01:49.180 --> 00:01:53.180]  因為始終他會打的
[00:01:53.180 --> 00:01:55.180]  有看法的
[00:01:55.180 --> 00:01:58.180]  以前我不會說我要告你
[00:01:58.180 --> 00:02:00.180]  現在就有
[00:02:00.180 --> 00:02:02.180]  以前是不會的
[00:02:02.180 --> 00:02:05.180]  所以我們都知道不能刷太久
[00:02:05.180 --> 00:02:07.180]  無奈我都要起床刷
[00:02:07.180 --> 00:02:11.180]  當然父親就很用心良苦
