
[00:00:00.000 --> 00:00:06.000]  陳志全:各位電視節目的早安,我可以很開心地和大家一起來分享這個課題了。
[00:00:06.000 --> 00:00:11.000]  大家看看今天的題目是叫什麼名字,就是叫做「思恩忘報」。
[00:00:11.000 --> 00:00:15.000]  如果熟悉我的都知道我的女兒就叫做思恩,
[00:00:15.000 --> 00:00:18.000]  很可惜她今天要上班,不能夠聽到這篇導。
[00:00:18.000 --> 00:00:23.000]  思想神的因典,然後去渴望回報。
[00:00:23.000 --> 00:00:26.000]  我們看路加福第十七章十一到第十九節,
[00:00:26.000 --> 00:00:30.000]  記載了耶穌行了一個很獨特的神蹟,
[00:00:30.000 --> 00:00:33.000]  在其他的經文裡面沒有提到的。
[00:00:33.000 --> 00:00:36.000]  但是這個神蹟大家都非常熟悉的了,
[00:00:36.000 --> 00:00:39.000]  就是有十個麻瘋病者,
[00:00:39.000 --> 00:00:45.000]  但是耶穌醫治了他們,只有一個人回來去感謝耶穌。
[00:00:45.000 --> 00:00:49.000]  耶穌就很稀奇,為什麼只有一個人回來呢?
[00:00:49.000 --> 00:00:55.000]  我們中文有一句話就是「思恩莫忘報,忘報莫思恩」,
[00:00:55.000 --> 00:00:59.000]  當你去幫了那些人,不要期望他們會給你回報,
[00:00:59.000 --> 00:01:02.000]  如果你想的話,就不要去幫人了。
[00:01:02.000 --> 00:01:05.000]  那麼耶穌是不是有一個錯誤的心態呢?
[00:01:05.000 --> 00:01:09.000]  其實這段經文裡面有很多值得我們反省的地方,
[00:01:09.000 --> 00:01:11.000]  而我們忽略了的。
[00:01:11.000 --> 00:01:13.000]  我們先看第一點,
[00:01:13.000 --> 00:01:19.000]  就是耶穌是主動的尋找這些麻瘋病者,
[00:01:19.000 --> 00:01:23.000]  絕對不是偶然遇上的驚喜。
[00:01:23.000 --> 00:01:29.000]  聖經裡面記載到耶穌經過撒瑪利亞和加利利,
[00:01:29.000 --> 00:01:32.000]  我們要看地圖,大家就會知道了。
[00:01:32.000 --> 00:01:38.000]  原來這件事是耶穌進入耶路撒冷最後一次人生的旅程,
[00:01:38.000 --> 00:01:42.000]  在這個旅程裡面,耶穌走著走著回頭,
[00:01:42.000 --> 00:01:45.000]  撒瑪利亞在中間,
[00:01:45.000 --> 00:01:48.000]  加利利在北邊,在上面,
[00:01:48.000 --> 00:01:50.000]  耶路撒冷就在下面,
[00:01:50.000 --> 00:01:54.000]  只要從撒瑪利亞去耶路撒冷直走就行了,
[00:01:54.000 --> 00:01:57.000]  但是這次上去了加利利。
[00:01:57.000 --> 00:01:59.000]  舉一個例子,我們住在大埔,
[00:01:59.000 --> 00:02:02.000]  我們要去上水,很簡單,
[00:02:02.000 --> 00:02:07.000]  我們就坐火車去大埔、泰和、粉嶺,上水就到了。
[00:02:07.000 --> 00:02:11.000]  但是有一個人竟然下去大埔去坐van去了元朗,
[00:02:11.000 --> 00:02:16.000]  在元朗再坐車回來上水,
[00:02:16.000 --> 00:02:18.000]  是不是繞了一大圈?
[00:02:18.000 --> 00:02:23.000]  是不會這樣的,但是耶穌這次是特意上去加利利,
[00:02:23.000 --> 00:02:29.000]  所以耶穌不是偶然地遇到這十個麻瘋病者,
[00:02:29.000 --> 00:02:33.000]  他是刻意地去見這些人,
[00:02:33.000 --> 00:02:35.000]  所以我們要留意,
[00:02:35.000 --> 00:02:38.000]  不是我們去尋找我們的神,
[00:02:38.000 --> 00:02:41.000]  我十三歲開始回教會,
[00:02:41.000 --> 00:02:44.000]  但是我小時候就會想,
[00:02:44.000 --> 00:02:48.000]  我相信你,你不答應我祈禱,我不回教會了,
[00:02:48.000 --> 00:02:51.000]  我不相信你了,我們去拜我們的神。
[00:02:51.000 --> 00:02:53.000]  大聖經很清楚地說,
[00:02:53.000 --> 00:02:56.000]  原來神是首先愛我們,
[00:02:56.000 --> 00:03:00.000]  不是我們去愛我們的神先。
[00:03:00.000 --> 00:03:02.000]  這一段經文,特別是很多時候,
[00:03:02.000 --> 00:03:06.000]  人們在婚禮的時候就會講這一段經文,
[00:03:06.000 --> 00:03:08.000]  但是我也鼓勵大家轉一轉,
[00:03:08.000 --> 00:03:09.000]  為什麼呢?
[00:03:09.000 --> 00:03:12.000]  因為神先愛我們,
[00:03:12.000 --> 00:03:15.000]  所以我們就彼此相愛,
[00:03:15.000 --> 00:03:17.000]  很多未信的親戚朋友,
[00:03:17.000 --> 00:03:19.000]  他們還沒有回過教會就不知道,
[00:03:19.000 --> 00:03:21.000]  神先愛我們?
[00:03:21.000 --> 00:03:22.000]  誰是神先呢?
[00:03:22.000 --> 00:03:23.000]  是藍采和?
[00:03:23.000 --> 00:03:24.000]  還是何仙姑?
[00:03:24.000 --> 00:03:25.000]  還是鐵拐李?
[00:03:25.000 --> 00:03:28.000]  所以我們大家要怎麼說呢?
[00:03:28.000 --> 00:03:32.000]  我們愛,因為神首先愛我們。
[00:03:32.000 --> 00:03:34.000]  我覺得教會有些東西要調教一下,
[00:03:34.000 --> 00:03:36.000]  譬如一些傳統的教會就是,
[00:03:36.000 --> 00:03:38.000]  現在我們請師班出來唱詩,
[00:03:38.000 --> 00:03:42.000]  我就會說,請師哥班出來唱詩,
[00:03:42.000 --> 00:03:45.000]  因為師班是死了之後浮出來皮膚的,
[00:03:45.000 --> 00:03:46.000]  那些叫師班,
[00:03:46.000 --> 00:03:48.000]  所以有些東西我們要調教。
[00:03:48.000 --> 00:03:51.000]  好了,今天原來不是我們去尋找我們的神,
[00:03:51.000 --> 00:03:53.000]  是神尋找我們,
[00:03:53.000 --> 00:03:54.000]  還有聖經很清楚,
[00:03:54.000 --> 00:03:56.000]  在我們祈求之前,
[00:03:56.000 --> 00:03:57.000]  神已經知道,
[00:03:57.000 --> 00:04:00.000]  我們一起來讀馬達芬第六章第八節,
[00:04:00.000 --> 00:04:01.000]  馬達芬第六章第八節,
