
[00:00:00.000 --> 00:00:02.920]  「鑒古而知今」
[00:00:02.920 --> 00:00:04.540]  今天我所看這段經文
[00:00:04.540 --> 00:00:07.040]  我相信很多基督徒平時都沒有看過
[00:00:07.040 --> 00:00:08.620]  但如果你一直看下去
[00:00:08.620 --> 00:00:11.360]  你會發覺跟今天的處境是很相似的
[00:00:11.360 --> 00:00:12.980]  今天我們會看
[00:00:12.980 --> 00:00:15.620]  亞沙隆這個王子
[00:00:15.620 --> 00:00:17.920]  如何謀朝篡位
[00:00:17.920 --> 00:00:21.940]  來刪奪爸爸大位的王位
[00:00:21.940 --> 00:00:23.800]  但是過程
[00:00:23.800 --> 00:00:25.800]  很不幸地我們覺得很熟悉
[00:00:25.800 --> 00:00:28.600]  我們看看亞沙隆是一個怎樣的人
[00:00:28.600 --> 00:00:31.640]  聖經很少描繪一個人的樣貌
[00:00:31.640 --> 00:00:35.840]  但是對亞沙隆卻是一個很好的描繪
[00:00:35.840 --> 00:00:38.880]  亞沙隆的外表是非常吸引
[00:00:38.880 --> 00:00:41.220]  我們一起看十號月記十四章
[00:00:41.220 --> 00:00:43.000]  二十五到二十七節
[00:00:43.000 --> 00:00:45.000]  我們先讀二十五節
[00:00:45.000 --> 00:00:48.180]  「以色列全地之中
[00:00:48.180 --> 00:00:51.200]  無人像亞沙隆那樣俊美
[00:00:51.200 --> 00:00:52.880]  得人的稱讚
[00:00:52.880 --> 00:00:55.980]  從腳底到頭頂毫無瑕疵」
[00:00:55.980 --> 00:00:57.100]  看到嗎?
[00:00:57.100 --> 00:00:58.880]  在整個以色列民族裡面
[00:00:58.880 --> 00:01:01.280]  沒有一個人像他那樣俊俏
[00:01:01.280 --> 00:01:02.860]  他很完美
[00:01:02.860 --> 00:01:04.680]  從頭到腳
[00:01:04.680 --> 00:01:06.680]  都是毫無瑕疵
[00:01:06.680 --> 00:01:09.080]  你想想多吸引人
[00:01:09.080 --> 00:01:11.480]  聖經裡面很少提到他這樣
[00:01:11.480 --> 00:01:12.280]  還有
[00:01:12.280 --> 00:01:14.640]  他有一個很完整的家庭
[00:01:14.640 --> 00:01:16.440]  在那個年代裡面
[00:01:16.440 --> 00:01:19.140]  很少有人只有一個妻子
[00:01:19.140 --> 00:01:20.680]  他只有一個妻子
[00:01:20.680 --> 00:01:22.080]  有三個兒子
[00:01:22.080 --> 00:01:22.720]  一個女兒
[00:01:22.720 --> 00:01:24.720]  一個很完整的家庭
[00:01:24.720 --> 00:01:27.720]  還有他很有吸引力
