
[00:00:00.000 --> 00:00:04.920]  今天這個講題作為一個看透萬字的屬靈人
[00:00:04.920 --> 00:00:07.920]  這個題目真是非常之GRAND
[00:00:07.920 --> 00:00:10.400]  如果大家記得上次我們講到
[00:00:10.400 --> 00:00:12.400]  什麼人呢?
[00:00:12.400 --> 00:00:16.320]  一種人見到十字架這個道理
[00:00:16.320 --> 00:00:20.320]  是一個滅亡的道理
[00:00:20.320 --> 00:00:23.320]  上次講到如果他是一個愚蠢的人
[00:00:23.320 --> 00:00:25.120]  如果大家記得上次的講題
[00:00:25.120 --> 00:00:27.320]  信你就笨
[00:00:27.320 --> 00:00:29.320]  上次提到的幾樣東西就是
[00:00:29.320 --> 00:00:31.720]  上帝的愚蠢 上帝的愚蠢
[00:00:31.720 --> 00:00:34.320]  都比人的智慧強
[00:00:34.320 --> 00:00:40.120]  而上帝專登就揀選一些愚蠢的人
[00:00:40.120 --> 00:00:41.720]  叫有智慧的人收賄
[00:00:41.720 --> 00:00:43.320]  他揀選一些軟弱的人
[00:00:43.320 --> 00:00:45.720]  叫剛強的人收賄
[00:00:45.720 --> 00:00:47.720]  不是我們不可以有智慧
[00:00:47.720 --> 00:00:48.120]  不是
[00:00:48.120 --> 00:00:51.720]  不過當我們的智慧是沒有上帝
[00:00:51.720 --> 00:00:54.120]  那些智慧就變成不是智慧
[00:00:54.120 --> 00:00:55.320]  而這樣去看
[00:00:55.320 --> 00:00:57.920]  那些愚蠢的人見到十字架
[00:00:57.920 --> 00:01:01.320]  就叫他們是一個滅亡的訊息
[00:01:01.320 --> 00:01:05.520]  今天我們繼續下去到第二章六到十六節
[00:01:05.520 --> 00:01:09.520]  我很記得我爸爸或者我祖父
[00:01:09.520 --> 00:01:11.520]  在分享他過去
[00:01:11.520 --> 00:01:13.520]  我們的祖父等等
[00:01:13.520 --> 00:01:14.520]  我爸爸就
[00:01:14.520 --> 00:01:15.920]  我自己在香港出生
[00:01:15.920 --> 00:01:18.920]  但我爸爸就在柬埔寨出生
[00:01:18.920 --> 00:01:21.720]  當時他講到我祖父
[00:01:21.720 --> 00:01:23.520]  我曾祖父等等
[00:01:23.520 --> 00:01:27.120]  在裡面都相當富有
[00:01:27.120 --> 00:01:28.120]  怎樣富有?
[00:01:28.120 --> 00:01:29.120]  我完全沒有經歷過
[00:01:29.120 --> 00:01:30.520]  因為赤柬之後
[00:01:30.520 --> 00:01:31.520]  沒有了
[00:01:31.520 --> 00:01:34.720]  他講到當時如果用電單車
[00:01:34.720 --> 00:01:37.320]  走他在柬埔寨有多少個地
[00:01:37.320 --> 00:01:39.720]  是走一天都走不完的
[00:01:39.720 --> 00:01:41.120]  都還沒走完
