
[00:00:00.000 --> 00:00:05.240]  有一間健康食品的餐館
[00:00:05.240 --> 00:00:07.620]  為了招來生意
[00:00:07.620 --> 00:00:11.980]  它就推出一個口號
[00:00:11.980 --> 00:00:13.280]  它就說
[00:00:13.280 --> 00:00:15.580]  在這裡用餐
[00:00:15.580 --> 00:00:17.580]  活得長久
[00:00:17.580 --> 00:00:21.720]  旁邊有一間餐廳專門吃肉的
[00:00:21.720 --> 00:00:25.680]  為了不要吃虧
[00:00:25.680 --> 00:00:27.440]  它又弄了一個口號
[00:00:27.440 --> 00:00:30.380]  它說在這裡用餐
[00:00:30.380 --> 00:00:34.380]  死得開心
[00:00:34.380 --> 00:00:38.080]  大家你覺得你會選擇活得長久
[00:00:38.080 --> 00:00:42.520]  還是選擇死得開心
[00:00:42.520 --> 00:00:43.500]  大家會不會覺得
[00:00:43.500 --> 00:00:45.780]  這些這麼可怕的口號
[00:00:45.780 --> 00:00:47.780]  會不會嚇走人
[00:00:47.780 --> 00:00:49.780]  會不會沒有生意
[00:00:49.780 --> 00:00:55.820]  我記得有一次去到美國的拉斯維加斯旅遊
[00:00:55.820 --> 00:00:58.380]  逛過一個餐館
[00:00:58.380 --> 00:01:00.060]  那個餐館的名字很有趣
[00:01:00.060 --> 00:01:02.480]  叫做Heart Attack Grill
[00:01:02.480 --> 00:01:06.820]  我譯它做心臟病的燒烤
[00:01:06.820 --> 00:01:11.660]  你覺得這個餐館名字
[00:01:11.660 --> 00:01:13.660]  你敢不敢去
[00:01:13.660 --> 00:01:15.300]  大家可能都擔心
[00:01:15.300 --> 00:01:17.300]  這樣會不會有生意做
[00:01:17.300 --> 00:01:19.000]  奇怪在於
[00:01:19.000 --> 00:01:20.380]  他們生意很好
[00:01:20.380 --> 00:01:22.180]  不單生意很好
[00:01:22.180 --> 00:01:27.900]  甚至世界各地很多旅客都冒名去到這個餐館用餐
[00:01:27.900 --> 00:01:35.500]  試一下什麼叫做心臟病發的餐館
[00:01:35.500 --> 00:01:37.500]  我本來有個圖畫給大家看
[00:01:37.500 --> 00:01:40.700]  它那裡的漢堡包是這麼高的
[00:01:40.700 --> 00:01:44.820]  幾層層層都有兩三塊牛肉
[00:01:44.820 --> 00:01:46.260]  你看看敢不敢去吃
[00:01:46.260 --> 00:01:48.460]  我兒子那時候就很想去試試
[00:01:48.460 --> 00:01:53.920]  不過最後看到這麼誇張的尺寸的漢堡包還是沒有去
[00:01:53.920 --> 00:01:57.260]  但是無論這個漢堡包有多大
[00:01:57.260 --> 00:01:59.440]  無論你吃完之後有多飽
[00:01:59.440 --> 00:02:02.360]  你會發覺過了沒多久
[00:02:02.360 --> 00:02:05.640]  這個討福滿足的感覺就會過去
[00:02:05.640 --> 00:02:07.900]  你又會再肚餓了
[00:02:07.900 --> 00:02:10.140]  在今天的故事裡面
[00:02:10.140 --> 00:02:11.820]  主耶穌宣稱
[00:02:11.820 --> 00:02:14.400]  祂是生命的糧
[00:02:14.400 --> 00:02:19.120]  吃了這個生命的糧就永不再肚餓
[00:02:19.120 --> 00:02:20.600]  我們要問的就是
[00:02:20.600 --> 00:02:23.580]  到底這個世界上是不是真的有一些食物
[00:02:23.580 --> 00:02:26.020]  吃了之後是不再肚餓的呢?
[00:02:26.020 --> 00:02:27.420]  我們來看看
[00:02:27.420 --> 00:02:30.720]  當主耶穌說祂吃了生命的糧
[00:02:30.720 --> 00:02:32.860]  吃了這個糧之後永遠不餓
[00:02:32.860 --> 00:02:37.120]  這個意思究竟是什麼
[00:02:37.120 --> 00:02:39.400]  跳到下一章
[00:02:39.400 --> 00:02:42.440]  我們要更加理解主耶穌這個宣稱
[00:02:42.440 --> 00:02:44.780]  我相信我們需要知道
[00:02:44.780 --> 00:02:48.540]  這個宣稱前後在發生什麼事
[00:02:48.540 --> 00:02:50.120]  聖經告訴我們
[00:02:50.120 --> 00:02:53.580]  在這個故事發生之前一天
[00:02:53.580 --> 00:02:55.760]  主耶穌用五個餅
[00:02:55.760 --> 00:02:58.600]  兩條魚餵飽多少人
[00:02:58.600 --> 00:03:00.180]  餵飽了五千個人
[00:03:00.180 --> 00:03:01.820]  絕對是一個神蹟
[00:03:01.820 --> 00:03:03.220]  當時
