
[00:00:00.000 --> 00:00:04.200]  今日我會繼續講十三章耶穌與門徒的說話
[00:00:04.200 --> 00:00:12.280]  上一節主要是講耶穌如何向門徒表達祂對他們的愛
[00:00:12.280 --> 00:00:15.400]  透過一個行動去表達
[00:00:15.400 --> 00:00:16.960]  即是吃飯的時候
[00:00:16.960 --> 00:00:21.000]  大家記得那張U形的擺設
[00:00:21.000 --> 00:00:23.560]  吃到差不多
[00:00:23.560 --> 00:00:29.800]  耶穌就起身幫他們洗腳
[00:00:29.800 --> 00:00:36.200]  有洗腳的行動去表達祂對門徒的愛
[00:00:36.200 --> 00:00:39.760]  我今天會由哪裏開始講呢?
[00:00:39.760 --> 00:00:45.760]  十三章講到猶大做了一個決定
[00:00:45.760 --> 00:00:47.360]  這個決定是甚麼呢?
[00:00:47.360 --> 00:00:53.080]  就是當魔鬼的心思、意思進入了他們的心裏
[00:00:53.080 --> 00:00:57.560]  猶大就跟著魔鬼的意思去實行他們的計劃
[00:00:57.560 --> 00:01:00.600]  就是出賣耶穌
[00:01:00.600 --> 00:01:06.280]  所以上一節主要是講到猶大離開了
[00:01:06.280 --> 00:01:10.280]  夜間正在那個場景裏面
[00:01:10.280 --> 00:01:14.200]  我會由之後開始講
[00:01:14.200 --> 00:01:16.920]  那個場景就是當猶大離開了
[00:01:16.920 --> 00:01:20.280]  耶穌進一步與剩下的十一個門徒
[00:01:20.280 --> 00:01:23.560]  繼續講祂離別的說話
[00:01:23.560 --> 00:01:25.800]  這段經文雖然是五十節
[00:01:25.800 --> 00:01:29.720]  但我大概分了三個層面跟大家分享
[00:01:29.720 --> 00:01:31.720]  裏面是講甚麼呢?
[00:01:31.720 --> 00:01:34.680]  都仍然是講耶穌離別的時候的說話
[00:01:34.680 --> 00:01:36.200]  第一節我想問
[00:01:36.200 --> 00:01:41.400]  你有沒有經歷過家裏親人離開祂之前
[00:01:41.400 --> 00:01:43.800]  祂會跟你講一些說話
[00:01:43.800 --> 00:01:45.800]  不知道你還記不記得
[00:01:45.800 --> 00:01:50.280]  或者你有沒有想起祂跟你離別
