
[00:00:00.000 --> 00:00:02.360]  各位聽眾姐妹 早安
[00:00:02.360 --> 00:00:06.480]  願神的恩惠常與你們同在
[00:00:06.480 --> 00:00:10.160]  今天我們開始講保羅書信
[00:00:10.160 --> 00:00:12.400]  我講羅馬書
[00:00:12.400 --> 00:00:16.520]  羅馬書是保羅書信裏最重要的作品
[00:00:16.520 --> 00:00:21.320]  被譽為基督教信仰的基石
[00:00:21.320 --> 00:00:29.920]  神學家一旦對羅馬書作出重要和新的詮釋
[00:00:29.920 --> 00:00:36.440]  主導著基督教信仰之後的發展方向
[00:00:36.440 --> 00:00:41.880]  簡單來說 羅馬書的詮釋史
[00:00:41.880 --> 00:00:44.680]  就是基督教神學的發展史
[00:00:44.680 --> 00:00:50.880]  也牽引著基督教歷史的前進路線
[00:00:50.880 --> 00:00:53.240]  舉些例子來說明
[00:00:53.240 --> 00:00:57.240]  讓大家知道羅馬書的重要性
[00:00:57.240 --> 00:01:02.040]  第四世紀後期 奧古斯丁一位神學家
[00:01:02.040 --> 00:01:07.320]  認為羅馬書呈現了人性裏的傳言墮落
[00:01:07.320 --> 00:01:09.520]  人無法自救
[00:01:09.520 --> 00:01:12.440]  人要得救全靠恩典
[00:01:12.440 --> 00:01:18.880]  這個詮釋為日後基督教的人性論、
[00:01:18.880 --> 00:01:23.800]  救恩論和恩典論定調
[00:01:23.800 --> 00:01:29.400]  與奧古斯丁同時代的另一位神學家帕拉斗
[00:01:29.400 --> 00:01:36.680]  因為強調人的意志本身就能實現美善
[00:01:36.680 --> 00:01:39.560]  因為他與奧古斯丁的說法完全不同
[00:01:39.560 --> 00:01:42.800]  被判為異端
[00:01:42.800 --> 00:01:44.760]  十六世紀的馬丁路德
[00:01:44.760 --> 00:01:46.560]  透過研讀羅馬書
[00:01:46.560 --> 00:01:53.040]  他認為神的義不是神用來審判我們的標準
[00:01:53.040 --> 00:01:56.600]  而是神賜給我們的禮物
[00:01:56.600 --> 00:01:58.640]  用另一個說法說
[00:01:58.640 --> 00:02:02.880]  神的義不是神對我們的要求
[00:02:02.880 --> 00:02:07.200]  而是神給我們的禮物
[00:02:07.200 --> 00:02:10.720]  我們不是透過義行而成為義
[00:02:10.720 --> 00:02:13.080]  我們是張開手
[00:02:13.080 --> 00:02:19.600]  接受從基督而來的義而成為義
[00:02:19.600 --> 00:02:24.400]  神在基督裏宣判我們是義人
[00:02:24.400 --> 00:02:27.120]  這就叫做稱義
[00:02:27.120 --> 00:02:31.000]  我們是因信而稱義
[00:02:31.000 --> 00:02:35.240]  因為對羅馬書有這樣的理解
[00:02:35.240 --> 00:02:41.040]  馬丁路德從深重的罪疚感走出來
[00:02:41.040 --> 00:02:44.400]  而從那時開始
[00:02:44.400 --> 00:02:49.200]  藉著罪疚感去禁錮信徒
[00:02:49.200 --> 00:02:52.520]  密室的大門就打開
[00:02:52.520 --> 00:02:56.640]  宗教改革就開始了
[00:02:56.640 --> 00:02:58.520]  之後的加爾文
[00:02:58.520 --> 00:03:01.400]  在他詮釋羅馬書時
[00:03:01.400 --> 00:03:03.320]  強調神的主權
[00:03:03.320 --> 00:03:07.320]  他不問在神的恩典下
[00:03:07.320 --> 00:03:09.720]  一個人如何可以稱義
[00:03:09.720 --> 00:03:12.600]  他不問馬丁路德的問題
[00:03:12.600 --> 00:03:14.280]  他問另一個問題
[00:03:14.280 --> 00:03:17.200]  他問在神的恩典下
[00:03:17.200 --> 00:03:21.480]  神如何去預定罪人歸屬他
[00:03:21.480 --> 00:03:25.200]  而彰顯他的主權呢?
[00:03:25.200 --> 00:03:27.840]  自從他這樣理解之後
[00:03:27.840 --> 00:03:30.320]  神的主權和預定
[00:03:30.320 --> 00:03:33.240]  就成為基督教信仰關注的
[00:03:33.240 --> 00:03:37.080]  其中一個主要的內容
[00:03:37.080 --> 00:03:38.960]  第一次世界大戰之後
[00:03:38.960 --> 00:03:43.320]  二十世紀的神學大師巴阿特
[00:03:43.320 --> 00:03:46.280]  他出版了羅馬書注釋
[00:03:46.280 --> 00:03:49.400]  他反對以人類為中心的
[00:03:49.400 --> 00:03:51.480]  這種思考方法
[00:03:51.480 --> 00:03:56.440]  強調神與人之間有無限的差異
[00:03:56.440 --> 00:03:59.480]  藉著他對羅馬書的詮釋
[00:03:59.480 --> 00:04:03.480]  巴阿特反對為了滿足人的理性
[00:04:03.480 --> 00:04:08.000]  而將神學變為一種人類學
[00:04:08.000 --> 00:04:14.120]  反對將救恩變為滿足人的工具
[00:04:14.120 --> 00:04:18.400]  反對消除神性的超越性
[00:04:18.400 --> 00:04:23.600]  而將信仰簡化為人的道德理想
[00:04:23.600 --> 00:04:26.560]  巴阿特的羅馬書詮釋
[00:04:26.560 --> 00:04:31.480]  引發了二十世紀神學的革命
[00:04:31.480 --> 00:04:34.760]  仍然在世的神學泰斗
[00:04:34.760 --> 00:04:37.960]  賴特(Anti-Rite)
[00:04:37.960 --> 00:04:39.960]  和相關學者
[00:04:39.960 --> 00:04:42.520]  他重新研究羅馬書
[00:04:42.520 --> 00:04:44.960]  認為羅馬書所說的
[00:04:44.960 --> 00:04:49.240]  其實是將猶太人和非猶太人
[00:04:49.240 --> 00:04:54.840]  在基督裏合成一個新的神的子民群體
[00:04:54.840 --> 00:05:00.400]  這個群體在人間努力實現天國
[00:05:00.400 --> 00:05:02.720]  這樣的理解
[00:05:02.720 --> 00:05:11.360]  將信耶穌不再等於等上天堂
[00:05:11.360 --> 00:05:15.560]  信耶穌會變成懷著使命
[00:05:15.560 --> 00:05:18.360]  更好地活在人間
[00:05:18.360 --> 00:05:21.240]  讓天國成就在地上
[00:05:21.240 --> 00:05:23.480]  對羅馬書的這種詮釋
[00:05:23.480 --> 00:05:29.560]  開啟了所謂「保羅新觀」的研究
[00:05:29.560 --> 00:05:34.040]  我們的信仰建基於對聖經的詮釋
[00:05:34.040 --> 00:05:35.600]  聖經的詮釋
[00:05:35.600 --> 00:05:38.680]  無可避免地將聖經的文本
[00:05:38.680 --> 00:05:42.760]  和當代的處境做一個對話
[00:05:42.760 --> 00:05:46.000]  而真正開放的對話
[00:05:46.000 --> 00:05:52.440]  總會產生意想不到的新內容
[00:05:52.440 --> 00:05:53.960]  而新的內容
[00:05:53.960 --> 00:05:57.000]  加深了我們對信仰的理解
[00:05:57.000 --> 00:06:02.920]  也牽引著神學思想和教會歷史的發展
[00:06:02.920 --> 00:06:05.920]  對羅馬書的不斷詮釋
[00:06:05.920 --> 00:06:07.920]  推陳出新
