
[00:00:00.000 --> 00:00:08.000]  大兄姊妹平安 昨晚睡得好嗎
[00:00:08.000 --> 00:00:15.000]  為甚麼這樣問呢 因為今天這篇道比較尖竭
[00:00:15.000 --> 00:00:20.000]  你剛才讀經的時候 你讀了十幾節
[00:00:20.000 --> 00:00:24.000]  我看見十幾節都已經睡著了
[00:00:24.000 --> 00:00:30.000]  又在看很多名字 又這樣又那樣
[00:00:30.000 --> 00:00:35.000]  看《尼希米基》的確我們平時很少去看
[00:00:35.000 --> 00:00:40.000]  所以會比較辛苦
[00:00:40.000 --> 00:00:47.000]  我前兩星期有一晚睡不著
[00:00:47.000 --> 00:00:52.000]  我很少睡不著這麼嚴重
[00:00:52.000 --> 00:00:57.000]  試了聽歌都睡不著
[00:00:57.000 --> 00:01:01.000]  聽完歌見睡不著就出去聽
[00:01:01.000 --> 00:01:04.000]  打機等自己睡得著
[00:01:04.000 --> 00:01:08.000]  打完機回去睡都是睡不著
[00:01:08.000 --> 00:01:13.000]  當時我想起一個好朋友 但當時已經三點多
[00:01:13.000 --> 00:01:20.000]  我想起這個好朋友 於是我就決定去聽他的講道
[00:01:20.000 --> 00:01:25.000]  結果我聽他的講道之後 在第一個點都差不多講完的時候
[00:01:25.000 --> 00:01:27.000]  我就已經睡著了
[00:01:27.000 --> 00:01:35.000]  所以我非常明白聽道除了可以帶給我們很好的教訓之外
[00:01:35.000 --> 00:01:38.000]  也有教好訓的
[00:01:38.000 --> 00:01:43.000]  所以大兄姊妹今天如果你真的氣數已盡的話
[00:01:43.000 --> 00:01:46.000]  可以竭力進入安息
[00:01:46.000 --> 00:01:51.000]  但如果你也想跟他學習的話
[00:01:51.000 --> 00:02:00.000]  我們也努力一起去看看《尼希米基》十三章對我們有什麼提醒
[00:02:00.000 --> 00:02:04.000]  其實今天我們要講的經文是十三章的全章
[00:02:04.000 --> 00:02:08.000]  但剛才我已經自錄了只是十四節給大家讀
[00:02:08.000 --> 00:02:11.000]  因為我知道讀完真的會睡得著
[00:02:11.000 --> 00:02:14.000]  所以只是給大家讀十四節
[00:02:14.000 --> 00:02:17.000]  大家都見證到威力
[00:02:17.000 --> 00:02:20.000]  所以我們一起透過我講
[00:02:20.000 --> 00:02:26.000]  希望能夠讓我們一起思想經文對我們有什麼提醒
[00:02:26.000 --> 00:02:29.000]  今天我們要講的是更新
[00:02:29.000 --> 00:02:33.000]  其實當我們要去看第十三章的時候
[00:02:33.000 --> 00:02:37.000]  我們要看前面第十二章發生什麼事
[00:02:37.000 --> 00:02:43.000]  《尼希米基》十二章描繪著一幅令人很振奮的圖畫
[00:02:43.000 --> 00:02:47.000]  當時是很歡喜快樂的畫面
[00:02:47.000 --> 00:02:49.000]  因為當時城牆建成了
[00:02:49.000 --> 00:02:52.000]  如果大家對《尼希米基》有印象的話
[00:02:52.000 --> 00:02:55.000]  你也知道《尼希米基》是在講什麼
[00:02:55.000 --> 00:02:59.000]  《尼希米》是在帶領以色列人去重建城牆
[00:02:59.000 --> 00:03:02.000]  當時城牆建成了
[00:03:02.000 --> 00:03:07.000]  所以百姓就有一個建城牆的獻城禮
[00:03:07.000 --> 00:03:09.000]  所以百姓一起聚集
[00:03:09.000 --> 00:03:14.000]  你可以想像畫面是師伯在歌唱讚美神
[00:03:14.000 --> 00:03:17.000]  也有祭司在吹號
[00:03:17.000 --> 00:03:21.000]  男女老幼大家一起歡喜快樂
[00:03:21.000 --> 00:03:23.000]  《聖經》甚至這樣記載
[00:03:23.000 --> 00:03:25.000]  當時的情況是怎樣
[00:03:25.000 --> 00:03:28.000]  耶路撒冷裏面的歡樂聲音是怎樣
[00:03:28.000 --> 00:03:30.000]  聽到遠處
[00:03:30.000 --> 00:03:32.000]  是他們歡樂到一個情況
[00:03:32.000 --> 00:03:36.000]  聲音傳到遠處都知道他們很歡喜快樂
[00:03:36.000 --> 00:03:38.000]  這樣的一個狀況
[00:03:38.000 --> 00:03:41.000]  你可以想像當時建好這個城牆
[00:03:41.000 --> 00:03:44.000]  當時是一個很歡樂的氣氛
[00:03:44.000 --> 00:03:48.000]  但當我們今天看到第十三章
[00:03:48.000 --> 00:03:52.000]  你看到整個畫面突然之間完全不同
[00:03:52.000 --> 00:03:54.000]  當我們看見的時候
[00:03:54.000 --> 00:03:56.000]  我們很驚訝地發現
[00:03:56.000 --> 00:04:00.000]  《尼希米》開始在講一些有關罪的問題
[00:04:00.000 --> 00:04:03.000]  是在處理百姓他們犯罪
[00:04:03.000 --> 00:04:06.000]  違背了神的律法的問題
[00:04:06.000 --> 00:04:08.000]  所以我們不禁要問
