
[00:00:00.000 --> 00:00:03.040]  因為是感恩節 所以剛好
[00:00:03.040 --> 00:00:05.520]  你看神的安排真真好 是不是
[00:00:05.520 --> 00:00:08.840]  剛好就是在今天我們要講到
[00:00:08.840 --> 00:00:12.400]  底福所書 菲利比書第四章
[00:00:12.400 --> 00:00:14.400]  十到十三節
[00:00:14.400 --> 00:00:17.680]  這段時間我們大家一起來念 好不好
[00:00:17.680 --> 00:00:20.520]  來 我們一起來念 預備 請
[00:00:20.520 --> 00:00:23.300]  我靠主大大的喜樂
[00:00:23.300 --> 00:00:25.500]  因為你們撕裂我的心
[00:00:25.500 --> 00:00:27.380]  如今又發生
[00:00:27.380 --> 00:00:29.480]  你們向來就撕裂我
[00:00:29.480 --> 00:00:31.480]  只是沒得機會
[00:00:31.480 --> 00:00:33.480]  我並不是因缺乏說這話
[00:00:33.480 --> 00:00:35.480]  我無論在什麼景況
[00:00:35.480 --> 00:00:37.480]  都可以知足
[00:00:37.480 --> 00:00:39.480]  這是我已經學會了
[00:00:39.480 --> 00:00:41.480]  我知道怎樣處悲劍
[00:00:41.480 --> 00:00:43.480]  我也知道怎樣處豐富
[00:00:43.480 --> 00:00:45.480]  或飽足 或飢餓
[00:00:45.480 --> 00:00:47.480]  或有餘 或缺乏
[00:00:47.480 --> 00:00:49.480]  誰是誰在
[00:00:49.480 --> 00:00:51.480]  我都得了秘訣
[00:00:51.480 --> 00:00:53.480]  我靠著那加給我力量的
[00:00:53.480 --> 00:00:55.480]  凡事都能做
[00:00:57.480 --> 00:00:59.480]  我記得很小的 年輕的時候
[00:00:59.480 --> 00:01:01.480]  唱過一首歌 那時候我們跟
[00:01:01.480 --> 00:01:03.480]  一些的同伴
[00:01:03.480 --> 00:01:05.480]  我們就組織了
[00:01:05.480 --> 00:01:07.480]  我們那個中派的巡禮會的
[00:01:07.480 --> 00:01:09.480]  第一個Bang
[00:01:09.480 --> 00:01:11.480]  那麼
[00:01:11.480 --> 00:01:13.480]  我是彈吉他的
[00:01:13.480 --> 00:01:15.480]  那我記得那時候我們就
[00:01:15.480 --> 00:01:17.480]  學了一首歌 這首歌叫
[00:01:17.480 --> 00:01:19.480]  十人都在尋求
[00:01:19.480 --> 00:01:21.480]  聽過嗎 沒有
[00:01:21.480 --> 00:01:23.480]  十人都在尋求
[00:01:25.480 --> 00:01:29.480]  很久人生的喜樂
[00:01:29.480 --> 00:01:33.480]  更需要
[00:01:33.480 --> 00:01:37.480]  心靈平安
[00:01:37.480 --> 00:01:39.480]  沒聽過 真的
[00:01:39.480 --> 00:01:41.480]  沒有一個人聽過嗎
[00:01:41.480 --> 00:01:43.480]  有 有 有 還是有
[00:01:43.480 --> 00:01:45.480]  這是台灣出版的那個
[00:01:45.480 --> 00:01:47.480]  《基督世主》裡面的一首詩歌
[00:01:47.480 --> 00:01:49.480]  是一個英文的詩歌翻出來的
[00:01:49.480 --> 00:01:51.480]  其實到現在
[00:01:51.480 --> 00:01:53.480]  這首歌的前面這兩句
[00:01:53.480 --> 00:01:55.480]  我就不會忘掉
[00:01:55.480 --> 00:01:57.480]  十人都在尋求
