
[00:00:00.000 --> 00:00:02.000]  頂主每早晨
[00:00:02.000 --> 00:00:04.000]  讓我再一次同心低頭祈禱
[00:00:04.000 --> 00:00:06.000]  愛愛主耶穌
[00:00:06.000 --> 00:00:08.000]  我們感謝祢讓我一起敬拜祢
[00:00:08.000 --> 00:00:10.000]  主要求祢在我們中間
[00:00:10.000 --> 00:00:12.000]  閱立我們的敬拜
[00:00:12.000 --> 00:00:14.000]  讓整個敬拜
[00:00:14.000 --> 00:00:16.000]  最高的榮耀都歸祢身上
[00:00:16.000 --> 00:00:18.000]  主耶穌願意在我們中間
[00:00:18.000 --> 00:00:20.000]  祢親自對我們講說話
[00:00:20.000 --> 00:00:22.000]  聖靈在我們中間隨意運行
[00:00:22.000 --> 00:00:24.000]  帶領我們進入祢的真理中間
[00:00:24.000 --> 00:00:26.000]  聽我們面前的祈禱
[00:00:26.000 --> 00:00:28.000]  奉主耶穌的命求 阿們
[00:00:28.000 --> 00:00:30.000]  我們早前已經分享了
[00:00:30.000 --> 00:00:32.000]  疲勞秘書整個系列
[00:00:32.000 --> 00:00:34.000]  當我們完結疲勞秘書
[00:00:34.000 --> 00:00:36.000]  這個系列的時候
[00:00:36.000 --> 00:00:38.000]  我們會開始新一個系列
[00:00:38.000 --> 00:00:40.000]  在接下來這段時間
[00:00:40.000 --> 00:00:42.000]  其實我們今年講到
[00:00:42.000 --> 00:00:44.000]  愛主愛家
[00:00:44.000 --> 00:00:46.000]  我們特別會在這段時間
[00:00:46.000 --> 00:00:48.000]  去講到
[00:00:48.000 --> 00:00:50.000]  愛家庭
[00:00:50.000 --> 00:00:52.000]  這段時間先講
[00:00:52.000 --> 00:00:54.000]  我們真是自己家
[00:00:54.000 --> 00:00:56.000]  肉身的家庭
[00:00:56.000 --> 00:00:58.000]  之後才會講我們屬靈的家
[00:00:58.000 --> 00:01:00.000]  所以這段時間我們會集中
[00:01:00.000 --> 00:01:02.000]  焦點一個系列
[00:01:02.000 --> 00:01:04.000]  都是講一個家庭的系列
