
[00:00:00.000 --> 00:00:01.980]  感謝施班代表我們
[00:00:01.980 --> 00:00:04.500]  獻上一首美好的詩歌給上帝
[00:00:04.500 --> 00:00:05.600]  也提醒我們
[00:00:05.600 --> 00:00:09.860]  縱然我們會遇上艱難、誘惑、甚至困苦
[00:00:09.860 --> 00:00:12.800]  但上帝必會賜我們力量
[00:00:12.800 --> 00:00:14.800]  並且光照我們
[00:00:14.800 --> 00:00:16.800]  讓我們在宣講之先
[00:00:16.800 --> 00:00:19.600]  善一從低頭祈禱
[00:00:19.600 --> 00:00:24.400]  撐著我們感謝讚美你
[00:00:24.400 --> 00:00:27.500]  多謝你每天以你的話語
[00:00:27.500 --> 00:00:29.300]  去兼顧我們的生命
[00:00:29.300 --> 00:00:31.800]  又讓聖靈在我們的生命當中
[00:00:31.800 --> 00:00:33.800]  帶來提醒和幫助
[00:00:33.800 --> 00:00:37.200]  所以主願意今天我們在這裡
[00:00:37.200 --> 00:00:38.800]  我們一同去敬拜祢
[00:00:38.800 --> 00:00:41.300]  並且求祢藉著祢的話語
[00:00:41.300 --> 00:00:45.000]  對我們生命帶來提醒和挑戰
[00:00:45.000 --> 00:00:48.200]  求主讓一世間無論聽的、講的
[00:00:48.200 --> 00:00:51.800]  願祢的話語都成為我們生命的亮光
[00:00:51.800 --> 00:00:54.200]  我們這樣禱告奉靠主耶穌基督
[00:00:54.200 --> 00:00:55.700]  得聖命自祈求
[00:00:55.700 --> 00:00:56.700]  阿們
[00:00:57.700 --> 00:00:59.700]  我相信前陣子
[00:00:59.700 --> 00:01:05.200]  奧運是我們常常掛在嘴邊的一個話題
[00:01:05.200 --> 00:01:07.700]  所以當我們看到奧運的時候
[00:01:07.700 --> 00:01:09.200]  都很熱血
[00:01:09.200 --> 00:01:12.200]  接下來24日又將會有殘奧
[00:01:12.200 --> 00:01:14.200]  相信這個奧運的熱潮
[00:01:14.200 --> 00:01:17.200]  仍然都會持續一段時間
[00:01:17.200 --> 00:01:19.700]  在看奧運的期間
[00:01:19.700 --> 00:01:22.200]  我這個過氣的運動員
[00:01:22.200 --> 00:01:25.200]  有圖有真相
[00:01:25.200 --> 00:01:27.200]  真是過氣的
[00:01:28.200 --> 00:01:32.200]  給大家看看我曾經做蛙艇運動員的照片
[00:01:32.200 --> 00:01:34.200]  曾經有人跟我說
[00:01:34.200 --> 00:01:36.200]  都沒有看過這些照片
[00:01:36.200 --> 00:01:39.200]  圈住的那個就是我
[00:01:39.200 --> 00:01:41.200]  當時都頗大隻
