
[00:00:00.000 --> 00:00:02.000]  許多有智慧的人
[00:00:02.000 --> 00:00:06.160]  在生活裏觀察到一些事情
[00:00:06.160 --> 00:00:08.680]  他就用一些格言的方式
[00:00:08.680 --> 00:00:11.920]  對猶太人來說是很容易記的說話
[00:00:11.920 --> 00:00:14.280]  來教導後人的
[00:00:14.280 --> 00:00:18.560]  如果大家打開
[00:00:18.560 --> 00:00:20.720]  蓋上聖經再打開《針研》
[00:00:20.720 --> 00:00:23.680]  我們會詳細思想這幾節的聖經
[00:00:23.680 --> 00:00:27.240]  在《針研》第一章一節那裏
[00:00:27.240 --> 00:00:28.240]  一開始就說
[00:00:28.240 --> 00:00:33.680]  「大衛的兒子以色列王所羅門的針研」
[00:00:33.680 --> 00:00:37.640]  這句說話很容易讓我們有一個錯覺
[00:00:37.640 --> 00:00:41.360]  以為針研就是所羅門的說話
[00:00:41.360 --> 00:00:43.320]  事實上
[00:00:43.320 --> 00:00:46.760]  《針研》有幾個不同的作者
[00:00:46.760 --> 00:00:48.760]  當然所羅門是第一個
[00:00:48.760 --> 00:00:52.240]  《針研》三十章告訴我們
[00:00:52.240 --> 00:00:57.400]  就是雅基的兒子阿古爾的《針研》
[00:00:57.400 --> 00:00:59.400]  是另外一個作者
[00:00:59.400 --> 00:01:02.440]  《針研》三十章第一節告訴我們
[00:01:02.440 --> 00:01:07.080]  是利姆伊勒王的母親對王的訓言
[00:01:07.080 --> 00:01:10.480]  我相信這張聖經大概是
[00:01:10.480 --> 00:01:16.320]  女人的智慧被收入聖經的唯一一整章的經文
[00:01:16.320 --> 00:01:21.200]  所以我們不要忽視女人的智慧
[00:01:21.200 --> 00:01:23.200]  女人都是一樣有智慧的
[00:01:23.200 --> 00:01:27.280]  事實上在這裏提到這兩位作者
[00:01:27.280 --> 00:01:30.000]  他們都不是猶太人
[00:01:30.000 --> 00:01:33.000]  他們很可能是埃及人
[00:01:33.000 --> 00:01:36.800]  或者其他中東、近東地方的人
[00:01:36.800 --> 00:01:41.440]  但幾千年前就沒有版權的觀念
[00:01:41.440 --> 00:01:45.160]  所以既然這麼多人都認為
[00:01:45.160 --> 00:01:48.480]  這些人生的格言是好東西
[00:01:48.480 --> 00:01:50.760]  是值得我們學習的
[00:01:50.760 --> 00:01:55.240]  《針研》的編者就在聖靈的引導之下
[00:01:55.240 --> 00:02:01.480]  把這些格言都收集在這一卷《針研》集裏面
