
[00:00:00.000 --> 00:00:02.360]  今日我依然用返呢個主題
[00:00:02.360 --> 00:00:05.500]  不過我哋就用福音聚會
[00:00:05.500 --> 00:00:07.280]  即係用報道會嘅形式
[00:00:07.280 --> 00:00:09.100]  嚟講呢邊度
[00:00:09.100 --> 00:00:13.360]  所以正話我哋讀嗰次聖經
[00:00:13.360 --> 00:00:15.220]  我哋琴日都講過好多
[00:00:15.220 --> 00:00:19.140]  琴日我哋講到有一班
[00:00:19.140 --> 00:00:23.520]  法理賽人
[00:00:23.520 --> 00:00:26.220]  法理賽人
[00:00:26.220 --> 00:00:28.260]  個名就好好聽
[00:00:28.260 --> 00:00:30.480]  因為法理賽嘅意思
[00:00:30.480 --> 00:00:32.520]  就係特別敬虔嘅
[00:00:32.520 --> 00:00:34.980]  從呢個污染嘅世界
[00:00:34.980 --> 00:00:36.820]  從呢個罪惡嘅世界
[00:00:36.820 --> 00:00:39.280]  從呢個貪愛
[00:00:39.280 --> 00:00:41.140]  錢財嘅世界
[00:00:41.140 --> 00:00:43.100]  走出嚟
[00:00:43.100 --> 00:00:44.500]  分別出嚟
[00:00:44.500 --> 00:00:47.740]  即係法理賽就係分別出嚟
[00:00:47.740 --> 00:00:49.220]  嘅意思
[00:00:49.220 --> 00:00:51.940]  佢睇見呢個世界太污穢喇
[00:00:51.940 --> 00:00:54.300]  於是話我哋呢班人係愛主嘅
[00:00:54.300 --> 00:00:56.300]  我哋呢班人係敬虔嘅
[00:00:56.300 --> 00:00:57.920]  然後我哋走出嚟
[00:00:57.920 --> 00:01:00.480]  成立一個叫做法理賽嘅教派
[00:01:00.480 --> 00:01:02.660]  法理賽派等等
[00:01:02.660 --> 00:01:06.380]  認為我係畀人高一等嘅
[00:01:06.380 --> 00:01:09.220]  而當時嘅人亦都好尊重佢哋
[00:01:09.220 --> 00:01:10.660]  因為佢哋聖經好熟
[00:01:10.660 --> 00:01:13.180]  所以有咩聖經嘅難題
[00:01:13.180 --> 00:01:17.300]  有咩生活上應該點樣遵循嘅規矩等等
[00:01:17.300 --> 00:01:18.460]  都走去問佢嘅
[00:01:18.460 --> 00:01:22.300]  所以法理賽人佢亦都得到佢嘅社會地位
[00:01:22.300 --> 00:01:25.180]  但呢班人見到耶穌之後
[00:01:25.180 --> 00:01:26.500]  非常之唔高興
[00:01:27.580 --> 00:01:30.220]  因為耶穌只不過係一個木匠嘅兒子
[00:01:30.220 --> 00:01:33.860]  佢講嘅道好有權柄
[00:01:33.860 --> 00:01:35.780]  佢能夠行神蹟
[00:01:35.780 --> 00:01:37.580]  並且佢將天國嘅道
[00:01:37.580 --> 00:01:41.460]  將天上嘅事物同地上嘅人分享
[00:01:41.460 --> 00:01:43.820]  係地上嘅人從來都冇聽過
[00:01:43.820 --> 00:01:46.420]  所以好多人去跟從耶穌
[00:01:46.420 --> 00:01:49.140]  你諗下法理賽人
[00:01:49.140 --> 00:01:51.460]  一路都有人跟隨法理賽人㗎嘛
[00:01:51.460 --> 00:01:54.140]  忽然間呢班人走去跟隨咗耶穌
[00:01:54.140 --> 00:01:55.500]  所以佢哋非常之唔高興
[00:01:55.500 --> 00:01:57.420]  所以呢度嘅第一句說話
[00:01:57.420 --> 00:01:59.060]  就係法理賽人出咗商議
[00:01:59.060 --> 00:02:00.540]  就要耶穌嘅話
[00:02:00.540 --> 00:02:02.820]  要陷害佢
[00:02:02.820 --> 00:02:06.820]  所以呢個真係好荒謬
[00:02:06.820 --> 00:02:09.300]  一班理論上好愛主嘅
[00:02:09.300 --> 00:02:10.380]  好敬虔嘅人
[00:02:10.380 --> 00:02:14.580]  竟然想去陷害人
[00:02:14.580 --> 00:02:16.580]  並且陷害嘅
[00:02:16.580 --> 00:02:19.220]  係天上差派嚟嘅神嘅兒子
[00:02:19.220 --> 00:02:20.900]  當然佢哋自己唔承認
[00:02:20.900 --> 00:02:22.180]  佢係神嘅兒子啦
[00:02:22.180 --> 00:02:24.020]  所以呢佢只不過想
[00:02:24.660 --> 00:02:27.580]  Get rid of 一個麻煩製造者
[00:02:27.580 --> 00:02:33.580]  Get rid of 一個侵佔佢哋嘅權益嘅人
[00:02:33.580 --> 00:02:35.020]  佢覺得啦
[00:02:35.020 --> 00:02:36.620]  耶穌侵佔緊佢哋嘅權益
[00:02:36.620 --> 00:02:39.860]  於是佢哋就用盡一切方法
[00:02:39.860 --> 00:02:41.300]  同埋希律黨嘅人
[00:02:41.300 --> 00:02:43.300]  嚟夾粉
[00:02:43.300 --> 00:02:44.300]  商議
[00:02:44.300 --> 00:02:45.460]  陷害耶穌
[00:02:45.460 --> 00:02:47.940]  陷害嘅方法好簡單
[00:02:47.940 --> 00:02:49.500]  佢用一個
[00:02:49.500 --> 00:02:51.140]  問問佢一個問題
[00:02:51.140 --> 00:02:53.780]  就係究竟納粹
[00:02:54.060 --> 00:02:55.060]  畀皇帝
[00:02:55.060 --> 00:02:57.860]  該殺就係皇帝嘅稱號
[00:02:57.860 --> 00:03:00.020]  或者叫海殺大帝海殺
[00:03:00.020 --> 00:03:03.300]  納粹畀皇帝得定唔得
[00:03:03.300 --> 00:03:05.460]  即係如果同樣嘅說話
[00:03:05.460 --> 00:03:07.180]  問一個人喺美國
[00:03:07.180 --> 00:03:09.780]  納粹畀美國政府得定唔得
[00:03:09.780 --> 00:03:12.380]  即係如果你話五一唔得
[00:03:12.380 --> 00:03:14.460]  咁就你觸犯政府喇喎
[00:03:14.460 --> 00:03:15.500]  你會被人拉
[00:03:15.500 --> 00:03:17.220]  甚至係斬頭喇喎
[00:03:17.220 --> 00:03:18.980]  喺羅馬嘅咁嚴厲嘅法律
[00:03:18.980 --> 00:03:22.820]  咁耶穌點樣應該點樣回答呢
[00:03:22.820 --> 00:03:23.740]  因為耶穌嚟嘅時候
[00:03:23.740 --> 00:03:25.860]  佢話佢係從天上而嚟嘅
[00:03:25.860 --> 00:03:28.980]  佢傳講係天上嘅事
[00:03:28.980 --> 00:03:30.900]  咁既然你係天上而嚟
[00:03:30.900 --> 00:03:32.100]  地上納嘅稅
[00:03:32.100 --> 00:03:33.420]  你應該唔使納啦
[00:03:33.420 --> 00:03:35.740]  即係如果你話地上嘅稅我都要納
[00:03:35.740 --> 00:03:37.620]  咁你你你不過係
[00:03:37.620 --> 00:03:39.540]  冒青係天上嚟啫
[00:03:39.540 --> 00:03:40.180]  係咪
[00:03:40.180 --> 00:03:41.140]  即係佢個
[00:03:41.140 --> 00:03:43.820]  屬靈上嘅份量馬上消失
[00:03:43.820 --> 00:03:45.020]  係咪
[00:03:45.020 --> 00:03:46.100]  所以如果佢話
[00:03:46.100 --> 00:03:47.460]  唔使納嘅
[00:03:47.460 --> 00:03:48.060]  咁
[00:03:48.060 --> 00:03:49.580]  如果佢話要納嘅
[00:03:49.580 --> 00:03:52.420]  咁即係你屈服於地上嘅權柄
