
[00:00:00.000 --> 00:00:02.000]  好 等節目讓我們在聆聽主導以前
[00:00:02.000 --> 00:00:05.000]  我們一起同心低頭 禱告陽明安主我們的神
[00:00:05.000 --> 00:00:08.000]  慈悲天父 多謝祢
[00:00:08.000 --> 00:00:11.000]  多謝祢讓我們可以回到祢說話的面前去學習
[00:00:11.000 --> 00:00:14.000]  求祢的帶領 讓聖靈引導我們
[00:00:14.000 --> 00:00:16.000]  能夠明白當中的教導
[00:00:16.000 --> 00:00:19.000]  要讓我們能夠真是有一個
[00:00:19.000 --> 00:00:21.000]  可以更生的生命
[00:00:21.000 --> 00:00:24.000]  不要跌入一個 捲回去昔日
[00:00:24.000 --> 00:00:29.000]  如罪人的思想 思維 拒絕上主
[00:00:29.000 --> 00:00:31.000]  求祢的帶領
[00:00:31.000 --> 00:00:33.000]  禱告逢教主 耶穌的德性明智救
[00:00:33.000 --> 00:00:34.000]  阿們
[00:00:34.000 --> 00:00:40.000]  今天開始之前 我想以一個問題去問一下大家
[00:00:40.000 --> 00:00:43.000]  想問一下 以下這些人
[00:00:43.000 --> 00:00:47.000]  是不是一定就是神所揀選
[00:00:47.000 --> 00:00:50.000]  並且必定是成為神的子民
[00:00:50.000 --> 00:00:53.000]  在永恆的當中 必然有份的呢
[00:00:53.000 --> 00:00:55.000]  你看一下
[00:00:55.000 --> 00:01:00.000]  譬如一個人已經稱自己為一個 缺置信了主的人
[00:01:00.000 --> 00:01:06.000]  或者一個人他已經接受了禮儀
[00:01:06.000 --> 00:01:13.000]  這個好像很常有的現象
[00:01:13.000 --> 00:01:18.000]  或者那個很準時地去奉獻給教會的人
[00:01:18.000 --> 00:01:24.000]  還是那個人是經常在教會裡面 有很多的參與
[00:01:24.000 --> 00:01:27.000]  在侍奉的當中 有很多的工作
[00:01:27.000 --> 00:01:33.000]  甚至他們稱自己為 牧師 傳道人 宣教士
[00:01:33.000 --> 00:01:38.000]  或者可能他們是一個 宗派的主席
[00:01:38.000 --> 00:01:44.000]  一個基督教的組織的總幹事呢
[00:01:44.000 --> 00:01:49.000]  這些人 是不是一定是上帝必然揀選
[00:01:49.000 --> 00:01:52.000]  屬神的子民 必然得救的呢
[00:01:52.000 --> 00:01:55.000]  今天我和大家一起去看這段經文
[00:01:55.000 --> 00:01:57.000]  第21章 第1至14節
[00:01:57.000 --> 00:02:01.000]  就是幫助我們 能夠真正去重新看一下
[00:02:01.000 --> 00:02:06.000]  或者印證一下 我們自己是不是一個 蒙因得救的人
[00:02:06.000 --> 00:02:08.000]  在上帝裡面是有份的
[00:02:08.000 --> 00:02:12.000]  剛才師母幫我們去讀了一次
[00:02:12.000 --> 00:02:16.000]  不如我們自己再讀多一次 去熟悉一下這段經文
[00:02:16.000 --> 00:02:18.000]  這段經文其實不陌生的
[00:02:18.000 --> 00:02:22.000]  很多時候都拿來做福音工作
[00:02:22.000 --> 00:02:26.000]  或者福音講道 傳道的時候都會引用的
[00:02:26.000 --> 00:02:29.000]  但是究竟裡面想講些什麼呢
[00:02:29.000 --> 00:02:31.000]  我們一起再去讀一下 好不好
[00:02:31.000 --> 00:02:34.000]  好 馬太福音第22章
[00:02:34.000 --> 00:02:38.000]  我們從第1節讀到第14節
[00:02:38.000 --> 00:02:42.000]  第22章 第1節至第14節
[00:02:42.000 --> 00:02:43.000]  我們一起讀
[00:02:43.000 --> 00:02:46.000]  耶穌又用比喻對他們說
[00:02:46.000 --> 00:02:52.000]  天國好比一個王為他兒子 擺設取親的賢職
[00:02:52.000 --> 00:02:57.000]  就打發僕人去 請那些被召的人來父職
[00:02:57.000 --> 00:02:59.000]  他們卻不肯來
[00:02:59.000 --> 00:03:02.000]  王又打發別的僕人說
[00:03:02.000 --> 00:03:05.000]  你們告訴那被召的人
[00:03:05.000 --> 00:03:08.000]  我的賢職已經預備好了
[00:03:08.000 --> 00:03:11.000]  牛和肥粗已經載了
[00:03:11.000 --> 00:03:13.000]  各樣都齊備
[00:03:13.000 --> 00:03:15.000]  請你們來父職
[00:03:15.000 --> 00:03:18.000]  那些人不理就走了
[00:03:18.000 --> 00:03:20.000]  一個到自己的田裡去
[00:03:20.000 --> 00:03:22.000]  一個做買賣去
[00:03:22.000 --> 00:03:25.000]  其餘的就拿著僕人
[00:03:25.000 --> 00:03:28.000]  凌辱他們 把他們殺了
[00:03:28.000 --> 00:03:33.000]  王就大怒 發兵除滅那些僕人
[00:03:33.000 --> 00:03:35.000]  燒毀他們的城
[00:03:35.000 --> 00:03:37.000]  於是對僕人說
[00:03:37.000 --> 00:03:39.000]  豈然已經齊備
[00:03:39.000 --> 00:03:41.000]  只是所召的人不配
[00:03:41.000 --> 00:03:45.000]  所以你們要往鴨路口上去
[00:03:45.000 --> 00:03:48.000]  凡遇見的都照來父職
[00:03:48.000 --> 00:03:50.000]  那些僕人就出去
[00:03:50.000 --> 00:03:53.000]  到大路上見遇見的
[00:03:53.000 --> 00:03:56.000]  不論是惡都照罪了來
[00:03:56.000 --> 00:03:59.000]  連席上就充滿了客
[00:03:59.000 --> 00:04:02.000]  王進來觀看賓客
[00:04:02.000 --> 00:04:05.000]  見那裡有一個沒有穿禮服的
[00:04:05.000 --> 00:04:07.000]  就對他說
[00:04:07.000 --> 00:04:11.000]  朋友 你到這裡來怎麼不穿禮服呢
[00:04:11.000 --> 00:04:13.000]  兩人沒有回答
[00:04:13.000 --> 00:04:16.000]  於是王對侍患的人說
[00:04:16.000 --> 00:04:19.000]  捆起他的手腳來
[00:04:19.000 --> 00:04:22.000]  把他丟在外邊的黑暗裡
[00:04:22.000 --> 00:04:25.000]  在那裡必要哀哭切齒了
[00:04:25.000 --> 00:04:27.000]  因為被召的人多
[00:04:27.000 --> 00:04:29.000]  損傷的人少
[00:04:29.000 --> 00:04:31.000]  這段聖經的前文
[00:04:31.000 --> 00:04:34.000]  其實我們曾經討論過一個題目
[00:04:34.000 --> 00:04:37.000]  如果一個人即使他稱之為基督徒
[00:04:37.000 --> 00:04:39.000]  但是他沒有神國觀念的人
[00:04:39.000 --> 00:04:43.000]  其實神國是不屬於這些人的
[00:04:43.000 --> 00:04:44.000]  神國是不屬於那些人
[00:04:44.000 --> 00:04:46.000]  他根本對神這個國家
[00:04:46.000 --> 00:04:50.000]  有任何嚮往或者了解的人
[00:04:50.000 --> 00:04:51.000]  信耶穌的人
[00:04:51.000 --> 00:04:54.000]  必須在聖經上仔細去查考
[00:04:54.000 --> 00:04:56.000]  明白上帝的心事
[00:04:56.000 --> 00:04:59.000]  為什麼祂要預備這個新天新地給他們
[00:04:59.000 --> 00:05:03.000]  如果這個人很輕忽地去處理
[00:05:03.000 --> 00:05:07.000]  甚至去藐視上帝這個想法
[00:05:07.000 --> 00:05:09.000]  不明白為什麼上帝有這種做法
[00:05:09.000 --> 00:05:15.000]  而徒然去獲取這個福氣
[00:05:15.000 --> 00:05:19.000]  這種情況其實很多時
[00:05:19.000 --> 00:05:22.000]  成為了基督徒信仰的陷阱
[00:05:22.000 --> 00:05:25.000]  甚至有些牧者是用這種方法
[00:05:25.000 --> 00:05:28.000]  去誘探一些人進入教會裡
[00:05:28.000 --> 00:05:32.000]  但其實不是真的帶他們進去認罪悔改
[00:05:32.000 --> 00:05:35.000]  明白上帝心思意念的狀態
[00:05:35.000 --> 00:05:39.000]  信耶穌其實好像真的跟人與人之間的關係
[00:05:39.000 --> 00:05:41.000]  不多不少的很多時候
[00:05:41.000 --> 00:05:44.000]  是要透過與上帝去接觸認識
[00:05:44.000 --> 00:05:47.000]  有第一手的去了解上帝
[00:05:47.000 --> 00:05:50.000]  而不是說靠某個人說了一些東西
[00:05:50.000 --> 00:05:51.000]  我就必然相信了
[00:05:51.000 --> 00:05:53.000]  所以即使說做牧師
[00:05:53.000 --> 00:05:55.000]  我自己做大家的牧者
[00:05:55.000 --> 00:05:56.000]  我很鼓勵你
[00:05:56.000 --> 00:05:58.000]  你聽完我講道也好
[00:05:58.000 --> 00:05:59.000]  麻煩回去
[00:05:59.000 --> 00:06:02.000]  真的再重新看一下聖經了解一下
[00:06:02.000 --> 00:06:03.000]  明白一下
[00:06:03.000 --> 00:06:05.000]  當沒聽過我講的東西
[00:06:05.000 --> 00:06:07.000]  再聽一下
[00:06:07.000 --> 00:06:11.000]  看看上帝怎樣跟你在聖經裡的講話
[00:06:11.000 --> 00:06:12.000]  因為始終
[00:06:12.000 --> 00:06:15.000]  那個才是第一手的一個對上帝的認識
[00:06:15.000 --> 00:06:16.000]  你經過我
[00:06:16.000 --> 00:06:21.000]  其實已經是一個叫做消化了的二手信息
[00:06:21.000 --> 00:06:23.000]  雖然你說牧師我都信得過你
[00:06:23.000 --> 00:06:25.000]  你不要只信得過我
[00:06:25.000 --> 00:06:27.000]  有時牧師都會錯的
[00:06:27.000 --> 00:06:34.000]  所以希望大家真的認真的主動去查考聖經
[00:06:34.000 --> 00:06:37.000]  因為與上帝建立一個永恆的關係
[00:06:37.000 --> 00:06:39.000]  是一段細水長流的關係
[00:06:39.000 --> 00:06:42.000]  我甚至說是一個永恆的關係
[00:06:42.000 --> 00:06:44.000]  這個才是能夠帶我們回去的裡面
[00:06:44.000 --> 00:06:46.000]  神角的一份子
[00:06:46.000 --> 00:06:50.000]  不過來到今天這段聖經裡面
[00:06:50.000 --> 00:06:57.000]  耶穌似乎要繼續去針對這班
[00:06:57.000 --> 00:07:00.000]  在祂面前的民事祭司
[00:07:00.000 --> 00:07:05.000]  法律賽人或者教會或者長老的領袖
[00:07:05.000 --> 00:07:08.000]  所出的言行
[00:07:08.000 --> 00:07:12.000]  然後教祂的門徒以及
[00:07:12.000 --> 00:07:14.000]  跟隨耶穌的群眾
[00:07:14.000 --> 00:07:17.000]  讓他們真的去檢醒自己不要跌入
[00:07:17.000 --> 00:07:19.000]  好像他們這樣的狀態
[00:07:19.000 --> 00:07:22.000]  這個也是今天這段聖經的主旨
[00:07:22.000 --> 00:07:25.000]  不過首先在解釋這段聖經之前
[00:07:25.000 --> 00:07:27.000]  我先和大家一跳
[00:07:27.000 --> 00:07:33.000]  跳到最後看一看這段聖經的最後一節
[00:07:33.000 --> 00:07:37.000]  就是第十四節
[00:07:37.000 --> 00:07:39.000]  十四節在這裡這樣說
[00:07:39.000 --> 00:07:53.000]  如果當我們去看這段聖經最後的第十四節
[00:07:53.000 --> 00:07:56.000]  是很多時候被基督徒引用
[00:07:56.000 --> 00:07:59.000]  來講到有關於得救與否的問題
[00:07:59.000 --> 00:08:00.000]  這句經文這樣說
[00:08:00.000 --> 00:08:05.000]  「因為被召的人多,損傷的人少」
[00:08:05.000 --> 00:08:10.000]  很多時候這句聖經就誘發很多人去掙扎
[00:08:10.000 --> 00:08:13.000]  究竟我自己的信主是怎麼樣呢
[00:08:13.000 --> 00:08:16.000]  我是不是真的被損傷呢
[00:08:16.000 --> 00:08:18.000]  正如我剛才所說的
[00:08:18.000 --> 00:08:19.000]  這麼多牧師傳道人
[00:08:19.000 --> 00:08:20.000]  這麼多基督徒
[00:08:20.000 --> 00:08:22.000]  又說在教會搞這搞那
[00:08:22.000 --> 00:08:24.000]  做很多所謂聖功
[00:08:24.000 --> 00:08:27.000]  那是不是他真的被損傷呢
[00:08:27.000 --> 00:08:29.000]  從這節的經文裡面
[00:08:29.000 --> 00:08:32.000]  第一件事我先和大家去處理清楚的就是
[00:08:32.000 --> 00:08:37.000]  在基督教裡面有一個錯誤的誤解
[00:08:37.000 --> 00:08:39.000]  就是一個人只要受了罪誤
[00:08:39.000 --> 00:08:40.000]  他一定就是得救
[00:08:40.000 --> 00:08:44.000]  一定是上帝所選的
[00:08:44.000 --> 00:08:48.000]  但是這節聖經很清楚地告訴我們
[00:08:48.000 --> 00:08:54.000]  被召的人不一定等同於得救的基督徒是被損傷
[00:08:54.000 --> 00:08:57.000]  我再重新講多清楚一點
[00:08:57.000 --> 00:08:59.000]  在聖經裡面
[00:08:59.000 --> 00:09:01.000]  直接這節聖經講得很清楚給我們聽
[00:09:01.000 --> 00:09:08.000]  就是被召的人不一定是得救被損傷的人
[00:09:08.000 --> 00:09:12.000]  這個觀念是非常之重要的
[00:09:12.000 --> 00:09:14.000]  在基督徒之間
[00:09:14.000 --> 00:09:16.000]  經常就以為我受了罪了
[00:09:16.000 --> 00:09:18.000]  我就一定是得救的人
[00:09:18.000 --> 00:09:20.000]  但是其實
[00:09:20.000 --> 00:09:22.000]  很多人回到教會被召
[00:09:22.000 --> 00:09:24.000]  來到邀請回到教會
[00:09:24.000 --> 00:09:25.000]  正如這節聖經所說
[00:09:25.000 --> 00:09:29.000]  他只是留於在被召的狀態而已
[00:09:29.000 --> 00:09:30.000]  他不是得救的
[00:09:30.000 --> 00:09:32.000]  在聖經裡面有很多這樣的例子
[00:09:32.000 --> 00:09:33.000]  譬如
[00:09:33.000 --> 00:09:35.000]  在舊約聖經當中有一個先知
[00:09:35.000 --> 00:09:37.000]  叫做巴蘭先知
[00:09:37.000 --> 00:09:41.000]  在文數記第22章第28節裡面
[00:09:41.000 --> 00:09:44.000]  這個巴蘭先知其實是一個典型的例子
[00:09:44.000 --> 00:09:47.000]  他雖然是被召
[00:09:47.000 --> 00:09:48.000]  但是他被召
[00:09:48.000 --> 00:09:49.000]  要做一件聖功是什麼呢
[00:09:49.000 --> 00:09:54.000]  要去奏助以色列民
[00:09:54.000 --> 00:09:55.000]  被召不等同於那個人
[00:09:55.000 --> 00:09:57.000]  一定就是等同於得救
[00:09:57.000 --> 00:10:00.000]  你說牧師那個是被召的
[00:10:00.000 --> 00:10:03.000]  一個惡意的人去被召
[00:10:03.000 --> 00:10:04.000]  不是被上帝去被召
[00:10:04.000 --> 00:10:05.000]  你看看
[00:10:05.000 --> 00:10:06.000]  在過程當中
[00:10:06.000 --> 00:10:08.000]  當巴蘭騎著一隻驢
[00:10:08.000 --> 00:10:10.000]  其實他很清楚知道
[00:10:10.000 --> 00:10:12.000]  上帝要他做些什麼
[00:10:12.000 --> 00:10:15.000]  做些什麼
[00:10:15.000 --> 00:10:16.000]  不能夠去奏助
[00:10:16.000 --> 00:10:20.000]  是要祝福以色列民
[00:10:20.000 --> 00:10:22.000]  其實他知道的
[00:10:22.000 --> 00:10:23.000]  不過
[00:10:23.000 --> 00:10:24.000]  在整個過程當中
[00:10:24.000 --> 00:10:27.000]  他是不是真的明白
[00:10:27.000 --> 00:10:29.000]  並且肯聽上帝最後
[00:10:29.000 --> 00:10:33.000]  你去祝福以色列民呢
[00:10:33.000 --> 00:10:34.000]  他做了聖功
[00:10:34.000 --> 00:10:36.000]  他真的好像去祝福了以色列民
[00:10:36.000 --> 00:10:38.000]  但是在聖經的多次記載
[00:10:38.000 --> 00:10:41.000]  甚至新約的聖經就告訴他
[00:10:41.000 --> 00:10:43.000]  巴蘭是一個假的先知
[00:10:43.000 --> 00:10:47.000]  他根本是被召作一個假意去侍奉
[00:10:47.000 --> 00:10:48.000]  他從中可以得到一些利益
[00:10:48.000 --> 00:10:50.000]  所以從這段聖經裡面告訴他
[00:10:50.000 --> 00:10:51.000]  被召的人
[00:10:51.000 --> 00:10:54.000]  只不過是有一個機會
[00:10:54.000 --> 00:10:56.000]  可以去得救
[00:10:56.000 --> 00:10:57.000]  被召的人
[00:10:57.000 --> 00:10:59.000]  只是有一個機會
[00:10:59.000 --> 00:11:01.000]  去聽到那個福音
[00:11:01.000 --> 00:11:02.000]  被召的人
[00:11:02.000 --> 00:11:03.000]  是有一個機會
[00:11:03.000 --> 00:11:05.000]  可以去跟上帝
[00:11:05.000 --> 00:11:09.000]  去作一個更深入的接觸
[00:11:09.000 --> 00:11:11.000]  但是究竟這個人最後
[00:11:11.000 --> 00:11:13.000]  是不是真的得救呢
[00:11:13.000 --> 00:11:14.000]  就很視乎這個人
[00:11:14.000 --> 00:11:15.000]  究竟是不是真的
[00:11:15.000 --> 00:11:18.000]  願意在上帝的裡面
[00:11:18.000 --> 00:11:20.000]  去跟上帝建立關係
[00:11:20.000 --> 00:11:21.000]  所以剛才一開始
[00:11:21.000 --> 00:11:24.000]  我跟大家去談論到的就是
[00:11:24.000 --> 00:11:25.000]  沒錯你回來教會
[00:11:25.000 --> 00:11:27.000]  過個星期聽主日崇拜
[00:11:27.000 --> 00:11:28.000]  甚至你上島勤力
[00:11:28.000 --> 00:11:30.000]  看很多的色經
[00:11:30.000 --> 00:11:34.000]  看書等等努力的學習
[00:11:34.000 --> 00:11:36.000]  這些才是你第一手的
[00:11:36.000 --> 00:11:37.000]  一些機會
[00:11:37.000 --> 00:11:38.000]  如果你只是
[00:11:38.000 --> 00:11:39.000]  人云亦云
[00:11:39.000 --> 00:11:41.000]  我牧師講了
[00:11:41.000 --> 00:11:44.000]  我就全盤相信不去查考
[00:11:44.000 --> 00:11:45.000]  你其實還沒有進入到
[00:11:45.000 --> 00:11:47.000]  一個跟上帝建立的關係
[00:11:47.000 --> 00:11:49.000]  你只不過純粹聽一個人講
[00:11:49.000 --> 00:11:51.000]  關於上帝的
[00:11:51.000 --> 00:11:53.000]  那這個人如果
[00:11:53.000 --> 00:11:54.000]  他的動機良好
[00:11:54.000 --> 00:11:55.000]  就說他動機不好
[00:11:55.000 --> 00:11:58.000]  那怎麼辦呢
[00:11:58.000 --> 00:12:01.000]  那你就會get stuck
[00:12:01.000 --> 00:12:04.000]  就是停在被照的層面
[00:12:04.000 --> 00:12:05.000]  今天這段聖經
[00:12:05.000 --> 00:12:07.000]  其實我想講的是
[00:12:07.000 --> 00:12:09.000]  怎樣可以真正保證
[00:12:09.000 --> 00:12:11.000]  你從被照的光景
[00:12:11.000 --> 00:12:12.000]  進入到你最終
[00:12:12.000 --> 00:12:14.000]  是在上帝的裡面
[00:12:14.000 --> 00:12:15.000]  能夠得救
[00:12:15.000 --> 00:12:16.000]  這個過程
[00:12:16.000 --> 00:12:17.000]  怎樣可以跨越
[00:12:17.000 --> 00:12:19.000]  而不是只是停在被照的層面
[00:12:19.000 --> 00:12:21.000]  所以有很多信徒
[00:12:21.000 --> 00:12:22.000]  或者有些回教會的人
