
[00:00:00.000 --> 00:00:03.860]  開始今天的講道呢,我們現在已經來到一個新的系列
[00:00:03.860 --> 00:00:09.300]  那麼這個系列就是,還記得我們上一個系列,其實是講到我們的教會
[00:00:09.300 --> 00:00:14.700]  那麼講到教會的時候呢,我們講到是,作為基督徒,在教會做很多很多的事情
[00:00:14.700 --> 00:00:19.500]  可是,如果就算你是基督徒,你每個禮拜都來主日
[00:00:19.500 --> 00:00:24.900]  或許你來小主,可是你一個禮拜大概只有五個小時在教會
[00:00:24.900 --> 00:00:29.400]  加上,除非你說我有很急的很heavy的開會啊、侍奉啊
[00:00:29.400 --> 00:00:31.600]  算你八個小時,八個小時
[00:00:31.600 --> 00:00:37.100]  所以意思就是說,你在一生當中,在一個禮拜,可能有八個小時在教會
[00:00:37.100 --> 00:00:39.700]  可是其他的時間,你都在外面
[00:00:39.700 --> 00:00:46.400]  所以,這一個系列,其實講到是,基督徒在教會以外的生活,應該怎麼樣生活
[00:00:46.400 --> 00:00:53.700]  我們來看一段的經文在,在,哦,我的powerpoint呢
[00:00:53.700 --> 00:00:57.900]  好,我們看一段經文在約翰福音的第十章
[00:00:57.900 --> 00:01:01.400]  OK,第十節,我們一起來讀好不好,我們一起來讀
[00:01:01.400 --> 00:01:05.400]  盜賊進來,無非要偷,要殺,要毀壞
[00:01:05.400 --> 00:01:10.900]  我來的目的是要使他們得生命,而且是豐豐富富的生命
[00:01:10.900 --> 00:01:16.400]  所以主耶穌說過,我們成為基督徒,其實他的目的是要我們過的一個很豐盛的生命
[00:01:16.400 --> 00:01:20.400]  是很有趣的,很有意思,你覺得很,真的很開心
[00:01:20.400 --> 00:01:27.400]  但是如果,我的重點是,如果你只是說把這段的經文應用在教會以內
[00:01:27.400 --> 00:01:32.400]  意思就是說,你一個禮拜,有五個小時或者八個小時,在教會以內
[00:01:32.400 --> 00:01:37.900]  你覺得我所做的事情,還蠻有意義,蠻過癮,蠻有意思
[00:01:37.900 --> 00:01:41.400]  那意思就是說,你一個禮拜只有八個小時,過得不錯
[00:01:41.400 --> 00:01:46.900]  那其餘的,那一百多個小時,一百六十個小時呢,那就過得很慘
[00:01:46.900 --> 00:01:52.400]  那麼今天我們就來看,我們人生當中呢,我們人一生,那如果你健康的話
[00:01:52.400 --> 00:01:55.900]  大概有八十歲,說你有八十歲,沒什麼病痛啊
[00:01:55.900 --> 00:02:00.400]  所以是兩萬九千兩百天,我不知道你已經過了多少天啊
[00:02:00.400 --> 00:02:09.400]  兩萬九千兩百天呢,當然你過得豐不豐盛呢,就看你是真的是活了兩萬九千兩百天
[00:02:09.400 --> 00:02:14.400]  還是說你只是活了一天,只是重複兩萬九千兩百次,那是不一樣的觀念
[00:02:14.400 --> 00:02:21.400]  OK,據統計呢,人的一生大概花了超過百分之四十的時間,在工作上面
[00:02:21.400 --> 00:02:27.400]  意思就是說,你會花了一萬一千六百八十天在工作當中度過
[00:02:27.400 --> 00:02:32.400]  所以如果你的工作不開心,你選了一份很淒慘的職業
[00:02:32.400 --> 00:02:42.400]  你說跟我的興趣不合,錢又不滿意,工作環境太糟糕,工作時段我也不喜歡,工作的同事很難頂
[00:02:42.400 --> 00:02:51.400]  那麼你的工作很慘,意思說你一生當中至少有一萬一千六百八十天是在不開心的當中度過
[00:02:51.400 --> 00:02:59.400]  意思說,如果耶穌說我來是要讓你得豐盛的生命,至少你有差不多一半的時間是你不豐盛的
[00:02:59.400 --> 00:03:04.400]  你覺得很沒趣,沒辦法,為了生活我不得不做,是因為這樣
[00:03:04.400 --> 00:03:13.400]  那麼問題就是,當你一生當中有一萬一千六百八十天不開心的時候,你會發現也影響你其他的東西
[00:03:13.400 --> 00:03:18.400]  工作上的壓力,你帶回家你會覺得不開心,也影響你的休閒娛樂
[00:03:18.400 --> 00:03:25.400]  甚至你去度假的時候還在想著,公司那個project,公司那個同事,我回去又要面對他,又要面對他
[00:03:25.400 --> 00:03:30.400]  那麼據統計呢,很慘,超過百分之七十的人不滿意他們的工作
[00:03:30.400 --> 00:03:35.400]  所謂I hate my job,百分之七十的人是我很討厭我的工作,不喜歡
[00:03:35.400 --> 00:03:39.400]  所以百分之七十的人其實一生當中過得真的很不愉快
[00:03:39.400 --> 00:03:44.400]  因為工作不愉快表示你一半的時間就不愉快,要影響家庭,影響其他
[00:03:44.400 --> 00:03:47.400]  所以你一生大概就很不愉快
[00:03:47.400 --> 00:03:53.400]  知道在工作當中在美國number one的殺手是什麼?
[00:03:53.400 --> 00:03:55.400]  心臟病heart attack
[00:03:55.400 --> 00:03:59.400]  知道heart attack是什麼時候發生最多第一次?
[00:03:59.400 --> 00:04:06.400]  heart attack發生最高的機率其實是Monday,Monday morning between 8 and 9
[00:04:06.400 --> 00:04:09.400]  就是你快要去上班的時候
[00:04:09.400 --> 00:04:13.400]  所以你知道如果你長期活在Monday blue,有沒有聽過Monday blue
[00:04:13.400 --> 00:04:19.400]  就是禮拜天開始憂鬱,想到明天回去要見我老闆,要見我同事就開始憂鬱
[00:04:19.400 --> 00:04:23.400]  然後心裡面就又開始,心臟承受壓力很大的
[00:04:23.400 --> 00:04:29.400]  所以heart attack心臟病最容易就是Monday morning between 8 and 9pm
[00:04:29.400 --> 00:04:33.400]  很多人覺得那時候我寧願死掉回去上班,所以就很慘,就很慘
[00:04:33.400 --> 00:04:39.400]  所以為什麼我今天要講這個topic,是因為工作其實對揪圖來講很重要
[00:04:39.400 --> 00:04:40.400]  對每個人來講都很重要
[00:04:40.400 --> 00:04:46.400]  工作選錯了或者工作不懂怎麼處理工作,對我們醫生的影響實在太大
[00:04:46.400 --> 00:04:53.400]  OK,我問你一個問題,如果你要辭職,以下哪一個是你的number one reason
[00:04:53.400 --> 00:04:59.400]  我先問,number one是錢太少,假期太少,上班時間過長,與公司同事處不來
[00:04:59.400 --> 00:05:03.400]  工作環境太惡劣,沒有升職的機會,所做的事情沒有意義,壓力太大
[00:05:03.400 --> 00:05:06.400]  好,number one,number one的請舉手
[00:05:06.400 --> 00:05:09.400]  如果你現在要辭職,要舉手,有沒有number one的
[00:05:09.400 --> 00:05:11.400]  所以你們人工比較滿意
[00:05:11.400 --> 00:05:17.400]  覺得假期太少,因為這個原因你會辭掉工作的舉手
[00:05:17.400 --> 00:05:23.400]  沒有啊,OK,number three啊,上班時間過長的舉手
[00:05:23.400 --> 00:05:30.400]  不會,OK,number four,與公司同事處不來,無論你上司下屬同事
[00:05:30.400 --> 00:05:36.400]  OK,有兩個,number five,工作環境太惡劣
[00:05:36.400 --> 00:05:40.400]  你覺得這是你number one reason,OK,兩個
[00:05:40.400 --> 00:05:45.400]  OK,沒有升職機會,你覺得on the top,就是我做到現在top了
[00:05:45.400 --> 00:05:51.400]  OK,一個,所做的事情沒有意義,OK,這個比較多對不對
[00:05:51.400 --> 00:05:57.400]  OK,壓力太大,也有,也有
[00:05:57.400 --> 00:06:01.400]  所以最多的比較是number seven,number eight
[00:06:01.400 --> 00:06:06.400]  是我們覺得說,wow,that's really the reason,我不喜歡我的工作
[00:06:06.400 --> 00:06:11.400]  其實根據survey,that's exactly,number seven,是number one reason
[00:06:11.400 --> 00:06:16.400]  很多人我們看不到我們所做的事情到底有什麼意義跟價值
[00:06:16.400 --> 00:06:20.400]  我們就會越做越沒有動力,那結果最後我們就很不喜歡我們的工作
[00:06:20.400 --> 00:06:26.400]  好,那麼我們首先今天要談一談,用聖經告訴我們,我們為什麼要工作
[00:06:26.400 --> 00:06:29.400]  很簡單,有幾個很不錯的理由,第一個理由呢
[00:06:29.400 --> 00:06:33.400]  最低層的理由就是,我工作是為了不要成為別人的負擔而已
[00:06:33.400 --> 00:06:36.400]  OK,一起讀這段經文好不好,一起來讀
[00:06:36.400 --> 00:06:41.400]  我在你們那裡的時候說過,不做工的人不得吃飯
[00:06:41.400 --> 00:06:46.400]  我們說這話是因為聽見你們當中,有人過著有所好閒的生活
[00:06:46.400 --> 00:06:50.400]  整天什麼事都不做,專管別人的閒事
[00:06:50.400 --> 00:06:54.400]  這是聖經給我們第一個工作的理由,就是不要成為別人的負擔
[00:06:54.400 --> 00:06:57.400]  人就是這樣,要麼就做正經事,要麼就做壞事
[00:06:57.400 --> 00:07:01.400]  所以有所好閒的人就會管別人的閒事
[00:07:01.400 --> 00:07:06.400]  所以這是最低層的,就是我不喜歡我的工作,我也不知道為什麼工作
[00:07:06.400 --> 00:07:11.400]  至少為了不要專管閒事成為別人的負擔,至少我要keep著工作
[00:07:11.400 --> 00:07:13.400]  這是number one reason
[00:07:13.400 --> 00:07:17.400]  當然聖經也不只是這麼負面,也有更正面的
