
[00:00:00.000 --> 00:00:01.840]  因為今天是父親節
[00:00:01.840 --> 00:00:04.840]  沒理由只說我退休的事
[00:00:04.840 --> 00:00:08.300]  當然退休也是父親
[00:00:08.300 --> 00:00:12.620]  我們也要為未來預備的一件事
[00:00:12.620 --> 00:00:14.780]  所以我想說一下
[00:00:14.780 --> 00:00:18.860]  其實做一個爸爸是一生之求
[00:00:18.860 --> 00:00:21.860]  也是在我們人生旅程裡面
[00:00:21.860 --> 00:00:25.560]  不同階段要擔當一個角色
[00:00:25.560 --> 00:00:30.460]  我們在座的每一個人未必都是父親
[00:00:30.460 --> 00:00:32.460]  在現在這個階段
[00:00:32.460 --> 00:00:35.700]  但我們一定有父親
[00:00:35.700 --> 00:00:39.540]  所以我們都會在我們人生的階段裡面
[00:00:39.540 --> 00:00:41.740]  相當長的時間
[00:00:41.740 --> 00:00:45.440]  去體會到爸爸怎樣對待我們
[00:00:45.440 --> 00:00:48.720]  和我們怎樣對待我們的爸爸
[00:00:48.720 --> 00:00:52.120]  還有將來我們很可能
[00:00:52.120 --> 00:00:57.360]  繼承我們的父親有些東西給我們的下一代
[00:00:57.360 --> 00:01:00.060]  廣方堂最老的一個父親
[00:01:00.060 --> 00:01:01.560]  如果我沒記錯
[00:01:01.560 --> 00:01:04.140]  就是99歲的梁長老
[00:01:04.140 --> 00:01:07.340]  梁長老今天有沒有在我們當中
[00:01:07.340 --> 00:01:08.680]  哇 站起來
[00:01:08.680 --> 00:01:13.480]  最年長的父親我們要給他一個honor
[00:01:13.480 --> 00:01:15.980]  99歲
[00:01:15.980 --> 00:01:19.980]  我真是很感恩
[00:01:19.980 --> 00:01:23.520]  每次他孫女好乖都扶他回來
[00:01:23.520 --> 00:01:26.960]  他女婿都70多歲了
[00:01:26.960 --> 00:01:29.560]  他太太98歲了
[00:01:29.560 --> 00:01:33.360]  我和她吃飯她的飯量比我還多
[00:01:33.360 --> 00:01:37.000]  睡眠的時間又比我長
[00:01:37.000 --> 00:01:39.540]  我真是為她感恩
[00:01:39.540 --> 00:01:46.380]  我們遲下會幫你慶祝一百零幾歲的大壽
[00:01:46.380 --> 00:01:50.080]  廣方堂最年輕的一個父親
[00:01:50.080 --> 00:01:52.120]  今天應該不在我們這裡
[00:01:52.120 --> 00:01:57.120]  我印象中是一個剛剛大學畢業的年青人
[00:01:57.120 --> 00:01:59.220]  他急著要結婚
[00:01:59.220 --> 00:02:01.900]  要生兒育女
[00:02:01.900 --> 00:02:05.200]  我們什麼時候成為一個父親呢?
[00:02:05.200 --> 00:02:06.660]  答案很簡單
