
[00:00:00.000 --> 00:00:03.600]  上星期開始的張林正的訊息
[00:00:03.600 --> 00:00:05.840]  我準備在這幾個星期內
[00:00:05.840 --> 00:00:11.440]  有思想關乎基督降生對我們的意義
[00:00:11.440 --> 00:00:14.320]  以致我們更加預備在聖誕節的時候
[00:00:14.320 --> 00:00:18.800]  來有更深的體會
[00:00:18.800 --> 00:00:20.400]  所以今天和大家來看
[00:00:20.400 --> 00:00:24.480]  在約翰福音的一章一到十四節
[00:00:24.480 --> 00:00:28.160]  其中這幾節因為講到施洗約翰就跳過了
[00:00:28.160 --> 00:00:33.760]  但我們的目光就集中在這段很特別的經文
[00:00:33.760 --> 00:00:40.320]  一位基督教的著名作家C.S. Lewis
[00:00:40.320 --> 00:00:43.600]  大家都應該聽過他的名字 路易斯
[00:00:43.600 --> 00:00:45.520]  他曾經這樣說
[00:00:45.520 --> 00:00:51.040]  他說聖誕節所宣告給我們中心的訊息
[00:00:51.040 --> 00:00:56.160]  就是道成肉身的奇妙神蹟
[00:00:56.160 --> 00:01:01.440]  其實整個聖誕節最大最深厚的意義
[00:01:01.440 --> 00:01:04.000]  就是不單止基督降生
[00:01:04.000 --> 00:01:07.280]  而是這位的道成為肉身
[00:01:07.280 --> 00:01:12.880]  這講到神竟然成為人
[00:01:12.880 --> 00:01:15.280]  來到我們人類的中間
[00:01:15.280 --> 00:01:18.640]  所以C.S. Lewis說到整個聖誕節
[00:01:18.640 --> 00:01:20.640]  最中心的訊息
[00:01:20.640 --> 00:01:26.240]  可以說是Incarnation 道成肉身
[00:01:26.240 --> 00:01:27.760]  所以講到道成肉身
[00:01:27.760 --> 00:01:31.840]  當然就指到約翰福音這段經文
[00:01:31.840 --> 00:01:35.920]  所以今天我們來思想這段經文當中
[00:01:35.920 --> 00:01:38.320]  給我們的一些提醒
[00:01:38.320 --> 00:01:42.000]  思想這位道成為肉身的基督
[00:01:42.000 --> 00:01:45.520]  所以在約翰的書信裏面
[00:01:45.520 --> 00:01:49.520]  是講到基督的神聖為主要
[00:01:49.520 --> 00:01:51.760]  所以給我們體會到
[00:01:51.760 --> 00:01:56.880]  原來耶穌基督不是單是一位歷史性的基督
[00:01:56.880 --> 00:01:58.160]  什麼叫歷史性基督?
[00:01:58.160 --> 00:02:01.760]  即是說他在人類歷史裏面曾經出現過
[00:02:01.760 --> 00:02:04.640]  被記錄下來是真實的事
[00:02:04.640 --> 00:02:06.160]  固然是
[00:02:06.160 --> 00:02:08.880]  但他不單止是一位歷史性的基督
[00:02:08.880 --> 00:02:12.000]  他更加是一位神性的基督
[00:02:12.000 --> 00:02:16.640]  即是說他不像普通人類歷史裏面
[00:02:16.640 --> 00:02:19.680]  曾經出現過在人類歷史裏面
[00:02:19.680 --> 00:02:22.800]  被記錄下來真實的發生
[00:02:22.800 --> 00:02:27.200]  而他更加是一位神
[00:02:27.200 --> 00:02:32.160]  來到人的當中用肉身來顯現
