
[00:00:00.000 --> 00:00:03.080]  有一個農夫有一次走過田間
[00:00:03.080 --> 00:00:05.680]  看到一條蛇凍到僵
[00:00:05.680 --> 00:00:07.680]  憐憫之心而起
[00:00:07.680 --> 00:00:10.680]  就將那條蛇放進了他的懷中
[00:00:10.680 --> 00:00:12.880]  那條蛇被暖了之後
[00:00:12.880 --> 00:00:14.080]  突然一醒了
[00:00:14.080 --> 00:00:17.480]  一醒看到農夫就一口咬下去
[00:00:17.480 --> 00:00:20.280]  然後就逃之夭夭
[00:00:20.280 --> 00:00:22.880]  我相信這一個古舊的寓言
[00:00:22.880 --> 00:00:24.280]  大家都聽過
[00:00:24.280 --> 00:00:25.280]  不過不只大家
[00:00:25.280 --> 00:00:27.080]  你聽完這個寓言之後
[00:00:27.080 --> 00:00:28.480]  你如何理解這個寓言
[00:00:28.480 --> 00:00:33.480]  又或者當中有什麼領悟的道理呢
[00:00:33.480 --> 00:00:35.600]  有些人可能會說
[00:00:35.600 --> 00:00:37.080]  這個故事教訓我們
[00:00:37.080 --> 00:00:41.000]  千萬不要對惡人仁慈
[00:00:41.000 --> 00:00:44.200]  因為你對惡人仁慈
[00:00:44.200 --> 00:00:46.800]  就是對好人殘忍
[00:00:46.800 --> 00:00:49.000]  所以這個教訓就是說
[00:00:49.000 --> 00:00:53.200]  對壞人千萬不可以有憐憫之心
[00:00:53.200 --> 00:00:54.600]  也有些人可能會說
[00:00:54.600 --> 00:00:55.720]  我怎麼知道那個人壞人
[00:00:55.720 --> 00:00:59.800]  也有好人之人口面不知心
[00:00:59.800 --> 00:01:01.400]  不是的
[00:01:01.400 --> 00:01:03.400]  最重要是穩陣起見
[00:01:03.400 --> 00:01:05.400]  最好就是所有人都不幫
[00:01:05.400 --> 00:01:09.200]  那就保證不會受到傷害
[00:01:09.200 --> 00:01:11.720]  這個寓言裡面還有一個下文
[00:01:11.720 --> 00:01:14.000]  農夫臨死之前就說
[00:01:14.000 --> 00:01:17.000]  唉 一心想做好事
[00:01:17.000 --> 00:01:19.000]  可惜因為自己這麼無知
[00:01:19.000 --> 00:01:21.400]  搞到現在連自己的命都沒了
[00:01:21.400 --> 00:01:23.800]  報應啊報應
[00:01:23.800 --> 00:01:24.600]  意思就是說什麼
[00:01:24.600 --> 00:01:27.000]  意思就是說這個農夫如果知道
[00:01:27.000 --> 00:01:30.600]  這條蛇是真的會咬他的話
[00:01:30.600 --> 00:01:34.200]  很明顯他就不會幫這條蛇
[00:01:34.200 --> 00:01:35.400]  我們相信
[00:01:35.400 --> 00:01:39.200]  我估計我們都會同意
[00:01:39.200 --> 00:01:41.800]  這個農夫這麼說
[00:01:41.800 --> 00:01:44.400]  是很有合情合理的
[00:01:44.400 --> 00:01:46.200]  試想想如果你一早知道
[00:01:46.200 --> 00:01:47.400]  你幫這個人
[00:01:47.400 --> 00:01:48.400]  幫完之後
[00:01:48.400 --> 00:01:52.000]  他會反過來傷害你的時候
[00:01:52.000 --> 00:01:54.600]  傻的才會幫 是不是
[00:01:54.600 --> 00:01:58.000]  不過今天我們所讀的經文
[00:01:58.000 --> 00:02:00.000]  給我們看到是另外一個圖畫
[00:02:00.000 --> 00:02:02.400]  神並不如此
[00:02:02.400 --> 00:02:05.400]  經文就是說他並非世人
[00:02:05.400 --> 00:02:06.800]  因為神就是神
[00:02:06.800 --> 00:02:12.000]  神在我們人中間的聖者
[00:02:12.000 --> 00:02:14.000]  神是無所不在
[00:02:14.000 --> 00:02:17.400]  無所不知 無所不能的
[00:02:17.400 --> 00:02:20.800]  當這個摩西臨近他
[00:02:20.800 --> 00:02:22.600]  他將要離世的時候
[00:02:22.600 --> 00:02:25.200]  神曾經和摩西這樣說
[00:02:25.200 --> 00:02:28.200]  他說你們以色列
[00:02:28.200 --> 00:02:30.400]  百姓將會進入一個英國之地
[00:02:30.400 --> 00:02:31.200]  迦南之地
[00:02:31.200 --> 00:02:32.400]  不過他們進去之後
[00:02:32.400 --> 00:02:34.200]  會在那個地方怎樣
[00:02:34.200 --> 00:02:38.400]  隨從外邦神行邪人離棄我
[00:02:38.400 --> 00:02:42.200]  違背我和他們所立過的約
[00:02:42.200 --> 00:02:43.600]  這段話
[00:02:43.600 --> 00:02:47.000]  遠在他們進入迦南地之前已經說了
[00:02:47.000 --> 00:02:48.400]  那就是說什麼
[00:02:48.400 --> 00:02:52.400]  就是說在他們進入迦南地之前
[00:02:52.400 --> 00:02:54.800]  神已經知道
[00:02:54.800 --> 00:02:56.400]  預先和他們說
[00:02:56.400 --> 00:02:59.400]  這一班的百姓將會離棄他
[00:02:59.400 --> 00:03:03.400]  將會轉向偶像
[00:03:03.400 --> 00:03:04.000]  如果這樣的時候
[00:03:04.000 --> 00:03:06.400]  我們不禁問的問題就是說
[00:03:06.400 --> 00:03:08.200]  既然神知道這一班的百姓
[00:03:08.200 --> 00:03:10.800]  無論怎樣對他們好
[00:03:10.800 --> 00:03:13.600]  帶他們進入牛奶與物之地
[00:03:13.600 --> 00:03:16.800]  讓他們在那個肥沃的土地上面
[00:03:16.800 --> 00:03:19.200]  繁榮昌盛
[00:03:19.200 --> 00:03:23.000]  但是這一班人都會出賣他
[00:03:23.000 --> 00:03:23.800]  離棄他
[00:03:23.800 --> 00:03:29.000]  甚至反過來傷害天父上帝
[00:03:29.000 --> 00:03:29.800]  那我們問的問題就是
[00:03:29.800 --> 00:03:30.400]  既然如此
[00:03:30.400 --> 00:03:33.200]  為什麼神仍然要帶這一班的人
[00:03:33.200 --> 00:03:35.800]  進入英去之地呢
[00:03:35.800 --> 00:03:38.600]  為什麼神仍然要呼召這一班人
[00:03:38.600 --> 00:03:42.400]  成為神的兒女呢
[00:03:42.400 --> 00:03:45.800]  中國人就說
[00:03:45.800 --> 00:03:48.400]  德人恩果千年記
[00:03:48.400 --> 00:03:50.000]  下一句是什麼
[00:03:50.000 --> 00:03:53.000]  德人不花但萬年香
[00:03:53.000 --> 00:03:54.800]  我們其實從小到大
[00:03:54.800 --> 00:03:57.600]  中國人的傳統思想都知道的
[00:03:57.600 --> 00:03:59.000]  人家給我們恩惠
[00:03:59.000 --> 00:03:59.800]  我們要怎樣
[00:03:59.800 --> 00:04:01.000]  不要亂來不記得
[00:04:01.000 --> 00:04:03.600]  我們要記住人家給我們的恩惠
