
[00:00:00.000 --> 00:00:11.700]  羅馬書第十章,第十五節,羅馬書第十章,第十五節,我們一起來唸,好不好?
[00:00:11.700 --> 00:00:22.600]  如果,怎能傳道如今上所記,報福音,傳信息,他們的教宗何等佳美?
[00:00:22.600 --> 00:00:26.800]  我們一起禱告,我們在天上的復生,我們滿心的感謝,讚美你。
[00:00:26.800 --> 00:00:33.800]  主,是祢自己為我們成就的事情,是祢自己所做的事情,是祢自己在我們心裡面動了祢自己的善功。
[00:00:33.800 --> 00:00:39.300]  主,祢從創世,祢就開始在那邊做事,主,一直到現在,主,我們謝謝祢。
[00:00:39.300 --> 00:00:45.600]  主,我們看見祢自己的心意,我們也看見祢自己在教會歷史上過去所成就的事情,
[00:00:45.600 --> 00:00:53.100]  我們相信祢會繼續的做下去,讓我們在這個世界上真的是有盼望,我們知道我們為什麼而活。
[00:00:53.100 --> 00:00:56.900]  我們謝謝祢,我們今天,下面的時間都仰望在祢的手中,
[00:00:56.900 --> 00:01:02.300]  祢自己的聖靈,向我們每一位講話,在我們心裡面繼續的做祢自己的工作,
[00:01:02.300 --> 00:01:11.600]  讓我們有一個順服的心,順服祢自己的話,我們感謝禱告,侍奉主耶穌基督的聖名,阿門。
[00:01:11.600 --> 00:01:17.600]  剛才我們唸羅馬書第十章,第十五節的時候,在那裡講到加美的教宗,
[00:01:17.600 --> 00:01:20.800]  那麼加美的教宗到底是什麼意思呢?
[00:01:20.800 --> 00:01:25.500]  我們如果從聖經上面看,有許許多多的,但是呢,我簡單的說呢,
[00:01:25.500 --> 00:01:30.300]  就是說他們走過的路很美,就是這個意思。
[00:01:30.300 --> 00:01:35.500]  那麼保羅呢,他是引用舊約,在以色列書第五十二章第七節,
[00:01:35.500 --> 00:01:44.600]  那麼神藉著以色列在那個地方,他是要報告給猶大,那個時候叫做猶大國,
[00:01:44.600 --> 00:01:49.600]  那麼也報告給以色列人,他們一個得勝的消息。
[00:01:49.600 --> 00:01:57.000]  弟兄姊妹如果你記得的話,在那個時候亞述帝國已經把北國亡掉了,
[00:01:57.000 --> 00:02:04.200]  然後南國正在面臨危機,神要藉著巴比倫要懲罰他們,
[00:02:04.200 --> 00:02:09.800]  過了沒有多久之後他們就滅亡了,但是在那個時候,在還沒有滅亡的時候,
[00:02:09.800 --> 00:02:16.200]  神已經藉著先知以色列告訴他們,要帶給他們得勝的消息,
[00:02:16.200 --> 00:02:22.200]  要救他們脫離這些統治。
