
[00:00:00.000 --> 00:00:04.000]  今天我們繼續看以利亞的系列
[00:00:04.000 --> 00:00:10.200]  以利亞的系列是講述聖經人物以利亞
[00:00:10.200 --> 00:00:14.080]  如何從他的生命中學習
[00:00:14.080 --> 00:00:17.480]  我們嘗試看看當中的經文
[00:00:17.480 --> 00:00:22.520]  今天我們會看第十七章十七至二十四節
[00:00:22.520 --> 00:00:26.920]  題目是《逆境中的盼望》
[00:00:26.920 --> 00:00:29.200]  先看看經文,從十七節開始
[00:00:29.200 --> 00:00:31.920]  此時那婦人就是那家的女主人
[00:00:31.920 --> 00:00:35.880]  她的兒子病了,病得很重,甚至沒有氣息
[00:00:35.880 --> 00:00:38.960]  婦人對以利亞說:神娘,我跟你有什麼關係?
[00:00:38.960 --> 00:00:42.000]  你警告我子女來使上帝記起我的罪
[00:00:42.000 --> 00:00:43.800]  以致我的兒子死了
[00:00:43.800 --> 00:00:46.800]  以利亞對她說:把你的兒子交給我
[00:00:46.800 --> 00:00:50.400]  以利亞從婦人懷中接過孩子來
[00:00:50.400 --> 00:00:54.680]  抱到她所住的頂樓,放在自己的床上
[00:00:54.680 --> 00:00:57.600]  她求告耶和華說:耶和華,我的上帝呀
[00:00:57.600 --> 00:01:00.920]  我寄居在這寡婦的家裡,你卻降和於她
[00:01:00.920 --> 00:01:03.040]  是她的兒子死了嗎?
[00:01:03.040 --> 00:01:05.400]  以利亞三次伏在孩子的身上
[00:01:05.400 --> 00:01:07.800]  求告耶和華說:耶和華,我的上帝呀
[00:01:07.800 --> 00:01:11.440]  求祢使這孩子的生命歸回給她吧
[00:01:11.440 --> 00:01:14.000]  耶和華聽了以利亞的呼求
[00:01:14.000 --> 00:01:17.840]  孩子的生命歸回給她,她就活了
[00:01:17.840 --> 00:01:20.800]  以利亞把孩子從樓上抱下來
[00:01:20.800 --> 00:01:23.280]  進了房間,交給她的母親雪看
[00:01:23.280 --> 00:01:24.560]  你的兒子活了
[00:01:24.560 --> 00:01:27.640]  婦人對以利亞說:現在我知道你是神人
[00:01:27.640 --> 00:01:32.440]  耶和華藉你口所說的話,是真的
[00:01:32.440 --> 00:01:38.120]  等於我們一直看以利亞的事蹟的時候
[00:01:38.120 --> 00:01:41.520]  都讓我們了解和明白我們的信仰
[00:01:41.520 --> 00:01:43.440]  就像我們剛才的詩歌所說
[00:01:43.440 --> 00:01:46.800]  我們的信仰是給予我們一個活的盼望
[00:01:46.800 --> 00:01:48.200]  一個Living Hope
