
[00:00:00.000 --> 00:00:01.040]  大家兄姊妹早晨
[00:00:01.040 --> 00:00:05.360]  很開心再一次來到教會和大家分享神的話語
[00:00:05.360 --> 00:00:07.560]  這個講壇真的很適合我
[00:00:07.560 --> 00:00:11.480]  謝謝同工們這麼用心遷就我
[00:00:11.480 --> 00:00:12.160]  謝謝
[00:00:12.160 --> 00:00:14.880]  今天我來到在停車場的時候
[00:00:14.880 --> 00:00:17.120]  一在泊車我就覺得好像很熟悉
[00:00:17.120 --> 00:00:19.520]  好像上個月才剛來港那裡
[00:00:19.520 --> 00:00:21.120]  想一想不是的
[00:00:21.120 --> 00:00:22.920]  其實我上次來什麼時候?
[00:00:22.920 --> 00:00:25.120]  去年是吧
[00:00:25.120 --> 00:00:26.600]  一年了
[00:00:26.600 --> 00:00:28.400]  時間真的快不快?
[00:00:28.800 --> 00:00:31.240]  很快啊 你們覺得時間過得快不快?
[00:00:31.240 --> 00:00:33.240]  如果你覺得時間過得快
[00:00:33.240 --> 00:00:34.440]  說明你很快樂
[00:00:34.440 --> 00:00:36.640]  為什麼呢?
[00:00:36.640 --> 00:00:39.880]  快樂不知時日過
[00:00:39.880 --> 00:00:40.520]  是不是?
[00:00:40.520 --> 00:00:42.920]  好過你渡日如年
[00:00:42.920 --> 00:00:43.720]  是不是?
[00:00:43.720 --> 00:00:45.600]  所以這是一個好事
[00:00:45.600 --> 00:00:47.600]  但是更加是提醒我們
[00:00:47.600 --> 00:00:51.280]  要珍惜光陰把握現在的機會
[00:00:51.280 --> 00:00:54.720]  在過去眨眼就過了去的一年
[00:00:54.720 --> 00:00:56.360]  不知道我們經歷了什麼
[00:00:56.360 --> 00:00:58.120]  不過至少我們要明白
[00:00:58.120 --> 00:01:00.400]  你的眼睛不要隨便再眨
[00:01:00.400 --> 00:01:01.800]  眨一眨又沒有一年了
[00:01:01.800 --> 00:01:04.840]  又眨了一眨
[00:01:04.840 --> 00:01:05.400]  不要了
[00:01:05.400 --> 00:01:07.560]  但是最重要就是說
[00:01:07.560 --> 00:01:09.480]  在眨眼即過的一年當中
[00:01:09.480 --> 00:01:10.920]  我們經歷了什麼?
[00:01:10.920 --> 00:01:15.680]  我們在地上可能有很豐富的生活
[00:01:15.680 --> 00:01:17.440]  但是我們在神的家中
[00:01:17.440 --> 00:01:20.040]  是不是依然有很豐富的經歷?
[00:01:20.040 --> 00:01:23.480]  我們的人生應該怎麼去走
