
[00:00:00.000 --> 00:00:02.000]  今天是大年初一
[00:00:02.000 --> 00:00:04.000]  在這裡先跟大家拜個年
[00:00:04.000 --> 00:00:06.000]  祝大家新年進步
[00:00:06.000 --> 00:00:08.000]  福杯滿入
[00:00:08.000 --> 00:00:10.000]  新年流流
[00:00:10.000 --> 00:00:12.000]  我們通常都會講很多好意頭的說話
[00:00:12.000 --> 00:00:14.000]  這些好意頭的說話
[00:00:14.000 --> 00:00:16.000]  很多時候都不離開一個字
[00:00:16.000 --> 00:00:18.000]  這個字就是福字
[00:00:18.000 --> 00:00:22.000]  大家都有講五福臨門
[00:00:22.000 --> 00:00:24.000]  有沒有講呀
[00:00:30.000 --> 00:00:32.000]  原來五福臨門
[00:00:32.000 --> 00:00:34.000]  這個字是有出處的
[00:00:34.000 --> 00:00:36.000]  大家知不知道這句說話來自哪裡
[00:00:36.000 --> 00:00:40.000]  來自書經
[00:00:40.000 --> 00:00:44.000]  書經是中國最古老的歷史書
[00:00:44.000 --> 00:00:48.000]  書經又稱為尚書
[00:00:48.000 --> 00:00:50.000]  大家又知不知道五福是哪五福
[00:00:50.000 --> 00:00:54.000]  不是福祿壽
[00:00:54.000 --> 00:00:56.000]  第一個福是長壽
[00:00:56.000 --> 00:00:58.000]  即是長命
[00:00:58.000 --> 00:01:00.000]  第二個福是富貴
[00:01:00.000 --> 00:01:02.000]  很有錢
[00:01:02.000 --> 00:01:04.000]  第三個福是康寧
[00:01:04.000 --> 00:01:06.000]  即是身心康泰身心康寧
[00:01:06.000 --> 00:01:08.000]  好德
[00:01:08.000 --> 00:01:10.000]  好德是指有好的品德
[00:01:10.000 --> 00:01:14.000]  有歡厚
[00:01:14.000 --> 00:01:16.000]  仁愛樂善好施
[00:01:16.000 --> 00:01:20.000]  最後一個福是善忠
[00:01:20.000 --> 00:01:24.000]  即是很平安自在
[00:01:24.000 --> 00:01:26.000]  走完人生的道路
[00:01:26.000 --> 00:01:28.000]  壽終正寢
[00:01:28.000 --> 00:01:30.000]  大家認不認同
[00:01:30.000 --> 00:01:32.000]  有這五樣東西就是有福的人生
[00:01:32.000 --> 00:01:34.000]  認不認同
[00:01:34.000 --> 00:01:36.000]  都算幾好
[00:01:36.000 --> 00:01:38.000]  但聖經又怎樣講呢
[00:01:38.000 --> 00:01:40.000]  不如我們又看看聖經
[00:01:40.000 --> 00:01:42.000]  今日我想和大家看
[00:01:42.000 --> 00:01:44.000]  詩篇第一篇
[00:01:44.000 --> 00:01:46.000]  其實這篇詩篇
[00:01:46.000 --> 00:01:48.000]  在新年的時候講
[00:01:48.000 --> 00:01:50.000]  是很應景的
[00:01:50.000 --> 00:01:52.000]  因為詩篇第一篇
[00:01:52.000 --> 00:01:54.000]  第一個字就是福
[00:01:54.000 --> 00:01:56.000]  在中文是看不到的
[00:01:56.000 --> 00:01:58.000]  但在英文會看得比較清楚
[00:01:58.000 --> 00:02:00.000]  Blessed is the man
[00:02:00.000 --> 00:02:02.000]  即是有福的人
[00:02:02.000 --> 00:02:04.000]  有什麼福呢
[00:02:04.000 --> 00:02:06.000]  我們跟著看看
[00:02:06.000 --> 00:02:08.000]  我們看第三節
[00:02:08.000 --> 00:02:10.000]  一起唸
[00:02:10.000 --> 00:02:12.000]  他要像一棵樹
[00:02:12.000 --> 00:02:14.000]  栽在溪水旁
[00:02:14.000 --> 00:02:16.000]  按時候結果指
[00:02:16.000 --> 00:02:18.000]  葉子也不枯乾
[00:02:18.000 --> 00:02:20.000]  凡他所作的
[00:02:20.000 --> 00:02:22.000]  盡都順利
