
[00:00:00.000 --> 00:00:01.840]  各位聽眾姐妹,早安!
[00:00:01.840 --> 00:00:06.520]  我們繼續看《羅馬書》第九章到十一章
[00:00:06.520 --> 00:00:08.720]  很明顯是一個獨立的單元
[00:00:08.720 --> 00:00:10.520]  是一個單元,九到十一章
[00:00:10.520 --> 00:00:13.880]  我們承接上個禮拜的單元
[00:00:13.880 --> 00:00:15.640]  講到神賜恩給外邦人
[00:00:15.640 --> 00:00:17.160]  神有自己的計劃
[00:00:17.160 --> 00:00:19.800]  有祂作為主人
[00:00:19.800 --> 00:00:20.920]  上帝是主人
[00:00:20.920 --> 00:00:22.600]  祂是一個要將
[00:00:22.600 --> 00:00:27.040]  祂有權柄去作出判斷和決定
[00:00:27.040 --> 00:00:29.880]  這段延續下來
[00:00:29.880 --> 00:00:32.320]  我們看這段經文有一個感受
[00:00:32.320 --> 00:00:33.840]  不知道你們有沒有感覺
[00:00:33.840 --> 00:00:37.240]  近年研究《新約聖經》的時候
[00:00:37.240 --> 00:00:39.840]  常常都有一個這樣的專題
[00:00:39.840 --> 00:00:41.640]  不知道大家是否發覺
[00:00:41.640 --> 00:00:45.520]  以下所讀的很多都是舊約的引文
[00:00:45.520 --> 00:00:46.600]  什麼意思呢?
[00:00:46.600 --> 00:00:47.880]  講了很多舊約
[00:00:47.880 --> 00:00:49.640]  而引用舊約的時候
[00:00:49.640 --> 00:00:53.560]  發覺和它原本的意思是有借用
[00:00:53.560 --> 00:00:54.880]  或者有再延伸
[00:00:54.880 --> 00:00:55.840]  有延續下去
[00:00:55.840 --> 00:00:58.240]  不是完全是原本的意思
[00:00:58.240 --> 00:00:59.400]  這個研究
[00:00:59.400 --> 00:01:03.080]  近年也有很多學者用這樣的方式去研讀
[00:01:03.080 --> 00:01:08.840]  譬如在我們波羅臣學院的老師梁美心博士出了一本書
[00:01:08.840 --> 00:01:13.000]  從《約翰的眼中》或者《約翰》去讀
[00:01:13.000 --> 00:01:14.520]  一題同讀
[00:01:14.520 --> 00:01:15.480]  《舊約聖經》
[00:01:15.480 --> 00:01:19.320]  《約翰福音》的《舊約聖經》引用
[00:01:19.320 --> 00:01:21.240]  怎樣的應用原則
[00:01:21.240 --> 00:01:23.240]  為什麼會這樣去引申得到呢?
[00:01:23.240 --> 00:01:25.200]  這件事本來不是講這件事的
[00:01:25.200 --> 00:01:27.120]  為什麼會慢慢引申得到呢?
[00:01:27.120 --> 00:01:29.200]  這一段九至十一章
[00:01:29.200 --> 00:01:33.520]  我查到其實有一本專書也是講這件事情的
[00:01:33.520 --> 00:01:36.640]  就是從《保羅的眼中》一起同讀
[00:01:36.640 --> 00:01:38.040]  這一段《舊約聖經》
[00:01:38.040 --> 00:01:38.640]  特別多的
[00:01:38.640 --> 00:01:39.320]  很多的
[00:01:39.320 --> 00:01:39.960]  一直下去
[00:01:39.960 --> 00:01:41.280]  前前後後都是
[00:01:41.280 --> 00:01:46.640]  中國神學研究院薛霞霞博士有一本專書
[00:01:46.640 --> 00:01:48.680]  也是講到這件事情的
[00:01:48.680 --> 00:01:51.920]  我就說弄些中文來看看
[00:01:51.920 --> 00:01:54.480]  我寫 email 問她
[00:01:54.480 --> 00:01:58.200]  牧師英文那本已經三連串出版了
[00:01:58.200 --> 00:02:00.320]  不過中文那本要七月才出版
[00:02:00.320 --> 00:02:02.400]  我真的等不及
[00:02:02.400 --> 00:02:04.120]  唯有跟你同讀
[00:02:04.120 --> 00:02:05.320]  遲些七月出版的時候
[00:02:05.320 --> 00:02:06.800]  你就跟我一起去讀
[00:02:06.800 --> 00:02:08.040]  有原則的
[00:02:08.040 --> 00:02:09.000]  有原因的
[00:02:09.000 --> 00:02:12.720]  特別在歷史發展的過程裡面
[00:02:12.720 --> 00:02:14.800]  第二聖殿之後
[00:02:14.800 --> 00:02:16.520]  猶太人信仰發展
[00:02:16.520 --> 00:02:18.400]  有很多背景的原因在這裡
[00:02:18.400 --> 00:02:19.640]  他們可以這樣解讀
[00:02:19.640 --> 00:02:21.240]  聖經甚至也啟示他
[00:02:21.240 --> 00:02:22.840]  釋放他的信息
[00:02:22.840 --> 00:02:28.920]  讓他們增闊了對閱讀《九曰聖經》裡面的限制
[00:02:28.920 --> 00:02:30.720]  這個不是亂解
[00:02:30.720 --> 00:02:32.240]  是有他自己的原則在當中
[00:02:32.240 --> 00:02:33.280]  我們也在學習
[00:02:33.280 --> 00:02:34.720]  我們看回這段聖經本身
[00:02:34.720 --> 00:02:35.880]  《河西亞書》就是了
[00:02:35.880 --> 00:02:36.960]  很明顯地看到
[00:02:36.960 --> 00:02:39.400]  最開頭河西亞先知
[00:02:39.400 --> 00:02:41.720]  是一個北角的先知
[00:02:41.720 --> 00:02:44.040]  他領受上帝的吩咐
[00:02:44.040 --> 00:02:45.360]  叫他娶了一個老婆
[00:02:45.360 --> 00:02:46.440]  那個老婆呢
