
[00:00:00.000 --> 00:00:02.000]  第一節早晨
[00:00:02.000 --> 00:00:07.000]  剛才讀的那段經文
[00:00:07.000 --> 00:00:09.000]  我不知道你有沒有很留心去讀
[00:00:09.000 --> 00:00:11.000]  如果你留心去讀的時候
[00:00:11.000 --> 00:00:15.000]  你就會發覺很恐怖
[00:00:15.000 --> 00:00:18.000]  誰可以跟隨耶穌
[00:00:18.000 --> 00:00:21.000]  連回去埋葬我爸爸也不行
[00:00:21.000 --> 00:00:25.000]  回去跟家人說聲拜拜也不行
[00:00:25.000 --> 00:00:27.000]  所以今天我們的題目叫做
[00:00:27.000 --> 00:00:30.000]  不近人情的呼召
[00:00:30.000 --> 00:00:33.000]  不過有一個問號
[00:00:33.000 --> 00:00:35.000]  我們一起去祈禱
[00:00:35.000 --> 00:00:36.000]  神下天父我們感謝你
[00:00:36.000 --> 00:00:38.000]  讓我們今天早上來到你面前
[00:00:38.000 --> 00:00:39.000]  去敬拜你
[00:00:39.000 --> 00:00:42.000]  求神去打開我們的心
[00:00:42.000 --> 00:00:45.000]  讓我們去聆聽你的話語
[00:00:45.000 --> 00:00:47.000]  也去明白你的話語
[00:00:47.000 --> 00:00:49.000]  也去實踐你的話語
[00:00:49.000 --> 00:00:50.000]  這樣祈禱交托
[00:00:50.000 --> 00:00:53.000]  奉主耶穌基督命基督
[00:00:53.000 --> 00:00:56.000]  剛才講的有三部分
[00:00:56.000 --> 00:00:58.000]  第一個我們首先來看
[00:00:58.000 --> 00:01:00.000]  有人說耶穌耶穌
[00:01:00.000 --> 00:01:01.000]  我想跟隨你
[00:01:01.000 --> 00:01:02.000]  耶穌就說
[00:01:02.000 --> 00:01:03.000]  狐狸有洞
[00:01:03.000 --> 00:01:05.000]  天空的飛鳥有窩
[00:01:05.000 --> 00:01:07.000]  只是人子沒有枕頭的地方
[00:01:07.000 --> 00:01:09.000]  即是你跟我
[00:01:09.000 --> 00:01:11.000]  你就做家人都可以了
[00:01:11.000 --> 00:01:13.000]  無家可歸的人
[00:01:13.000 --> 00:01:16.000]  即是沒有枕頭睡的
[00:01:16.000 --> 00:01:17.000]  你有沒有覺得這句話
[00:01:17.000 --> 00:01:19.000]  不是很合理
[00:01:19.000 --> 00:01:20.000]  大家覺得
[00:01:20.000 --> 00:01:23.000]  大家昨晚在哪裏睡
[00:01:23.000 --> 00:01:24.000]  在家裏睡
[00:01:24.000 --> 00:01:26.000]  有沒有枕頭
[00:01:26.000 --> 00:01:27.000]  有
[00:01:27.000 --> 00:01:28.000]  我們都可以跟隨神
[00:01:28.000 --> 00:01:29.000]  我們有地方睡
[00:01:29.000 --> 00:01:31.000]  我們沒有家人
[00:01:31.000 --> 00:01:34.000]  就算耶穌都不是每晚都沒有家人
[00:01:34.000 --> 00:01:36.000]  為什麼會這樣
[00:01:36.000 --> 00:01:37.000]  還有
[00:01:37.000 --> 00:01:39.000]  耶穌不是對每一個人
[00:01:39.000 --> 00:01:41.000]  都發出這樣的挑戰
[00:01:41.000 --> 00:01:42.000]  只是這個人
[00:01:42.000 --> 00:01:44.000]  為什麼
