
[00:00:00.000 --> 00:00:03.000]  今日是猜拳月的第二個主日
[00:00:03.000 --> 00:00:08.000]  題目:跟隨耶穌使井中
[00:00:08.000 --> 00:00:10.000]  使井就是一個猜拳
[00:00:10.000 --> 00:00:13.000]  一個很重要的觀念
[00:00:13.000 --> 00:00:17.000]  今日的經文就是《肉眼福音》第四章第一節到第三十節
[00:00:17.000 --> 00:00:20.000]  我必須要將三十節的經文都列出來
[00:00:20.000 --> 00:00:24.000]  因為這樣才能夠將信息完整
[00:00:30.000 --> 00:00:39.000]  請聽我讀第一章第四章第一節到第六節
[00:00:39.000 --> 00:00:47.000]  耶穌知道法利塞人聽見他收門徒和施浸比約翰還多
[00:00:47.000 --> 00:00:52.000]  其實不是耶穌親自施浸而是他的門徒施浸
[00:00:52.000 --> 00:00:57.000]  他就離開猶大又回加利利去
[00:00:57.000 --> 00:01:00.000]  他必須經過撒瑪利亞
[00:01:00.000 --> 00:01:03.000]  於是到了撒瑪利亞的一座城
[00:01:03.000 --> 00:01:09.000]  名叫聚加靠近雅各給他兒子約瑟的那塊地
[00:01:09.000 --> 00:01:12.000]  雅各井就在那裡
[00:01:12.000 --> 00:01:16.000]  耶穌因裡逃避佛坐在井旁
[00:01:16.000 --> 00:01:19.000]  那時約瑟正午
[00:01:19.000 --> 00:01:23.000]  第七節有一個撒瑪利亞婦人來打水
[00:01:23.000 --> 00:01:29.000]  耶穌對她說請給我水喝
[00:01:29.000 --> 00:01:31.000]  好
[00:01:31.000 --> 00:01:34.000]  耶穌來到這個世界
[00:01:34.000 --> 00:01:37.000]  在我們上面的活動
[00:01:37.000 --> 00:01:41.000]  他最主要活動在市井當中
[00:01:41.000 --> 00:01:44.000]  他和那些販婦走出來交往
[00:01:44.000 --> 00:01:46.000]  他訪問人在人家家裡傳福音
[00:01:46.000 --> 00:01:48.000]  去到哪裡都有人跟著他
[00:01:48.000 --> 00:01:52.000]  去到山頭都有人去那裡聽他講道
[00:01:52.000 --> 00:01:56.000]  他從加利利海那邊到那邊
[00:01:56.000 --> 00:02:00.000]  周遊到巡迴報道都有人跟著他
[00:02:00.000 --> 00:02:03.000]  他一上岸就有人知道就有人跟著他
[00:02:03.000 --> 00:02:05.000]  他在街頭巷尾有人跟著他
[00:02:05.000 --> 00:02:11.000]  他在街頭在海邊遇到患血流病的婦人
[00:02:11.000 --> 00:02:14.000]  那個危老管會堂的人
[00:02:14.000 --> 00:02:18.000]  要找他去醫他女兒的病
[00:02:18.000 --> 00:02:24.000]  他在那些罪人
[00:02:24.000 --> 00:02:28.000]  那些稅吏的中間和他一起去吃飯
[00:02:28.000 --> 00:02:33.000]  耶穌是和市井的人一齊去交往
[00:02:33.000 --> 00:02:36.000]  我們知不知道猜拳是一個什麼回事呢?
[00:02:36.000 --> 00:02:39.000]  猜拳就是我們要去到人群當中
[00:02:39.000 --> 00:02:42.000]  在市井當中和人相遇
[00:02:42.000 --> 00:02:45.000]  而市井是一個什麼地方呢?
[00:02:45.000 --> 00:02:48.000]  市井你可以是一個工作的崗位
[00:02:48.000 --> 00:02:49.000]  可以是你的街坊
[00:02:49.000 --> 00:02:51.000]  可以是你的倫理
[00:02:51.000 --> 00:02:53.000]  可以是你生活的環境
[00:02:53.000 --> 00:02:56.000]  可以是街邊的公園
[00:02:56.000 --> 00:02:58.000]  可以是在街市的門口
[00:02:58.000 --> 00:03:00.000]  可以是一些做買賣的場所
[00:03:00.000 --> 00:03:05.000]  市井就是一個地方真實的人
[00:03:05.000 --> 00:03:09.000]  真實的生活之所在
[00:03:09.000 --> 00:03:14.000]  市井就是那些真實的人在那裡真實地生活
[00:03:14.000 --> 00:03:16.000]  你去到市井那裡
[00:03:16.000 --> 00:03:18.000]  你就見到這些真實的人
[00:03:18.000 --> 00:03:20.000]  過去真實的生活
[00:03:20.000 --> 00:03:22.000]  而傳福音就是將福音
[00:03:22.000 --> 00:03:24.000]  向這些真實的人
[00:03:24.000 --> 00:03:29.000]  在他們真實的生活當中和他們分享
[00:03:29.000 --> 00:03:31.000]  保羅也是傳福音的
[00:03:31.000 --> 00:03:33.000]  也是去市井的
[00:03:33.000 --> 00:03:36.000]  在《士堂傳》第十七章
[00:03:36.000 --> 00:03:38.000]  講到保羅在雅典
[00:03:38.000 --> 00:03:41.000]  雅典是希臘一個很出名的文化名城
[00:03:41.000 --> 00:03:44.000]  在第十七章第十六節
[00:03:44.000 --> 00:03:47.000]  講到保羅去到雅典的時候
[00:03:47.000 --> 00:03:52.000]  他在會堂和猶太人和虔誠的人傳福音
[00:03:52.000 --> 00:03:55.000]  以及每天在市場中所願見的人
[00:03:55.000 --> 00:03:57.000]  來去辯論
[00:03:57.000 --> 00:03:59.000]  在街市和那些人傳福音
[00:03:59.000 --> 00:04:04.000]  還有他在阿勒巴古學術的重鎮當中
