
[00:00:00.000 --> 00:00:05.000]  我們的教會可以多些關心婦女以及婦女的權益
[00:00:05.000 --> 00:00:11.000]  有人說 包括剛才馮太在她的討論裏面也提到
[00:00:11.000 --> 00:00:15.500]  婦女的地位比以前大大的提高
[00:00:15.500 --> 00:00:19.000]  我們見到我們香港政務司長都是女性 是不是
[00:00:19.000 --> 00:00:22.000]  不過也有人說 只不過是換湯不換藥
[00:00:22.000 --> 00:00:25.500]  又或者只是表面風乾
[00:00:25.500 --> 00:00:27.500]  不過無論是怎樣也好
[00:00:27.500 --> 00:00:32.000]  我今天不打算和大家談論有關於婦女的權益
[00:00:32.000 --> 00:00:36.500]  因為要透過彼此的分享互相的討論會較為適合
[00:00:36.500 --> 00:00:40.000]  我今天期望透過兩位聖經描述的婦女
[00:00:40.000 --> 00:00:44.000]  我相信大家都很熟悉這兩位婦女 瑪大和瑪莉亞
[00:00:44.000 --> 00:00:47.000]  以及今天所傳到的經文 大家都很熟悉
[00:00:47.000 --> 00:00:50.500]  我們從這兩位的婦女和這段經文
[00:00:50.500 --> 00:00:56.500]  來學習在我們每一個人都認為我們自己很忙碌的生活上
[00:00:56.500 --> 00:01:00.500]  我們應該怎樣去自處 怎樣去選擇
[00:01:00.500 --> 00:01:02.500]  我相信大家都不會否認
[00:01:02.500 --> 00:01:07.000]  婦女和男士一樣 都說在我們的社會
[00:01:07.000 --> 00:01:11.500]  我們的教會有一個舉足輕重的位置
[00:01:11.500 --> 00:01:16.000]  無論是陰盛陽衰 或者是陽盛陰衰
[00:01:16.000 --> 00:01:20.000]  都會令到很多事情都很混亂 很不方便
[00:01:20.000 --> 00:01:23.000]  我們經常見到婦女在教會裏面的參與
[00:01:23.000 --> 00:01:27.000]  大部份都是插花 在聚餐裏面幫忙
[00:01:27.000 --> 00:01:32.000]  招待 整理 執拾 看小朋友
[00:01:32.000 --> 00:01:34.000]  當然我們更加開心的是
[00:01:34.000 --> 00:01:37.000]  梁惠彤不只是女士擔當這些職份
[00:01:37.000 --> 00:01:39.000]  有很多男士都樂意
[00:01:39.000 --> 00:01:43.000]  甚至是參與承擔這些煩囂的侍奉
[00:01:43.000 --> 00:01:47.000]  在家裏面我們會見到煮飯 照顧孩子 照顧孫子
[00:01:47.000 --> 00:01:52.000]  一腳踢的 以往很多時候都是女性去承擔
[00:01:52.000 --> 00:01:54.000]  不過現在你會發現
[00:01:54.000 --> 00:01:58.000]  當有一個男士揹著小朋友在他前面
[00:01:58.000 --> 00:02:00.000]  我們不會覺得很奇怪
[00:02:00.000 --> 00:02:03.000]  甚至上面也有一個男士做起家庭主夫
[00:02:03.000 --> 00:02:07.000]  自己的工作 回家煮飯 照顧孩子
[00:02:07.000 --> 00:02:09.000]  這個都不會是驚訝的事
[00:02:09.000 --> 00:02:11.000]  都令到我們十分敬佩
[00:02:11.000 --> 00:02:16.000]  因為男女夫妻一起為了家裏的需要
[00:02:16.000 --> 00:02:18.000]  來一起去承擔
[00:02:18.000 --> 00:02:22.000]  讓我們去聆聽上帝的說話之前
[00:02:22.000 --> 00:02:24.000]  讓我們一起低頭再試的祈禱
[00:02:24.000 --> 00:02:31.000]  相信我們多謝你
