
[00:00:00.000 --> 00:00:03.160]  那在我自己大學
[00:00:03.160 --> 00:00:04.800]  我今年已經62歲
[00:00:04.800 --> 00:00:06.960]  我大學同學我們一個群組
[00:00:06.960 --> 00:00:09.880]  有一天就是在上個禮拜
[00:00:09.880 --> 00:00:14.040]  在我們中國人 台灣的人過爸爸節之前
[00:00:14.040 --> 00:00:16.040]  我的一個同學他就PO了
[00:00:16.040 --> 00:00:19.400]  一個女同學他就祝各位爸爸節快樂
[00:00:19.400 --> 00:00:22.160]  他就PO了一個照片
[00:00:22.160 --> 00:00:28.080]  然後他特別要祝福爸爸們活力充沛
[00:00:28.080 --> 00:00:29.840]  他弄了一個貼圖
[00:00:29.840 --> 00:00:31.680]  然後活力充沛
[00:00:31.680 --> 00:00:33.640]  結果我們有一個同學
[00:00:33.640 --> 00:00:37.920]  就男同學一個爸爸就說謝謝你
[00:00:37.920 --> 00:00:40.120]  可是他PO那張圖
[00:00:40.120 --> 00:00:42.440]  那個是掉眼淚
[00:00:42.440 --> 00:00:44.720]  一方面謝謝你 一方面掉眼淚
[00:00:44.720 --> 00:00:49.120]  然後另外一個同學就忽然加進去說
[00:00:49.120 --> 00:00:51.320]  你為何感動落淚
[00:00:51.320 --> 00:00:56.160]  是跟我一樣家中無人為你慶祝嗎
[00:00:56.160 --> 00:00:58.560]  然後說哈哈哈哈
[00:00:58.560 --> 00:01:01.480]  然後這個同學接著說不太可能
[00:01:01.480 --> 00:01:06.560]  說某某人在家裡的行情一定比我高多了
[00:01:06.560 --> 00:01:09.800]  他說因為這個同學說他沒有人慶祝
[00:01:09.800 --> 00:01:11.840]  可是他覺得這個同學應該不會
[00:01:11.840 --> 00:01:13.520]  結果這個同學就回他
[00:01:13.520 --> 00:01:15.360]  哈哈你說對了
[00:01:15.360 --> 00:01:17.840]  的確沒有人為我慶祝
[00:01:17.840 --> 00:01:21.680]  我沒注意到原來我淚雙寒
[00:01:21.680 --> 00:01:23.440]  他說他沒有注意到
[00:01:23.440 --> 00:01:26.520]  他這個貼圖居然是掉眼淚的
[00:01:26.520 --> 00:01:31.160]  那我講這個我不曉得爸爸們
[00:01:31.160 --> 00:01:33.960]  弟兄們你們家過不過爸爸節
[00:01:33.960 --> 00:01:35.640]  你知道在我的教會裡頭
[00:01:35.640 --> 00:01:38.720]  母親節我們是盛大舉行
[00:01:38.720 --> 00:01:44.480]  母親節是一定媽媽們都會有一個禮物
[00:01:44.480 --> 00:01:45.920]  小組有一個禮物
[00:01:45.920 --> 00:01:47.800]  教會要買兩份禮物
[00:01:47.800 --> 00:01:50.400]  慎不慎重
[00:01:50.400 --> 00:01:52.400]  現在媽媽在小組裡頭有一個禮物
[00:01:52.400 --> 00:01:54.000]  在主日又有一個禮物
[00:01:54.000 --> 00:01:55.520]  對不對有兩個禮物
[00:01:55.520 --> 00:01:57.480]  媽媽還有一朵花
[00:01:57.480 --> 00:02:00.480]  請問爸爸節有嗎
[00:02:00.480 --> 00:02:02.240]  你們這有啊
[00:02:02.240 --> 00:02:05.040]  那美國人你們進步了
[00:02:05.040 --> 00:02:06.840]  在我們那這麼幾十年
[00:02:06.840 --> 00:02:09.760]  我記得我三十多年前去幕會
[00:02:09.760 --> 00:02:11.120]  就有母親節
[00:02:11.120 --> 00:02:14.360]  到現在我們男人奮鬥了這麼多年
[00:02:14.360 --> 00:02:19.080]  仍然還沒有弄到一個禮物
[00:02:19.080 --> 00:02:21.320]  我想如果要談到家裡
[00:02:21.320 --> 00:02:23.960]  我不曉得在你的家裡怎麼樣
[00:02:23.960 --> 00:02:26.160]  那我就安慰我的弟兄們說
[00:02:26.160 --> 00:02:32.440]  其實為什麼中國爸爸不太需要過父親節
[00:02:32.440 --> 00:02:33.240]  為什麼呢
[00:02:33.240 --> 00:02:35.480]  因為我說這個有文化背景的
[00:02:35.480 --> 00:02:39.120]  因為古時候的母親辛不辛苦
[00:02:39.120 --> 00:02:40.560]  現在的母親也很辛苦
[00:02:40.560 --> 00:02:43.800]  可是古時候的母親更辛苦
[00:02:43.800 --> 00:02:45.360]  因為他們在那個年代
[00:02:45.360 --> 00:02:48.240]  女人在家裡頭的地位
[00:02:48.240 --> 00:02:50.840]  在社會的地位是非常低的
[00:02:50.840 --> 00:02:54.080]  如果四五十年前上一代上兩代
