
[00:00:00.000 --> 00:00:10.960]  2006年,美國時代雜誌選出了該年度的風雲人物
[00:00:10.960 --> 00:00:16.240]  究竟這個年度的風雲人物是誰呢?
[00:00:16.240 --> 00:00:19.880]  不知道大家有沒有印象,是否記得呢?
[00:00:19.880 --> 00:00:25.840]  2006年,美國時代雜誌選出的風雲人物就是
[00:00:25.840 --> 00:00:31.320]  你,YOU,Y-O-U
[00:00:31.320 --> 00:00:36.760]  選出的風雲人物就是你,就是每一個的你
[00:00:36.760 --> 00:00:44.200]  每一個的個人,原來都可以成為風雲人物
[00:00:44.200 --> 00:00:46.520]  為甚麼呢?有原因
[00:00:46.520 --> 00:00:50.000]  因為現在的年代,是一個資訊發達的年代
[00:00:50.000 --> 00:00:52.000]  是一個網絡的時代
[00:00:52.000 --> 00:00:56.720]  說的是短片,說的是YOUTUBE,說的是電腦
[00:00:56.720 --> 00:01:00.680]  是維基百科,說的是今日的WHATSAPP
[00:01:00.680 --> 00:01:05.640]  INSTAGRAM,TELEGRAM等等等等
[00:01:05.640 --> 00:01:09.400]  是非常的資訊發達
[00:01:09.400 --> 00:01:14.280]  而每一個人就可以去表達自己的看法
[00:01:14.280 --> 00:01:17.160]  所以是很有影響力的
[00:01:17.160 --> 00:01:21.640]  原來每一個的個人都可以是左右大局的
[00:01:21.640 --> 00:01:24.680]  所以他在2006年的時候
[00:01:24.680 --> 00:01:30.600]  這份雜誌就看到,原來一個人是可以影響很大
[00:01:30.600 --> 00:01:36.000]  所以風雲人物就是YOU,你
[00:01:36.000 --> 00:01:37.760]  大家嘗試想一想
[00:01:37.760 --> 00:01:40.520]  在今日的世代裏面,當你逛街
[00:01:40.520 --> 00:01:43.360]  當你坐地鐵,坐巴士
[00:01:43.360 --> 00:01:46.400]  或者是坐其他的交通工具
[00:01:46.400 --> 00:01:49.960]  你會見到一個甚麼景象呢?
[00:01:49.960 --> 00:01:52.520]  很多人都拿著手機
[00:01:52.520 --> 00:01:56.760]  在用手機
[00:01:56.760 --> 00:02:00.040]  很多時候都見到
[00:02:00.040 --> 00:02:02.840]  我們彷彿好像見到很多人,很多人走在一起
[00:02:02.840 --> 00:02:08.480]  不過其實是個個都在自己一個個人的世界裏面
