
[00:00:00.000 --> 00:00:02.000]  我們一起做個簡短的禱告
[00:00:02.000 --> 00:00:04.000]  親愛的天父
[00:00:04.000 --> 00:00:06.000]  你的話語就如兩刃的劍
[00:00:06.000 --> 00:00:08.000]  能夠刺透我們的心
[00:00:08.000 --> 00:00:10.000]  讓我們能夠明白
[00:00:10.000 --> 00:00:13.000]  主真是求你在這短短的時間
[00:00:13.000 --> 00:00:14.000]  接著
[00:00:14.000 --> 00:00:16.000]  路加福音第七章
[00:00:16.000 --> 00:00:18.000]  你的話語被解開的時候
[00:00:18.000 --> 00:00:20.000]  就帶出了能力
[00:00:20.000 --> 00:00:22.000]  能夠更新我們的靈命
[00:00:22.000 --> 00:00:24.000]  造就我們的生活
[00:00:24.000 --> 00:00:27.000]  Transform我們的思想跟行為
[00:00:27.000 --> 00:00:28.000]  求主真是在這個時候
[00:00:28.000 --> 00:00:30.000]  也使用你的孩兒
[00:00:30.000 --> 00:00:31.000]  你的僕人
[00:00:31.000 --> 00:00:33.000]  在分享的時候
[00:00:33.000 --> 00:00:35.000]  聽跟講的人同感一靈
[00:00:35.000 --> 00:00:36.000]  得到造就
[00:00:36.000 --> 00:00:38.000]  禱告封號主耶穌基督的名
[00:00:38.000 --> 00:00:40.000]  Amen
[00:00:40.000 --> 00:00:44.000]  你們知道星期五發生了什麼事情嗎
[00:00:44.000 --> 00:00:46.000]  在卡羅萊多
[00:00:46.000 --> 00:00:48.000]  有一個人就打扮成
[00:00:48.000 --> 00:00:50.000]  蝙蝠俠裡面的壞人
[00:00:50.000 --> 00:00:52.000]  他就顏色啊
[00:00:52.000 --> 00:00:53.000]  臉啊
[00:00:53.000 --> 00:00:56.000]  就帶著電影裡面的壞人的樣子
[00:00:56.000 --> 00:00:58.000]  就在凌晨的時候
[00:00:58.000 --> 00:01:00.000]  進到這個電影院
[00:01:00.000 --> 00:01:02.000]  電影在開始開放
[00:01:02.000 --> 00:01:04.000]  在放影的時候大概十分鐘
