
[00:00:00.000 --> 00:00:02.140]  丁姊妹大家好
[00:00:02.140 --> 00:00:07.340]  在這個疫情仍然在世界很多其他地方是很嚴峻的時候
[00:00:07.340 --> 00:00:10.100]  雖然香港暫時疫情稍為緩和
[00:00:10.100 --> 00:00:12.100]  我們都不能掉以輕心
[00:00:12.100 --> 00:00:17.280]  我們需要在這個年間、這個時代
[00:00:17.280 --> 00:00:21.060]  讓我們再一次在神的話裏面
[00:00:21.060 --> 00:00:23.460]  來被提醒和受激勵
[00:00:23.460 --> 00:00:29.240]  今天我們來研讀《使徒行傳》去到最後那兩章
[00:00:29.240 --> 00:00:32.380]  如果我們記得整個《使徒行傳》
[00:00:32.380 --> 00:00:38.480]  在過去這二十六章裏面
[00:00:38.480 --> 00:00:41.540]  其實我們已經看過保羅的生平
[00:00:41.540 --> 00:00:43.040]  非常精彩
[00:00:43.040 --> 00:00:45.540]  當然不是全部都講保羅
[00:00:45.540 --> 00:00:47.540]  但我們可以很肯定
[00:00:47.540 --> 00:00:51.640]  保羅的宣教經歷
[00:00:51.640 --> 00:00:56.960]  和他在初期教會所奠下的一個美好的根基
[00:00:56.960 --> 00:01:01.140]  叫歷世歷代的我們跟隨主的人
[00:01:01.140 --> 00:01:03.140]  都可以成為我們的榜樣
[00:01:03.140 --> 00:01:06.120]  我們今天要看的這段經文
[00:01:06.120 --> 00:01:12.600]  其實是包含著他在《使徒行傳》裏面
[00:01:12.600 --> 00:01:14.600]  可以說是最後一段的旅程
[00:01:14.600 --> 00:01:19.240]  但其實《使徒行傳》不是去到二十八章尾就完的
[00:01:19.240 --> 00:01:22.020]  那裏只是講保羅去到羅馬
[00:01:22.020 --> 00:01:25.460]  在那裏他其實再被軟禁多兩年
[00:01:25.460 --> 00:01:27.460]  其實之後還有事情發生
[00:01:27.460 --> 00:01:29.460]  不過聖經就在那裏停下來
[00:01:29.460 --> 00:01:30.980]  沒有記載
[00:01:30.980 --> 00:01:33.780]  我們需要看這段經文
[00:01:33.780 --> 00:01:35.780]  了解一下背景
[00:01:35.780 --> 00:01:38.660]  因為這段經文真的很特別
[00:01:38.660 --> 00:01:40.660]  首先我們要了解認識到
[00:01:40.660 --> 00:01:46.380]  在前文《使徒行傳》第二十一章到二十三章裏面
[00:01:46.380 --> 00:01:48.380]  其實是在講保羅
[00:01:48.380 --> 00:01:56.900]  他是因為他知道耶路撒冷有患難和困所等著他
[00:01:56.900 --> 00:02:01.320]  但他仍然堅定地相信這是神的旨意
[00:02:01.320 --> 00:02:04.180]  他全心去信服上帝
[00:02:04.180 --> 00:02:06.180]  以致他明知那裏
[00:02:06.180 --> 00:02:10.780]  我們說明知山有苦力還是向山上去
[00:02:10.780 --> 00:02:13.580]  他就是無懼地
[00:02:13.580 --> 00:02:16.420]  是因為他知道上帝的大靈
[00:02:16.420 --> 00:02:19.120]  是他要面對這個苦難
[00:02:19.120 --> 00:02:23.200]  他去到耶路撒冷確是會被人來困所
[00:02:23.200 --> 00:02:27.700]  然後他們要送他去蓋薩尼亞
[00:02:27.700 --> 00:02:29.700]  在蓋薩尼亞之後
[00:02:29.700 --> 00:02:32.540]  我們在《使徒行傳》二十四章
[00:02:32.540 --> 00:02:37.100]  我們看到保羅對總督肥尼斯申訴
[00:02:37.100 --> 00:02:41.340]  後來肥尼斯的接任人就是另一個總督
[00:02:41.340 --> 00:02:43.340]  這個就是肥斯都
[00:02:43.340 --> 00:02:45.340]  與及他向阿基帕王申訴
[00:02:45.340 --> 00:02:49.820]  一直由二十四章延續到二十五、二十六章
[00:02:49.820 --> 00:02:51.220]  全都說了
[00:02:51.220 --> 00:02:57.040]  他基本上在蓋薩尼亞被囚禁兩年的時間
[00:02:57.040 --> 00:03:00.080]  見到阿基帕王之後
[00:03:00.080 --> 00:03:05.020]  他就說既然你要來申訴
[00:03:05.020 --> 00:03:07.860]  控告你的猶太人
[00:03:07.860 --> 00:03:12.940]  既然我們羅馬的法律在這個地方
[00:03:12.940 --> 00:03:17.140]  我們沒有辦法為你作一個定奪
[00:03:17.140 --> 00:03:19.140]  就送他去羅馬 見誰呢
[00:03:19.140 --> 00:03:21.780]  見到最高 就是凱撒大帝
[00:03:21.780 --> 00:03:23.780]  見皇帝
[00:03:23.780 --> 00:03:25.780]  所以保羅在這一刻
[00:03:25.780 --> 00:03:29.380]  其實他面對一個以囚犯的身份
[00:03:29.380 --> 00:03:30.880]  他將要被押
[00:03:30.880 --> 00:03:34.780]  押他就是我們今天所看的二十七章
[00:03:34.780 --> 00:03:38.920]  二十七章我們先看這個地圖
[00:03:38.920 --> 00:03:47.340]  由蓋薩尼亞到西頓
[00:03:47.340 --> 00:03:50.100]  接著到美拉 接著到佳奧
[00:03:50.100 --> 00:03:54.560]  這個就是第一段的段落
[00:03:54.560 --> 00:03:58.420]  然後到二十三章
[00:03:58.420 --> 00:04:01.780]  我們可以看看這個圖畫就很清楚了
[00:04:01.780 --> 00:04:03.420]  這是第一個段落
[00:04:03.420 --> 00:04:07.840]  接著第二個段落就是二十七章的第九節開始
[00:04:07.840 --> 00:04:10.380]  就說他們由佳奧這個地方
[00:04:10.380 --> 00:04:12.780]  原本他們打算去斐尼基
[00:04:12.780 --> 00:04:17.020]  但是被風吹歪了船
[00:04:17.020 --> 00:04:23.500]  一直經過高達這個島
[00:04:23.500 --> 00:04:29.500]  接著他們要橫跨亞底亞灣
[00:04:29.500 --> 00:04:32.060]  一直去到馬爾他這個地方
[00:04:32.060 --> 00:04:34.060]  馬爾他之後最後的一程路
[00:04:34.060 --> 00:04:35.460]  就是二十八章尾
[00:04:35.460 --> 00:04:39.100]  他們就會回到意大利在羅馬
[00:04:39.100 --> 00:04:40.780]  整個行程
[00:04:40.780 --> 00:04:45.900]  路加竟然用一個這麼詳細的篇幅
[00:04:45.900 --> 00:04:48.180]  跟我們交代這麼多東西
[00:04:48.180 --> 00:04:49.540]  為了什麼呢
[00:04:49.540 --> 00:04:54.220]  這個過程讓我們看到是很奇妙的
[00:04:54.220 --> 00:04:57.300]  神在整個旅途裏面
[00:04:57.300 --> 00:05:00.020]  讓我們看到他與保羅同在
[00:05:00.020 --> 00:05:04.260]  保羅所面對的在海上的過程
[00:05:04.260 --> 00:05:06.180]  他們遇到有風浪
[00:05:06.180 --> 00:05:11.420]  他們遇到有船要擱淺的危險
[00:05:11.420 --> 00:05:14.740]  甚至可能連食物都沒有了
[00:05:14.740 --> 00:05:16.740]  但是上帝有恩典
[00:05:16.740 --> 00:05:18.540]  應許保羅的說話
[00:05:18.540 --> 00:05:21.180]  叫他知道他是有平安的
[00:05:21.180 --> 00:05:25.100]  原來我們的平安的根據不是因為那個環境
[00:05:25.100 --> 00:05:27.420]  不是因為你眼前所看到的東西
