
[00:00:00.000 --> 00:00:02.240]  今天我的講道題目叫做
[00:00:02.240 --> 00:00:03.840]  一生的評價
[00:00:03.840 --> 00:00:05.000]  你想怎麼寫
[00:00:05.000 --> 00:00:06.320]  大家要讀得清楚一點
[00:00:06.320 --> 00:00:08.920]  不然讀了會變成你想怎麼寫
[00:00:08.920 --> 00:00:10.500]  怎麼寫
[00:00:10.500 --> 00:00:13.040]  《歷代之下》二十一章二十節
[00:00:13.040 --> 00:00:14.340]  是幾個星期前
[00:00:14.340 --> 00:00:17.720]  當我在美國放假的時候
[00:00:17.720 --> 00:00:21.080]  讀TWA的經文
[00:00:21.080 --> 00:00:24.880]  其中觸動我看到一節聖經
[00:00:24.880 --> 00:00:27.000]  接著就開始想了很多事情
[00:00:27.000 --> 00:00:28.200]  回來的時候
[00:00:28.200 --> 00:00:32.060]  就孕育了成為今天我們的訊息
[00:00:32.060 --> 00:00:34.280]  先跟大家讀一讀一段聖經
[00:00:34.280 --> 00:00:38.760]  就是這個《歷代之下》二十一章二十節下的
[00:00:38.760 --> 00:00:41.960]  被稱為若蘭王的一個墓志銘
[00:00:41.960 --> 00:00:44.680]  究竟這個皇帝他過世的時候
[00:00:44.680 --> 00:00:45.960]  有句什麼話說呢?
[00:00:45.960 --> 00:00:46.560]  我們一起讀好嗎?
[00:00:46.560 --> 00:00:47.680]  一二三
[00:00:47.680 --> 00:00:50.160]  他去世無人私墓
[00:00:50.160 --> 00:00:52.960]  眾人葬他在大衛城裡
[00:00:52.960 --> 00:00:55.440]  此事不在列王的墳墓裡
[00:00:55.440 --> 00:00:56.200]  是不是很簡單?
[00:00:56.200 --> 00:00:57.080]  讀完你也不覺得
[00:00:57.080 --> 00:00:59.600]  因為那麼多經文裡面就這樣過去了
[00:00:59.600 --> 00:01:01.760]  不過這句話好像突然間跳了出來
[00:01:01.760 --> 00:01:02.760]  觸動我的心
[00:01:02.760 --> 00:01:04.080]  我想了很多事情
[00:01:04.080 --> 00:01:05.680]  繼續思想
[00:01:05.680 --> 00:01:09.240]  一般來說皇帝多數不會隨街葬
[00:01:09.240 --> 00:01:12.080]  皇帝當然是葬在一些特別的地方
[00:01:12.080 --> 00:01:14.000]  特別是當時猶太人的皇帝
[00:01:14.000 --> 00:01:15.360]  是葬在大衛城
[00:01:15.360 --> 00:01:16.560]  就是首都那裡
[00:01:16.560 --> 00:01:17.320]  大衛城
[00:01:17.320 --> 00:01:18.560]  就是耶路撒冷
[00:01:18.560 --> 00:01:20.880]  而且除了特別的情況之下
[00:01:20.880 --> 00:01:23.280]  所有皇帝都是安葬在皇陵的
[00:01:23.280 --> 00:01:24.440]  我們中國人也是一樣
