
[00:00:00.000 --> 00:00:03.840]  講到這個題目的時候,大家知道要完成一個工作
[00:00:03.840 --> 00:00:07.160]  特別是一個所謂的「使命」,大使命,真的很困難
[00:00:07.160 --> 00:00:10.840]  所以我今天跟大家看一段聖經,是在《提摩太後書》
[00:00:10.840 --> 00:00:13.600]  當我預備的時候,我是相當有同感的
[00:00:13.600 --> 00:00:15.000]  我們很快看看
[00:00:15.000 --> 00:00:18.680]  《提摩太後書》的第一章,第三到第十節
[00:00:18.680 --> 00:00:26.640]  它說:「我感謝神,就是我像我祖先一樣,用清潔的良心所侍奉的神
[00:00:26.640 --> 00:00:32.760]  在禱告的時候,晝夜不斷地紀念你,保羅為提摩太祈禱。」
[00:00:32.760 --> 00:00:33.800]  如何祈禱呢?
[00:00:33.800 --> 00:00:40.000]  它說:「一想起你流的眼淚,我就渴望見到你,好叫我滿有喜樂
[00:00:40.000 --> 00:00:47.480]  我記得你心裏面無偽的信心,這個信心,原先是在你的外祖母羅爾
[00:00:47.480 --> 00:00:52.680]  和你母親友妮姬的心裏的,我深信也是在你的心裏
[00:00:52.680 --> 00:01:00.280]  為了這個緣故,我提醒你,要把神藉著我安守給你的恩賜
[00:01:00.280 --> 00:01:04.200]  像火一樣,再次挑旺起來
[00:01:04.200 --> 00:01:12.080]  因為神賜給我們的不是膽怯的靈,而是有能力、仁愛、自律的靈
[00:01:12.080 --> 00:01:18.200]  所以,不要以給我們的主作見證,當作羞恥
[00:01:18.200 --> 00:01:23.040]  也不要以我為主被囚的,當作羞恥
[00:01:23.040 --> 00:01:30.320]  卻要為了福音的緣故,靠著神的大能,和我同受磨難
[00:01:30.320 --> 00:01:35.680]  神救了我們,以聖詔呼召我們,不是按照我們的行為
[00:01:35.680 --> 00:01:39.800]  卻是按照祂自己的計劃和恩典
[00:01:39.800 --> 00:01:45.200]  這個恩典是在萬世以前在基督耶穌裏賜給我們的
[00:01:45.200 --> 00:01:51.280]  但是現在,藉著我們的救主基督耶穌已經顯現出來,才表明出來
[00:01:51.280 --> 00:01:59.520]  祂廢掉了死亡,藉著福音把生命和不朽彰顯出來
[00:01:59.520 --> 00:02:06.120]  要建立一個榮耀上帝的教會,做一個土神起義的教徒
