
[00:00:00.000 --> 00:00:07.200]  弟兄姊妹很高興能夠在主日的下午能夠跟弟兄姊妹一起敬拜
[00:00:07.200 --> 00:00:09.700]  那我相信不是偶然的
[00:00:09.700 --> 00:00:13.700]  為什麼今年剛開青少年在這裡獻唱
[00:00:13.700 --> 00:00:18.200]  因為今天我講的題目就是跟父親有關係的
[00:00:18.200 --> 00:00:22.200]  他們唱那首詩歌真是非常好
[00:00:22.200 --> 00:00:26.700]  Oh Lord, I pray bless my daddy
[00:00:26.700 --> 00:00:31.700]  在這個世代父親真是需要很多的禱告來支持
[00:00:31.700 --> 00:00:33.700]  Lift my daddy up
[00:00:33.700 --> 00:00:35.700]  當我Daddy low的時候
[00:00:35.700 --> 00:00:40.700]  Lift 把他升高起來
[00:00:40.700 --> 00:00:47.700]  父親的角色好像沒有母親的角色這麼被看重
[00:00:47.700 --> 00:00:52.700]  你們知道五月第幾個禮拜是母親節
[00:00:52.700 --> 00:00:54.700]  第二禮拜對不對
[00:00:54.700 --> 00:00:56.700]  因為五月第二個禮拜是母親節
[00:00:56.700 --> 00:01:01.700]  所以有一天牧師就在台上講母親節的故事
[00:01:01.700 --> 00:01:04.700]  剛好坐在底下的有一位小女孩
[00:01:04.700 --> 00:01:08.700]  她的爸爸就撫養他們四個小孩子
[00:01:08.700 --> 00:01:10.700]  媽媽大概很早就去世了
[00:01:10.700 --> 00:01:12.700]  所以他就跟牧師說
[00:01:12.700 --> 00:01:16.700]  牧師怎麼有母親節但是沒有父親節
[00:01:16.700 --> 00:01:20.700]  我爸爸的生日是六月第一個禮拜
[00:01:20.700 --> 00:01:26.700]  是不是可以你在六月第一個禮拜的時候講一個父親節的訊息
[00:01:26.700 --> 00:01:29.700]  這個牧師說看看他的schedule
[00:01:29.700 --> 00:01:31.700]  他說第一個禮拜我比較忙
[00:01:31.700 --> 00:01:35.700]  好不好我第三個禮拜講父親節的故事
[00:01:35.700 --> 00:01:38.700]  所以就這樣定下來了
[00:01:38.700 --> 00:01:43.700]  第三個禮拜六月第三個禮拜是父親節
[00:01:43.700 --> 00:01:47.700]  所以父親的角色非常的重要
[00:01:47.700 --> 00:01:53.700]  今天在美國的社會有一個很大的挑戰
[00:01:53.700 --> 00:01:59.700]  就是一個嚴重的社會問題是父親的缺席
[00:01:59.700 --> 00:02:01.700]  父親不在了
[00:02:01.700 --> 00:02:06.700]  估計在美國大概有兩千四百萬的兒童們
[00:02:06.700 --> 00:02:12.700]  沒有跟他們親生的父親住在一起
[00:02:12.700 --> 00:02:17.700]  那這樣的小孩子就會成長的過程當中
[00:02:17.700 --> 00:02:20.700]  會有許多的難處
[00:02:20.700 --> 00:02:23.700]  他們的學業他們的功課他們的個性
[00:02:23.700 --> 00:02:26.700]  因為父親不在了
[00:02:26.700 --> 00:02:33.700]  所以父親在這個世代是一個非常重要的角色
[00:02:33.700 --> 00:02:35.700]  今天你假如還在的話
[00:02:35.700 --> 00:02:38.700]  那你對這個社會是很有貢獻
[00:02:38.700 --> 00:02:40.700]  因為你還在這個家庭裡面
[00:02:40.700 --> 00:02:43.700]  還能夠幫助這個小孩子
[00:02:43.700 --> 00:02:48.700]  我們都聽到聖經裡面有一個浪子回頭
[00:02:48.700 --> 00:02:51.700]  那個浪子回頭就跟爸爸說
[00:02:51.700 --> 00:02:54.700]  爸爸我已經長大了
[00:02:54.700 --> 00:02:57.700]  你把這個財產分一半給我好不好
[00:02:57.700 --> 00:03:00.700]  那爸爸就讓兒子分一半財產
[00:03:00.700 --> 00:03:03.700]  他拿去用了然後花了沒錢了
[00:03:03.700 --> 00:03:07.700]  又遇到饑荒所以想到爸爸就回來了
[00:03:07.700 --> 00:03:10.700]  爸爸一看到他趕快去抱住他
[00:03:10.700 --> 00:03:13.700]  他真是回來又有改變
[00:03:13.700 --> 00:03:18.700]  但是現代的浪子回頭的故事就不一樣了
[00:03:18.700 --> 00:03:20.700]  現在的浪子回頭是
[00:03:20.700 --> 00:03:24.700]  有一天爸爸就把大兒子跟小兒子叫過來
[00:03:24.700 --> 00:03:26.700]  然後就跟大兒子小兒子說
[00:03:26.700 --> 00:03:30.700]  你們年紀大概也不小了
[00:03:30.700 --> 00:03:34.700]  你們大概也準備考高考上大學了
[00:03:34.700 --> 00:03:38.700]  那爸爸媽媽一直感情不大好
[00:03:38.700 --> 00:03:41.700]  所以你們現在要上大學你們可以獨立了
[00:03:41.700 --> 00:03:44.700]  所以我為了我將來的前途
[00:03:44.700 --> 00:03:46.700]  為了我的一生
[00:03:46.700 --> 00:03:49.700]  所以我就要離開這個家庭
[00:03:49.700 --> 00:03:53.700]  那你們自己獨立我也準備了一些錢給你們
[00:03:53.700 --> 00:03:57.700]  所以爸爸就跟他們大兒子小孩子說掰掰了
[00:03:57.700 --> 00:04:01.700]  然後就去外面闖蕩
[00:04:01.700 --> 00:04:04.700]  過了二十年以後錢也用光了
[00:04:04.700 --> 00:04:06.700]  年紀也大了
[00:04:06.700 --> 00:04:09.700]  就想到我的小兒子還有家
[00:04:09.700 --> 00:04:13.700]  是不是能夠回來他們能夠照顧我一下
[00:04:13.700 --> 00:04:15.700]  就回到小兒子家
[00:04:15.700 --> 00:04:17.700]  爸爸錯了
[00:04:17.700 --> 00:04:19.700]  以前不對了
[00:04:19.700 --> 00:04:22.700]  所以你們能不能照顧我一下
[00:04:22.700 --> 00:04:24.700]  小兒子就接待他
[00:04:24.700 --> 00:04:26.700]  還要跟他的太太討論
[00:04:26.700 --> 00:04:28.700]  我們就給你六個月
[00:04:28.700 --> 00:04:31.700]  六個月以後就到大兒子那邊去
[00:04:31.700 --> 00:04:33.700]  這是現代的浪子回頭
[00:04:33.700 --> 00:04:37.700]  我相信很多這樣的故事產生
[00:04:37.700 --> 00:04:42.700]  我也遇見過
[00:04:42.700 --> 00:04:45.700]  要維持一個婚姻其實就不容易了
[00:04:45.700 --> 00:04:48.700]  在這個婚姻裡面要沒有衝突
[00:04:48.700 --> 00:04:50.700]  要更難了
[00:04:50.700 --> 00:04:56.700]  所以父母親常常在婚姻裡面會有一些衝突
[00:04:56.700 --> 00:04:58.700]  他們常常為了家庭的和諧
[00:04:58.700 --> 00:05:02.700]  都不願意在小孩子面前彼此吵架
[00:05:02.700 --> 00:05:06.700]  所以就背著小孩子不讓他們知道
