
[00:00:00.000 --> 00:00:02.100]  如果在中國人的十二生肖
[00:00:02.100 --> 00:00:03.560]  我們不從迷信的角度
[00:00:03.560 --> 00:00:04.160]  我再講
[00:00:04.160 --> 00:00:07.400]  如果不從迷信的角度去提十二生肖的話
[00:00:07.400 --> 00:00:10.900]  我們知道十二生肖確實是我們中國人的智慧
[00:00:10.900 --> 00:00:16.400]  例如用圖像的表達遠比文字是豐富的
[00:00:16.400 --> 00:00:18.000]  例如我們是看到馬
[00:00:18.000 --> 00:00:20.200]  我們會見到很多的意義
[00:00:20.200 --> 00:00:21.700]  但是要用文字表達的話
[00:00:21.700 --> 00:00:24.500]  就要相當的費神了
[00:00:24.500 --> 00:00:26.000]  第二方面
[00:00:26.000 --> 00:00:28.500]  十二生肖是中國人的智慧
[00:00:28.500 --> 00:00:31.200]  因為當我們提及到生肖的時候
[00:00:31.200 --> 00:00:33.600]  例如如果你是屬於馬年的
[00:00:33.600 --> 00:00:35.900]  你剛好旁邊的人也是屬於馬的話
[00:00:35.900 --> 00:00:37.500]  他有可能跟你同年
[00:00:37.500 --> 00:00:40.700]  有可能跟你相差十二年
[00:00:40.700 --> 00:00:42.000]  或者二十四年
[00:00:42.000 --> 00:00:43.500]  或者三十六年
[00:00:43.500 --> 00:00:46.400]  立刻跟你的關係拉近了
[00:00:46.400 --> 00:00:47.600]  當然我們明白
[00:00:47.600 --> 00:00:50.600]  我們基督徒有一個更高的身份
[00:00:50.600 --> 00:00:52.000]  跟你旁邊的人說一聲
[00:00:52.000 --> 00:00:54.200]  你是屬於主的
[00:00:54.200 --> 00:00:56.600]  既然在馬年的裏面
[00:00:56.600 --> 00:00:57.800]  聖經有提及到馬的
[00:00:57.800 --> 00:00:59.800]  我們今天會從聖經裏面
[00:00:59.800 --> 00:01:03.400]  四大段的經文講及關於馬的事情
[00:01:03.400 --> 00:01:05.600]  我們知道馬在工業革命之前
[00:01:05.600 --> 00:01:06.800]  是人類的好朋友
[00:01:06.800 --> 00:01:11.600]  它包括在交通、運輸和軍事上
[00:01:11.600 --> 00:01:14.100]  是佔了一個很重要的一席位
[00:01:14.100 --> 00:01:15.500]  直到工業革命之後
[00:01:15.500 --> 00:01:18.300]  我們發明了機械之後
[00:01:18.300 --> 00:01:23.600]  都用馬力來形容機械的速度和力量
[00:01:23.600 --> 00:01:27.000]  因為是用了工業革命之前
[00:01:27.000 --> 00:01:30.000]  用幾隻馬來理解的
[00:01:30.000 --> 00:01:31.500]  我們見到聖經裏面
[00:01:31.500 --> 00:01:35.200]  第一段經文在《生命紀二十章》第一節裏面提到
[00:01:35.200 --> 00:01:37.200]  你們出去與仇敵爭戰的時候
[00:01:37.200 --> 00:01:41.700]  看見馬匹、車輛並有比你多的人民
[00:01:41.700 --> 00:01:42.800]  不要怕他們
[00:01:42.800 --> 00:01:46.500]  因為令你們出埃及和出埃及地的耶和華
[00:01:46.500 --> 00:01:48.900]  你的上帝與你同在
[00:01:48.900 --> 00:01:50.500]  跟你的弟弟說一聲
[00:01:50.500 --> 00:01:52.200]  耶和華與你同在
[00:01:54.100 --> 00:01:57.400]  在以色列國要面對戰爭
[00:01:57.400 --> 00:02:00.400]  是這個命運是不可以脫離的
[00:02:00.400 --> 00:02:01.600]  直到今天
[00:02:01.600 --> 00:02:02.900]  其實今天有人說
