
[00:00:00.000 --> 00:00:04.000]  今天我們會有一個新的講道系列
[00:00:04.000 --> 00:00:06.100]  我們會講時事記
[00:00:06.100 --> 00:00:09.520]  我們同一班同工會一起在當中跟大家分享
[00:00:09.520 --> 00:00:14.120]  在我們兩個不同的會點的campuses
[00:00:14.120 --> 00:00:16.880]  我們都會分享時事記的信息
[00:00:16.880 --> 00:00:19.420]  今天我給的題目叫做"炎和光"
[00:00:19.420 --> 00:00:23.500]  我們先看看馬特·福音當中一段經文
[00:00:23.500 --> 00:00:28.660]  馬特·福音第五章就是我們經常講道的登山補訓
[00:00:28.660 --> 00:00:32.200]  耶穌講了一個很重要的訊息給我們聽
[00:00:32.200 --> 00:00:33.840]  我們聽聽耶穌怎麼說
[00:00:58.660 --> 00:01:04.500]  見你們的好行為,把榮耀歸給你們在天上的父
[00:01:04.500 --> 00:01:08.740]  我每一份講道我都比較喜歡用和修本的經文
[00:01:08.740 --> 00:01:11.400]  因為在香港我都用和修本的經文
[00:01:11.400 --> 00:01:13.760]  但是因為講了一件很重要的事情
[00:01:13.760 --> 00:01:18.300]  也是我嘗試每一次在教導弟兄姊妹分享的時候
[00:01:18.300 --> 00:01:19.960]  我都提醒弟兄姊妹
[00:01:19.960 --> 00:01:24.200]  上帝做每一件事都不會漫無目的
[00:01:24.200 --> 00:01:29.360]  我們經常聽到的會點就是目的導向教會
[00:01:29.360 --> 00:01:32.580]  所以我們很明白這個目的導向的意義是什麼
[00:01:32.580 --> 00:01:34.700]  上帝不會有些事情做出來
[00:01:34.700 --> 00:01:37.300]  或者叫我們做某些事情是毫無意義的
[00:01:37.300 --> 00:01:43.580]  我們知道,總會明白上帝在當中背後要我們做些什麼
[00:01:43.580 --> 00:01:47.000]  很明顯的就是上帝叫我們信祂
[00:01:47.000 --> 00:01:48.500]  相信接受耶穌基督
[00:01:48.500 --> 00:01:51.560]  不單單只是上天堂
[00:01:51.560 --> 00:01:53.020]  如果只是上天堂的話
[00:01:53.020 --> 00:01:56.360]  我們順著那一刻就應該一早上天堂
[00:01:56.360 --> 00:01:59.120]  為什麼我們要在地上做什麼呢?
[00:01:59.120 --> 00:02:02.360]  不是在當中獻世,不是在當中等待上天堂
[00:02:02.360 --> 00:02:03.920]  否則的話就很慘了
[00:02:03.920 --> 00:02:05.440]  你幾十年在世上
[00:02:05.440 --> 00:02:07.680]  你毫無意義地在當中等待
[00:02:07.680 --> 00:02:10.780]  要得到天堂的福分
[00:02:10.780 --> 00:02:12.120]  這樣就沒什麼意義了
[00:02:12.120 --> 00:02:14.880]  但是上帝要我們在地上有一個很重要的目的
[00:02:14.880 --> 00:02:16.960]  就是剛才馬太芬那段經文
[00:02:16.960 --> 00:02:21.060]  要我們在地上有一個目的就是要作炎作光
[00:02:21.060 --> 00:02:23.940]  目的就是要我們成為炎,成為光的時候
[00:02:23.940 --> 00:02:27.100]  我們可以在眾人面前去見證祂
[00:02:27.100 --> 00:02:30.820]  叫人能夠透過我們在地上存活的生命
[00:02:30.820 --> 00:02:33.020]  我們生活和祂們的關係
[00:02:33.020 --> 00:02:36.400]  以致能夠認識我們天上的福
