
[00:00:00.000 --> 00:00:02.720]  今天與弟兄姊妹一起分享的經文
[00:00:02.720 --> 00:00:06.200]  是出自於這個《加拉太書》的第五章
[00:00:06.200 --> 00:00:08.700]  從第七節至到第十二節
[00:00:08.700 --> 00:00:12.580]  今天所講的講道的題目就是
[00:00:12.580 --> 00:00:16.920]  「辯認假信徒 還真基督徒的本色」
[00:00:16.920 --> 00:00:21.200]  Let us revert to Christlike
[00:00:21.200 --> 00:00:26.620]  在這個教會的環境裏面
[00:00:26.620 --> 00:00:30.780]  其實已經我們聽了很多年的講道
[00:00:30.780 --> 00:00:35.500]  不過其實在這麼多年的教會的生活裏面
[00:00:35.500 --> 00:00:38.680]  我就發現到很多的聖經的教導
[00:00:38.680 --> 00:00:42.320]  都被基督徒去扭曲它原本在聖經裏面
[00:00:42.320 --> 00:00:44.320]  它本來的原意
[00:00:44.320 --> 00:00:47.060]  例如我之前曾經講過很多次的
[00:00:47.060 --> 00:00:49.440]  有關於禱告的題目
[00:00:49.440 --> 00:00:52.080]  今天究竟怎樣去禱告呢?
[00:00:52.080 --> 00:00:56.460]  其實教會對於這個題目已經是扭曲到
[00:00:56.460 --> 00:01:00.480]  連主耶穌基督在登山裏面所教導的
[00:01:00.480 --> 00:01:02.160]  都可以將它吊棄
[00:01:02.160 --> 00:01:05.520]  但是其實有其它的聖經的題目
[00:01:05.520 --> 00:01:07.100]  也都被不斷的扭曲
[00:01:07.100 --> 00:01:10.700]  其中一個廣為人去誤解
[00:01:10.700 --> 00:01:12.680]  甚至去將它扭曲解釋的
[00:01:12.680 --> 00:01:16.280]  就是有關於論斷這個問題
[00:01:16.280 --> 00:01:21.100]  但很多的基督徒甚至在一些教會的目者
[00:01:21.100 --> 00:01:23.560]  他們會去引經據典
[00:01:23.560 --> 00:01:26.180]  去強調告訴基督徒
[00:01:26.180 --> 00:01:28.180]  我們不要去論斷
[00:01:28.180 --> 00:01:29.640]  我們千萬不要去論斷
[00:01:29.640 --> 00:01:31.780]  有些什麼經文他們去引用呢?
[00:01:31.780 --> 00:01:36.320]  例如在《馬太福音》第七章第一至第二節
[00:01:36.320 --> 00:01:39.580]  Matthew chapter 7, verse 1 to 2
[00:01:39.580 --> 00:01:41.760]  在那裏耶穌這樣說過
[00:01:41.760 --> 00:01:45.560]  「你們不要論斷人,免得你們被論斷
[00:01:45.560 --> 00:01:50.220]  因為你們怎樣論斷人,也必怎樣被論斷」
[00:01:50.220 --> 00:01:53.680]  另外他們甚至也引用《羅馬書》
[00:01:53.680 --> 00:01:54.680]  保羅的神學
[00:01:54.680 --> 00:01:57.180]  在《羅馬書》的第二章的第一節
[00:01:57.180 --> 00:02:01.720]  Romans chapter 2, verse 1
[00:02:01.720 --> 00:02:03.360]  那裏這樣說過
[00:02:03.360 --> 00:02:05.360]  「你在什麼事上論斷人
[00:02:05.360 --> 00:02:08.380]  就在什麼事上定自己的罪
[00:02:08.380 --> 00:02:10.380]  因你們這論斷人的
[00:02:10.380 --> 00:02:13.340]  自己所行卻和別人一樣」
[00:02:13.340 --> 00:02:14.680]  所以他們說
[00:02:14.680 --> 00:02:17.320]  你看看無論是耶穌基督也好
[00:02:17.320 --> 00:02:21.680]  甚至我們所看的新約聖經的保羅
[00:02:21.680 --> 00:02:24.180]  他都很強調不要去論斷
[00:02:24.180 --> 00:02:26.180]  但是其實
[00:02:26.180 --> 00:02:32.380]  究竟論斷是否真是聖經所不容許的事情呢?
[00:02:32.380 --> 00:02:35.580]  我們很多時候在今天的教會裏面
[00:02:35.580 --> 00:02:39.580]  很喜歡用這種斷章取義的方式
[00:02:39.580 --> 00:02:43.380]  以根據的引用形式的方法
[00:02:43.380 --> 00:02:45.580]  去將一些聖經的說話
[00:02:45.580 --> 00:02:48.580]  將它騰空地抽出來
[00:02:48.580 --> 00:02:52.580]  然後進行一些神學的建構的活動
[00:02:52.580 --> 00:02:55.580]  或者組織成為一個神學教訓
[00:02:55.580 --> 00:02:58.580]  這種做法是非常普通
[00:02:58.580 --> 00:02:59.580]  很普遍
[00:02:59.580 --> 00:03:01.580]  甚至可以這麼說
[00:03:01.580 --> 00:03:04.080]  是很容易的事情
[00:03:04.080 --> 00:03:08.080]  不過就是正正因為這麼普通、這麼普遍
[00:03:08.080 --> 00:03:12.580]  就造成了一個更普通、更普遍的一個錯誤
[00:03:12.580 --> 00:03:14.580]  首先我們要明白
[00:03:14.580 --> 00:03:16.580]  普通或者普遍
[00:03:16.580 --> 00:03:19.080]  就不代表那件事是對的
[00:03:19.080 --> 00:03:22.080]  所以不代表眾人以為美的事
[00:03:22.080 --> 00:03:23.080]  就一定是對的
[00:03:23.080 --> 00:03:24.080]  聖經不是這樣的
[00:03:24.080 --> 00:03:27.580]  它說眾人以為美的事都要留心去做
[00:03:27.580 --> 00:03:30.080]  不是每個人說是對的東西
[00:03:30.080 --> 00:03:31.080]  就等同於是對的
[00:03:31.080 --> 00:03:33.080]  就等同於教會是不是人多
[00:03:33.080 --> 00:03:36.580]  就等同於教會的牧者所傳的道一定是對的
[00:03:36.580 --> 00:03:37.580]  不代表的
[00:03:37.580 --> 00:03:40.580]  我們反而要去小心去查察
[00:03:40.580 --> 00:03:42.580]  所以弟兄姊妹
[00:03:42.580 --> 00:03:47.080]  很多時候因為這種的斷章取義的方式
[00:03:47.080 --> 00:03:50.080]  將聖經某一兩節的經文
[00:03:50.080 --> 00:03:51.580]  將它抽了出來
[00:03:51.580 --> 00:03:54.080]  然後就說聖經就是這樣教導
[00:03:54.080 --> 00:03:55.080]  我們就要這麼做
[00:03:55.080 --> 00:03:57.580]  從剛才我所引用的這兩段的聖經
[00:03:57.580 --> 00:03:59.080]  其實還有其它
[00:03:59.080 --> 00:04:01.080]  都告訴人聽之後
[00:04:01.080 --> 00:04:03.080]  不要去論斷人
[00:04:03.080 --> 00:04:04.080]  甚至我們怎麼樣
[00:04:04.080 --> 00:04:07.580]  不要去分辨人家對與錯
[00:04:07.580 --> 00:04:09.080]  甚至我們說
[00:04:09.080 --> 00:04:11.580]  造成一個很扭曲的思維
[00:04:11.580 --> 00:04:14.580]  就說我們不分青紅皂白
[00:04:14.580 --> 00:04:19.080]  甚至我們有時做到好像黑白顛倒的現象
[00:04:19.080 --> 00:04:20.580]  我們於是乎就說
[00:04:20.580 --> 00:04:22.080]  對於一些錯的事情
[00:04:22.080 --> 00:04:23.080]  對的事情
[00:04:23.080 --> 00:04:25.080]  我們不要去批評
[00:04:25.080 --> 00:04:27.080]  我們要用愛
