
[00:00:00.000 --> 00:00:05.240]  請問,什麼是你生命當中最寶貴的一件東西?
[00:00:05.240 --> 00:00:08.580]  或者你生命當中最寶貴的一件事?
[00:00:08.580 --> 00:00:11.800]  對不同年齡的人來說,都有不同的答案。
[00:00:11.800 --> 00:00:17.340]  對年輕人來說,最寶貴的莫過於是早日成家立業。
[00:00:17.340 --> 00:00:21.920]  對壯年人,中年人來說,就是要平靜安穩。
[00:00:21.920 --> 00:00:26.940]  對老年人來說,就是要健康,就是要平安。
[00:00:26.940 --> 00:00:32.660]  到底什麼是你生命當中最寶貴的一件東西或者一件事?
[00:00:32.660 --> 00:00:35.120]  保羅在《菲利比書》第三章告訴我們說,
[00:00:35.120 --> 00:00:38.660]  我只有一件事,就是忘記背後奴隸面前的,
[00:00:38.660 --> 00:00:46.700]  向着標杆直跑,我要得着神在基督耶穌裏向我招來要得的獎賞。
[00:00:46.700 --> 00:00:50.040]  什麼是你生命當中最寶貴的一件事呢?
[00:00:50.040 --> 00:00:54.260]  你必須要先懂得忘記背後奴隸面前的。
[00:00:54.260 --> 00:00:59.300]  有一天,老李就和太太一起來翻閱過去的舊相片,
[00:00:59.300 --> 00:01:04.020]  就勾起他們許多年輕時非常美好的回憶。
[00:01:04.020 --> 00:01:08.680]  老李就不禁就想要舊夢重遊,
[00:01:08.680 --> 00:01:14.060]  就告訴太太說,明天我們就像晚年一樣約會,
[00:01:14.060 --> 00:01:16.400]  明天我在湖邊等你。
[00:01:16.400 --> 00:01:21.400]  第二天,他就買了一束鮮花,在湖邊等他的太太。
[00:01:21.400 --> 00:01:25.720]  他在那裏癡癡地等了大半天,不見老婆來,
[00:01:25.720 --> 00:01:31.140]  就回到家裏面,看見老婆竟然坐在沙發上看連續劇,
[00:01:31.140 --> 00:01:35.140]  氣起來就對她說,你爲什麼不到湖邊來?
[00:01:35.140 --> 00:01:41.120]  沒想到老婆淡淡地對他說,我媽不讓我去啊!
[00:01:41.120 --> 00:01:46.240]  告訴旁邊的人說,要忘記背後奴隸面前的。
[00:01:46.240 --> 00:01:51.120]  什麼是你生命中最重要或者最寶貴的一件事?
[00:01:51.120 --> 00:01:54.700]  當你正要得着生命中最寶貴最重要的一件事情的時候,
[00:01:54.700 --> 00:02:00.060]  有時候你需要學習如何忘記背後奴隸面前的。
[00:02:00.060 --> 00:02:04.780]  斯人大衛也是以色列國裏面最偉大的一個君王之一。
[00:02:04.780 --> 00:02:09.860]  他經過了人生的甜酸苦辣,許多的戰爭得勝,
[00:02:09.860 --> 00:02:12.680]  他得到了這樣一個領悟,什麼領悟呢?
[00:02:12.680 --> 00:02:15.420]  我們來看詩篇27篇第4節。
[00:02:15.420 --> 00:02:21.820]  詩篇27篇第4節,大衛王說,有一件事我曾求耶和華,我仍要尋求,
