
[00:00:00.000 --> 00:00:07.640]  香港特區政府最近有關那個蘇道立法的事
[00:00:07.640 --> 00:00:11.960]  非常非常熱心 脈絡緊鼓
[00:00:11.960 --> 00:00:16.480]  甚至走到上門跟我們去談 有關我們的意見
[00:00:16.480 --> 00:00:19.360]  那我也感恩 給我們有機會暢所欲言
[00:00:19.360 --> 00:00:23.440]  將我們心裏面 我們看到的 我們關心的
[00:00:23.440 --> 00:00:28.440]  特別跟公眾利益都有關的 我們可以講出來
[00:00:28.440 --> 00:00:31.520]  但最近 有些弟兄姊妹
[00:00:31.520 --> 00:00:35.640]  我想先後也有三四位弟兄姊妹跟我們講
[00:00:35.640 --> 00:00:39.200]  他們參加過一個講座
[00:00:39.200 --> 00:00:43.600]  這個講座呢 就是大愛同盟
[00:00:43.600 --> 00:00:47.120]  另一方面也有人參加過一些校內
[00:00:47.120 --> 00:00:50.640]  是中文大學校內一些的講座
[00:00:50.640 --> 00:00:57.160]  聽到有一位神學的一個教授講
[00:00:57.160 --> 00:01:03.600]  聖經沒有講過同性戀是罪惡
[00:01:03.600 --> 00:01:07.160]  那我問 哪個教授講的
[00:01:07.160 --> 00:01:10.960]  他講完之後 我就說一點也不奇怪
[00:01:10.960 --> 00:01:14.160]  大學的神學院
[00:01:14.160 --> 00:01:18.560]  不一定需要你重生得救才可以教的
[00:01:18.560 --> 00:01:24.240]  大學的神學生 不一定要基督徒都可以讀的
[00:01:24.240 --> 00:01:30.680]  這個是大學 因為他們是學術來做出發點
[00:01:30.680 --> 00:01:34.120]  但今天 當我們真真正正來到主教裏面
[00:01:34.120 --> 00:01:37.480]  去建立教睦同工 睦養弟兄姊妹
[00:01:37.480 --> 00:01:41.720]  是用聖經來建立弟兄姊妹基礎的時間
[00:01:41.720 --> 00:01:45.760]  這些的神學院 我相信
[00:01:45.760 --> 00:01:50.600]  如果他說同性戀不是罪呢
[00:01:50.600 --> 00:01:55.280]  我就覺得對我們來說是更好的
[00:01:55.280 --> 00:01:58.280]  為甚麼呢 都不用我們去查
[00:01:58.280 --> 00:02:00.240]  他都告訴你了
[00:02:00.240 --> 00:02:04.120]  變成你選神學院或者推薦人讀神學院的時候
[00:02:04.120 --> 00:02:07.920]  你就知道哪些適合你 哪些不適合你
[00:02:07.920 --> 00:02:09.440]  是不是更加好
[00:02:09.440 --> 00:02:11.600]  所以我一直都很正面
[00:02:11.600 --> 00:02:13.280]  所以他講完之後
[00:02:13.280 --> 00:02:15.880]  最好都不用我們查 他自己都講了出來
[00:02:15.880 --> 00:02:19.320]  我覺得都應該欣賞他們的坦白
[00:02:19.320 --> 00:02:20.800]  但另一方面來說
