
[00:00:00.000 --> 00:00:05.000]  今天講的題目呢 是很大的題目
[00:00:05.000 --> 00:00:10.000]  神永恆的心意
[00:00:10.000 --> 00:00:14.000]  這個題目絕對不是放個重點可以講的
[00:00:14.000 --> 00:00:18.000]  當然我們就用非常簡單的方式
[00:00:18.000 --> 00:00:24.000]  要講講神對你、對我、對教會
[00:00:24.000 --> 00:00:28.000]  永遠的心意到底是什麼
[00:00:28.000 --> 00:00:31.000]  我們為什麼做基督徒
[00:00:31.000 --> 00:00:35.000]  我們為什麼有教會
[00:00:35.000 --> 00:00:39.000]  我們前面的目的是什麼
[00:00:39.000 --> 00:00:45.000]  我們今天要稍微在主的面前來分享一下
[00:00:45.000 --> 00:00:53.000]  剛才我們的主席替我們念了一段聖經
[00:00:53.000 --> 00:00:58.000]  就是《創世紀》十二章一節到三節
[00:00:58.000 --> 00:01:00.000]  這幾節聖經非常重要
[00:01:00.000 --> 00:01:02.000]  我們再把它打出來好不好
[00:01:02.000 --> 00:01:05.000]  《創世紀》十二章第一節
[00:01:05.000 --> 00:01:07.000]  我們大家一起念
[00:01:07.000 --> 00:01:10.000]  你用國語、用廣東話念都可以
[00:01:10.000 --> 00:01:12.000]  三節聖經我們一起念
[00:01:12.000 --> 00:01:13.000]  一二三
[00:01:13.000 --> 00:01:16.000]  耶和華對亞伯蘭說
[00:01:16.000 --> 00:01:20.000]  你要離開本地、本族、富家
[00:01:20.000 --> 00:01:24.000]  往我所要指示你的地去
[00:01:24.000 --> 00:01:27.000]  我必叫你成為大國
[00:01:27.000 --> 00:01:29.000]  我必賜福給你
[00:01:29.000 --> 00:01:31.000]  叫你的名為大
[00:01:31.000 --> 00:01:34.000]  你也要叫別人得福
[00:01:34.000 --> 00:01:36.000]  為你祝福的
[00:01:36.000 --> 00:01:38.000]  我必賜福於他
[00:01:38.000 --> 00:01:40.000]  那咒詛你的
[00:01:40.000 --> 00:01:42.000]  我必咒詛他
[00:01:42.000 --> 00:01:46.000]  地上的萬族都要因你得福
[00:01:46.000 --> 00:01:48.000]  好謝謝
[00:01:48.000 --> 00:01:52.000]  這是一段非常非常重要的
[00:01:52.000 --> 00:01:55.000]  忠心的性的聖經
[00:01:55.000 --> 00:01:59.000]  我們今天是拆傳主日
[00:01:59.000 --> 00:02:03.000]  教會每次講拆傳、講宣教
[00:02:03.000 --> 00:02:06.000]  我們多半就是讀信約的
[00:02:06.000 --> 00:02:09.000]  馬太福音二十八章
[00:02:09.000 --> 00:02:12.000]  馬可十六章、路加二十四章
[00:02:12.000 --> 00:02:15.000]  十字行傳一章八節
