
[00:00:00.000 --> 00:00:04.000]  頂姐妹主內平安,家中的頂姐妹都平安
[00:00:04.000 --> 00:00:10.000]  今天的題目是水鬥水
[00:00:10.000 --> 00:00:13.000]  我們一起去學習一下吧
[00:00:13.000 --> 00:00:15.000]  我們一起祈禱吧
[00:00:15.000 --> 00:00:17.000]  親愛的主,我們多謝你
[00:00:17.000 --> 00:00:19.000]  因為你給我們的話語是寶貴的
[00:00:19.000 --> 00:00:22.000]  話語我們不能夠完全明白
[00:00:22.000 --> 00:00:24.000]  不過我們知道當我們細味
[00:00:24.000 --> 00:00:27.000]  讓你的話語發出亮光
[00:00:27.000 --> 00:00:29.000]  刺激我們的生命
[00:00:29.000 --> 00:00:31.000]  讓我們思考與你的關係
[00:00:31.000 --> 00:00:34.000]  求你讓我們每一個都眼睛明亮
[00:00:34.000 --> 00:00:36.000]  看到你話語的寶貴
[00:00:36.000 --> 00:00:38.000]  求你帶領我們聽我們祈禱
[00:00:38.000 --> 00:00:40.000]  奉耶穌名字而求
[00:00:40.000 --> 00:00:42.000]  阿們
[00:00:42.000 --> 00:00:45.000]  今天的題目是一皮袋水
[00:00:45.000 --> 00:00:47.000]  一口水井
[00:00:47.000 --> 00:00:50.000]  我們先看看
[00:00:50.000 --> 00:00:52.000]  當說到水的時候
[00:00:52.000 --> 00:00:55.000]  不知道大家有沒有喝過這瓶水
[00:00:55.000 --> 00:00:59.000]  這瓶水的品牌叫做龍呼山泉
[00:00:59.000 --> 00:01:01.000]  在中國是很出名的
[00:01:01.000 --> 00:01:03.000]  有沒有人喝過
[00:01:03.000 --> 00:01:05.000]  真的有喝過
[00:01:05.000 --> 00:01:09.000]  這瓶水我想它出名的地方
[00:01:09.000 --> 00:01:13.000]  不單止是一間香港很出名的上市公司
[00:01:13.000 --> 00:01:17.000]  更加重要的是它最近見報紙
[00:01:17.000 --> 00:01:19.000]  上報
[00:01:19.000 --> 00:01:21.000]  上報紙的原因是因為
[00:01:21.000 --> 00:01:23.000]  在香港裏面我們有一個機構
[00:01:23.000 --> 00:01:25.000]  叫做消費者委員會
[00:01:25.000 --> 00:01:28.000]  幫消費者了解一下
[00:01:28.000 --> 00:01:31.000]  不同產品的質素
[00:01:31.000 --> 00:01:33.000]  品質等等的事情
[00:01:33.000 --> 00:01:35.000]  因為這個情況
[00:01:35.000 --> 00:01:38.000]  最近的消費者委員會
[00:01:38.000 --> 00:01:41.000]  去了解一下瓶裝水
[00:01:41.000 --> 00:01:44.000]  瓶裝水的質素是怎樣
[00:01:44.000 --> 00:01:47.000]  於是他們就用不同的瓶裝水
[00:01:47.000 --> 00:01:49.000]  做了不同的測試
[00:01:49.000 --> 00:01:52.000]  結果他們發現了其中一個品牌
[00:01:52.000 --> 00:01:54.000]  龍呼山泉的品牌
[00:01:54.000 --> 00:01:56.000]  指他們的臭酸鹽
[00:01:56.000 --> 00:01:59.000]  的含量達到歐盟的上限
[00:01:59.000 --> 00:02:02.000]  歐盟就是歐洲的一個標準的上限
[00:02:02.000 --> 00:02:06.000]  於是當然就覺得
[00:02:06.000 --> 00:02:09.000]  會不會影響我們的品牌
[00:02:09.000 --> 00:02:12.000]  特別去挑戰
[00:02:12.000 --> 00:02:14.000]  是否說我們的水有問題呢
[00:02:14.000 --> 00:02:16.000]  是否說我們的水不能喝呢
[00:02:16.000 --> 00:02:20.000]  於是這間上市公司
