
[00:00:00.000 --> 00:00:01.360]  很開心見到大家
[00:00:01.360 --> 00:00:02.240]  很感動
[00:00:02.240 --> 00:00:03.560]  因為終於
[00:00:03.560 --> 00:00:07.880]  不只是望著椅子和鏡頭去講道
[00:00:07.880 --> 00:00:10.400]  讓我們再次同心祈禱
[00:00:10.400 --> 00:00:13.280]  天父我們感謝祢
[00:00:13.280 --> 00:00:15.360]  今天讓我們有這麼好的清晨
[00:00:15.360 --> 00:00:16.880]  這麼漂亮的太陽
[00:00:16.880 --> 00:00:18.840]  也讓我們有不少弟兄姊妹
[00:00:18.840 --> 00:00:20.560]  回到這個殿當中
[00:00:20.560 --> 00:00:22.720]  去經歷祢的豐富、祢的恩典
[00:00:22.720 --> 00:00:23.960]  多謝主
[00:00:23.960 --> 00:00:25.920]  也讓我們無論在這裡
[00:00:25.920 --> 00:00:27.160]  或者繼續在家中
[00:00:27.160 --> 00:00:28.480]  在螢幕前的弟兄姊妹
[00:00:28.680 --> 00:00:30.160]  同樣的同感一靈
[00:00:30.160 --> 00:00:31.600]  經過祢的恩典和豐富
[00:00:31.600 --> 00:00:34.240]  開我們的耳朵讓我們留心聆聽
[00:00:34.240 --> 00:00:36.800]  開我們的眼睛讓我們看到祢的榮光
[00:00:36.800 --> 00:00:38.600]  開我們的手腳
[00:00:38.600 --> 00:00:40.360]  以致我們用行動去回應祢
[00:00:40.360 --> 00:00:41.560]  由於部人口中的言語
[00:00:41.560 --> 00:00:43.000]  弟兄姊妹之間的心思意念
[00:00:43.000 --> 00:00:44.000]  蒙聖靈的啟迪
[00:00:44.000 --> 00:00:44.880]  蒙主的悅勒
[00:00:44.880 --> 00:00:46.920]  禱告奉耶穌基督的名
[00:00:46.920 --> 00:00:47.880]  阿們
[00:00:47.880 --> 00:00:50.000]  各位弟兄姊妹
[00:00:50.000 --> 00:00:52.560]  在你生命裡面遇見的事當中
[00:00:52.560 --> 00:00:55.160]  有沒有一些事情令你稀奇的呢?
[00:00:55.160 --> 00:00:57.920]  可能在今天這個日常
[00:00:57.920 --> 00:00:59.680]  很多新穎的事件
[00:00:59.680 --> 00:01:01.760]  日新月異不斷地變化
[00:01:01.760 --> 00:01:04.200]  很多事情本來是值得稀奇的
[00:01:04.200 --> 00:01:05.600]  都慢慢習慣了
[00:01:05.600 --> 00:01:08.960]  復活節沒有機會回來教會崇拜
[00:01:08.960 --> 00:01:09.640]  稀不稀奇?
[00:01:09.640 --> 00:01:10.920]  很稀奇
[00:01:10.920 --> 00:01:12.080]  不過我們已經經歷了
[00:01:12.080 --> 00:01:14.680]  可能我們的生活要困在家裡
[00:01:14.680 --> 00:01:15.400]  不能出門
[00:01:15.400 --> 00:01:16.760]  可能也很稀奇
[00:01:16.760 --> 00:01:17.920]  但是我們經歷過
[00:01:17.920 --> 00:01:19.520]  慢慢習慣
[00:01:19.520 --> 00:01:20.760]  可能我們不再有感覺
[00:01:20.760 --> 00:01:23.560]  今天我很想跟大家一起集中去思考
[00:01:23.560 --> 00:01:25.640]  特別是剛才聽到福音書的經課
[00:01:25.640 --> 00:01:27.600]  有關葡萄園的家主
[00:01:27.720 --> 00:01:29.360]  以及緣戶的比喻
[00:01:29.360 --> 00:01:32.040]  請留意這個比喻的特色
[00:01:32.040 --> 00:01:34.040]  是三卷的《符籙福音書》
[00:01:34.040 --> 00:01:35.200]  《馬太馬克路格福音》
[00:01:35.200 --> 00:01:36.360]  都有記載的
[00:01:36.360 --> 00:01:38.560]  這個可能是我們很熟悉
[00:01:38.560 --> 00:01:39.680]  耶穌基督的比喻
[00:01:39.680 --> 00:01:40.840]  今天
[00:01:40.840 --> 00:01:41.760]  在這裡
[00:01:41.760 --> 00:01:43.240]  會不會
[00:01:43.240 --> 00:01:45.680]  將會成為你再一次稀奇的地方呢?
[00:01:45.680 --> 00:01:48.360]  我們可以先打開這段經文
[00:01:48.360 --> 00:01:50.000]  我很快將這段經文
[00:01:50.000 --> 00:01:51.640]  再講一次給你聽聽
[00:01:51.640 --> 00:01:53.080]  再深刻一點的印象
[00:01:53.080 --> 00:01:54.560]  耶穌這麼說
[00:01:54.560 --> 00:01:56.960]  在《馬太福音》第21章33節這麼說
[00:01:57.480 --> 00:01:58.800]  你們再聽一個比喻
