
[00:00:00.000 --> 00:00:02.000]  各位姐妹們,主內,平安!
[00:00:02.000 --> 00:00:06.000]  好像有一段日子還未跟大家見面
[00:00:06.000 --> 00:00:10.000]  在上個月,我有幾個星期去了美國
[00:00:10.000 --> 00:00:14.000]  也去了一些新州,在當中學習
[00:00:14.000 --> 00:00:19.000]  盼望這段時間,大家一起欣賞的旅店都是安心的
[00:00:19.000 --> 00:00:24.000]  在我這段生活當中,有一個很珍貴的綠光
[00:00:24.000 --> 00:00:28.000]  是能夠與不同的國家有很多的默契
[00:00:28.000 --> 00:00:31.000]  除了有很多的交流,不單是知識的交流
[00:00:31.000 --> 00:00:34.000]  更重要的是生命的科學
[00:00:34.000 --> 00:00:37.000]  他們都是一群很衛生,精神的科學
[00:00:37.000 --> 00:00:40.000]  很有抱負,很有熱情的力量
[00:00:40.000 --> 00:00:43.000]  我們在交流當中相對是很健康
[00:00:43.000 --> 00:00:47.000]  給了我自己很多的學習和鼓勵
[00:00:47.000 --> 00:00:52.000]  希望有機會可以有更多的跟大家分享
[00:00:52.000 --> 00:00:57.000]  今天我們繼續敬畏上主的角度
[00:00:57.000 --> 00:01:00.000]  我們會欣賞敬畏和侍寵
[00:01:00.000 --> 00:01:02.000]  有一個玉書《地政》,有一個《星文》
[00:01:02.000 --> 00:01:06.000]  我們一起欣賞誠心實意的侍寵
[00:01:06.000 --> 00:01:09.000]  是怎樣一回事呢?
[00:01:09.000 --> 00:01:14.000]  首先,在年底老賣的時候
[00:01:14.000 --> 00:01:20.000]  我們要促成機會去提醒眾百姓
[00:01:20.000 --> 00:01:22.000]  要提醒今天我們每一位
[00:01:22.000 --> 00:01:26.000]  要敬畏又說,要誠心實意的去侍寵他們
[00:01:26.000 --> 00:01:32.000]  這是一個很認真、很嚴肅的設計
[00:01:32.000 --> 00:01:36.000]  今天我們會看的《星文》
[00:01:36.000 --> 00:01:40.000]  會走在差不多第五章、第十四章
[00:01:40.000 --> 00:01:46.000]  我們首先來看今天兩節《星文》
[00:01:46.000 --> 00:01:49.000]  第四次到第十五節
[00:01:49.000 --> 00:01:51.000]  讓我們看到這兩節《星文》
[00:01:51.000 --> 00:01:58.000]  「現在你們要敬畏要華,誠心實意地贊成他」
[00:01:58.000 --> 00:02:03.000]  「將你們滅祖在大河那邊,和在埃及」
[00:02:03.000 --> 00:02:07.000]  「自貢的神取消,去自貢要華」
[00:02:07.000 --> 00:02:11.000]  「若是你們以自貢要華為不許」
[00:02:11.000 --> 00:02:15.000]  「今日就可以選擇所要前途」
[00:02:15.000 --> 00:02:19.000]  「是你們滅祖在大河那邊,所自貢的神呢?」
[00:02:19.000 --> 00:02:23.000]  「是你們所自者的亞摩利人之臣呢?」
[00:02:23.000 --> 00:02:28.000]  「至於我和我家,我必定是貢要華」
[00:02:28.000 --> 00:02:31.000]  這兩節《星文》真的不用敬畏
[00:02:31.000 --> 00:02:36.000]  甚至可能有些《星文》有些擺脫
[00:02:36.000 --> 00:02:39.000]  看前一班一季的茶兵
[00:02:39.000 --> 00:02:42.000]  可能這個禮拜
[00:02:42.000 --> 00:02:44.000]  或者你已經查過了,或者下個禮拜
[00:02:44.000 --> 00:02:49.000]  《史詩正傳》是查到這一段的經文
[00:02:49.000 --> 00:02:52.000]  《史詩正傳》是一身驚威
