
[00:00:00.000 --> 00:00:06.100]  各位弟兄姊妹,晚安!平安!
[00:00:06.100 --> 00:00:10.200]  今天是門徒訓練崇拜
[00:00:10.200 --> 00:00:12.500]  我想先請問
[00:00:12.500 --> 00:00:15.700]  當中在座有沒有人未信耶穌
[00:00:15.700 --> 00:00:18.900]  以耶穌為你生命之主
[00:00:18.900 --> 00:00:22.800]  或者未是門徒
[00:00:22.800 --> 00:00:27.500]  即是大家在生活都是以耶穌的教導行先
[00:00:27.500 --> 00:00:29.900]  是耶穌的門徒
[00:00:29.900 --> 00:00:32.400]  簡稱基督徒
[00:00:32.400 --> 00:00:36.400]  就是要入耶穌門的徒弟
[00:00:36.400 --> 00:00:39.600]  耶穌怎麼做,你就怎麼做
[00:00:39.600 --> 00:00:41.400]  耶穌對眾人說
[00:00:41.400 --> 00:00:44.000]  你們要努力進閘門
[00:00:44.000 --> 00:00:45.400]  我告訴你們
[00:00:45.400 --> 00:00:50.500]  將來有許多人想要進去卻不能
[00:00:50.500 --> 00:00:54.000]  假如下一秒耶穌回來
[00:00:54.000 --> 00:00:57.000]  你預備好見耶穌沒有?
[00:00:57.000 --> 00:00:59.200]  問下你旁邊的肢體
[00:00:59.200 --> 00:01:03.900]  有沒有失去專注在上帝的能力?
[00:01:03.900 --> 00:01:06.700]  為什麼我們基督徒信下信下
[00:01:06.700 --> 00:01:10.100]  就會失去專注上帝吩咐的能力
[00:01:10.100 --> 00:01:13.500]  落實不到跟耶穌的吩咐
[00:01:13.500 --> 00:01:17.200]  做門徒行在誠信的閘路?
[00:01:17.200 --> 00:01:19.400]  大多只是停留在
[00:01:19.400 --> 00:01:22.800]  跟自己的喜好返崇拜那個階段
[00:01:22.800 --> 00:01:25.900]  最多處理下自己和神的關係
[00:01:25.900 --> 00:01:29.500]  和其他人的關係,遲些再說
[00:01:29.500 --> 00:01:31.300]  不少基督徒說
[00:01:31.300 --> 00:01:33.100]  我不是不信上帝
[00:01:33.100 --> 00:01:35.100]  我受洗了
[00:01:35.100 --> 00:01:36.900]  我不是不專注
[00:01:36.900 --> 00:01:39.400]  我有教會和侍奉
[00:01:39.400 --> 00:01:41.700]  只是真的很難專心
[00:01:41.700 --> 00:01:45.200]  生活有很多東西分散我的注意力
[00:01:45.200 --> 00:01:47.500]  有時祈禱讀聖經
[00:01:47.500 --> 00:01:50.100]  讀著讀著心會散了
[00:01:50.100 --> 00:01:52.200]  聽完很有感覺
[00:01:52.200 --> 00:01:58.000]  但是很快又回到原有慣性很舒適的生活
[00:01:58.000 --> 00:02:01.300]  每天安排時間靈修
[00:02:01.300 --> 00:02:03.300]  和上帝交流
[00:02:03.300 --> 00:02:05.500]  根本沒有時間
[00:02:05.500 --> 00:02:06.800]  我知道
[00:02:06.800 --> 00:02:09.300]  但是我真的做不到
[00:02:09.300 --> 00:02:11.100]  你想我怎樣?
[00:02:11.100 --> 00:02:13.800]  我都有求上帝去幫我
[00:02:13.800 --> 00:02:15.200]  都是這樣
[00:02:15.200 --> 00:02:17.300]  我可以怎樣?
[00:02:17.300 --> 00:02:18.300]  我明白
[00:02:18.300 --> 00:02:22.700]  因為我和大家都經歷過這些掙扎
[00:02:22.700 --> 00:02:24.900]  我們要記得文素記
[00:02:24.900 --> 00:02:28.100]  是描述上帝第一次吩咐以色列人
[00:02:28.100 --> 00:02:30.900]  要準備入應許地
[00:02:30.900 --> 00:02:32.300]  過程當中
[00:02:32.300 --> 00:02:36.300]  因為犯罪而被公義的上帝懲罰
[00:02:36.300 --> 00:02:38.400]  同時又是慈愛的上帝
[00:02:38.400 --> 00:02:40.800]  再次吩咐以色列人
[00:02:40.800 --> 00:02:44.100]  準備跟從上帝的吩咐
[00:02:44.100 --> 00:02:46.000]  進入應許地
[00:02:46.000 --> 00:02:50.100]  是講信靠上帝的誇大傳承
[00:02:50.100 --> 00:02:51.700]  文素記十八章
[00:02:51.700 --> 00:02:55.500]  就是拉我們回去看一個很現實的問題
[00:02:55.500 --> 00:02:58.600]  一般在埃及受苦的以色列人知道
[00:02:58.600 --> 00:03:01.800]  只有慈愛的上帝才可以拯救他們
[00:03:01.800 --> 00:03:04.200]  所以他們向上帝哀求
[00:03:04.200 --> 00:03:05.600]  上帝聽到
[00:03:05.600 --> 00:03:07.200]  回應了他們
[00:03:07.200 --> 00:03:10.900]  但是他們即使見證上帝拯救的大能
[00:03:10.900 --> 00:03:13.800]  在專注上帝吩咐的能力
[00:03:13.800 --> 00:03:16.000]  一時有一時無
[00:03:16.000 --> 00:03:17.400]  很不穩定
[00:03:17.400 --> 00:03:20.800]  上帝明白受制於人性的軟弱
[00:03:20.800 --> 00:03:24.200]  所以揀選祭司利未人
[00:03:24.200 --> 00:03:25.700]  分別他們為聖
[00:03:25.700 --> 00:03:27.600]  訂立祭司制度
[00:03:27.600 --> 00:03:29.800]  為這班活逆的子民
[00:03:29.800 --> 00:03:31.800]  獻祭贖罪
[00:03:31.800 --> 00:03:34.300]  因為他們經常發怨言
[00:03:34.300 --> 00:03:36.700]  自私假偉大
[00:03:36.700 --> 00:03:39.200]  驕傲想獨自尊權
[00:03:39.200 --> 00:03:41.200]  明知故犯
[00:03:41.200 --> 00:03:43.000]  想深一層
[00:03:43.000 --> 00:03:45.900]  祭司制度其實是個賞賜
[00:03:45.900 --> 00:03:47.200]  要保護他們
[00:03:47.200 --> 00:03:49.400]  最終不會因為自己的罪
[00:03:49.400 --> 00:03:52.400]  而被公義的上帝滅絕
[00:03:52.400 --> 00:03:56.600]  他們自己都要甘心情願去付代價
[00:03:56.600 --> 00:03:58.700]  就是用平靜的心
[00:03:58.700 --> 00:04:00.400]  去反省自己
[00:04:00.400 --> 00:04:04.900]  言行是否只是嘴唇獻祭
[00:04:04.900 --> 00:04:07.100]  如果違背上帝的吩咐
[00:04:07.100 --> 00:04:09.700]  就認罪悔改獻祭
[00:04:09.700 --> 00:04:13.000]  是一個相互責任的關係
[00:04:13.000 --> 00:04:15.500]  不要好像報惡信
[00:04:15.500 --> 00:04:19.800]  不照上帝吩咐那些探子死於瘟疫
[00:04:19.800 --> 00:04:22.700]  不要好像想獨自尊權
[00:04:22.700 --> 00:04:25.200]  攻擊上帝僕人的可拉黨
[00:04:25.200 --> 00:04:28.300]  這樣跌落陰間被滅絕
[00:04:28.300 --> 00:04:31.200]  不要好像那些以色列眾人
[00:04:31.200 --> 00:04:34.200]  去埋怨摩西亞倫
[00:04:34.200 --> 00:04:39.100]  以致一萬四千七百個人死於瘟疫
[00:04:39.100 --> 00:04:41.000]  在十五到十七章
[00:04:41.000 --> 00:04:42.400]  我們很清楚
[00:04:42.400 --> 00:04:44.500]  有三個重要的記號
[00:04:44.500 --> 00:04:45.300]  第一
[00:04:45.300 --> 00:04:49.200]  就在十五章所講衣服邊上的錘子
[00:04:49.200 --> 00:04:52.300]  是耶和華上帝吩咐世世代代
[00:04:52.300 --> 00:04:55.700]  都要紀念遵行耶和華一切的命令
[00:04:55.700 --> 00:04:58.900]  不要慣性隨從自己的心意
[00:04:58.900 --> 00:05:00.600]  眼目行邪淫
[00:05:00.600 --> 00:05:03.600]  要紀念遵行上帝一切的命令
[00:05:03.600 --> 00:05:05.300]  成為聖傑
[00:05:05.300 --> 00:05:07.000]  歸於上帝
[00:05:07.000 --> 00:05:10.900]  好好記住耶和華就是上帝
[00:05:10.900 --> 00:05:12.100]  第二
[00:05:12.100 --> 00:05:14.400]  就是在第十六章講到
[00:05:14.400 --> 00:05:16.300]  用那些犯罪
