
[00:00:00.000 --> 00:00:02.360]  領姐妹主內平安
[00:00:02.360 --> 00:00:04.480]  今天我們繼續一同去思想
[00:00:04.480 --> 00:00:06.400]  《約翰福音》當中的神蹟
[00:00:06.400 --> 00:00:08.760]  今天我們來到《約翰福音》裡面
[00:00:08.760 --> 00:00:12.240]  耶穌所施行的第六個神蹟
[00:00:12.240 --> 00:00:13.640]  是一個有關於
[00:00:13.640 --> 00:00:17.600]  醫治一個生來合眼的人的記載
[00:00:17.600 --> 00:00:19.760]  在這個記載裡面
[00:00:19.760 --> 00:00:22.040]  對什麼叫做「漢見」
[00:00:22.040 --> 00:00:24.000]  什麼叫「漢不見」
[00:00:24.000 --> 00:00:26.280]  有很吊詭的描述
[00:00:26.280 --> 00:00:27.920]  究竟哪一個才是「漢見」
[00:00:27.920 --> 00:00:29.400]  哪一個是「漢不見」呢?
[00:00:29.400 --> 00:00:32.760]  「漢見」的人又究竟「漢見」些什麼呢?
[00:00:32.760 --> 00:00:37.640]  這個描述用了整整第九章很長的篇幅
[00:00:37.640 --> 00:00:40.680]  因此今天我們會一起看多些聖經
[00:00:40.680 --> 00:00:42.840]  看多些神的話
[00:00:42.840 --> 00:00:45.600]  看看當中給我們有什麼提醒
[00:00:45.600 --> 00:00:47.480]  給我們有些什麼的鼓勵
[00:00:47.480 --> 00:00:48.440]  我們先先
[00:00:48.440 --> 00:00:50.560]  首先我們一同去讀出
[00:00:50.560 --> 00:00:52.360]  這段經文的第一部分
[00:00:52.360 --> 00:00:54.080]  一至七節
[00:00:54.080 --> 00:00:55.760]  預備起
[00:00:55.760 --> 00:00:57.720]  耶穌過去的時候
[00:00:57.720 --> 00:01:00.880]  看見一個人生來是合眼的
[00:01:00.880 --> 00:01:02.760]  門徒問耶穌說
[00:01:02.760 --> 00:01:03.600]  拉比
[00:01:03.600 --> 00:01:05.960]  這人生來是合眼的
[00:01:05.960 --> 00:01:07.560]  是誰犯了罪?
[00:01:07.560 --> 00:01:08.720]  是這人呢?
[00:01:08.720 --> 00:01:10.440]  是他父母呢?
[00:01:10.440 --> 00:01:12.120]  耶穌回答說
[00:01:12.120 --> 00:01:14.240]  也不是這人犯了罪
[00:01:14.240 --> 00:01:16.760]  也不是他父母犯了罪
[00:01:16.760 --> 00:01:20.640]  是要在他身上顯出神的作為來
[00:01:20.640 --> 00:01:21.760]  趁著白日
[00:01:21.760 --> 00:01:25.080]  我們必須做那猜我來者的功
[00:01:25.080 --> 00:01:26.400]  黑夜將到
[00:01:26.400 --> 00:01:29.440]  就沒有人能作功了
[00:01:29.440 --> 00:01:31.200]  我在世上的時候
