
[00:00:00.000 --> 00:00:03.600]  我首先想以一個故事開始
[00:00:03.600 --> 00:00:05.600]  大家都知道我喜歡這樣
[00:00:05.600 --> 00:00:07.600]  這是一個自以為是的
[00:00:07.600 --> 00:00:10.600]  好撒瑪利人的故事
[00:00:10.600 --> 00:00:12.400]  故事是這樣說的
[00:00:12.400 --> 00:00:16.200]  從前有一個人落在強盜手裏面
[00:00:16.200 --> 00:00:19.200]  被剝去衣裳打得半死
[00:00:19.200 --> 00:00:22.600]  有一個撒瑪利人經過
[00:00:22.600 --> 00:00:24.600]  看到這個人就動了慈心
[00:00:24.600 --> 00:00:28.000]  上前替他包裹傷處
[00:00:28.000 --> 00:00:31.000]  又扶到店裏面照顧他
[00:00:31.000 --> 00:00:34.000]  第二天還跟他結帳
[00:00:34.000 --> 00:00:36.000]  然後到了第三天
[00:00:36.000 --> 00:00:39.000]  這個人又落在強盜手裏面
[00:00:39.000 --> 00:00:42.000]  強盜又打得他半死
[00:00:42.000 --> 00:00:45.000]  這個好撒瑪利人又經過了
[00:00:45.000 --> 00:00:48.000]  又動了慈心出手幫助
[00:00:48.000 --> 00:00:51.000]  如是者每天都重複
[00:00:51.000 --> 00:00:54.000]  好撒瑪利人的故事
[00:00:54.000 --> 00:00:56.000]  強盜每天都出動
[00:00:56.000 --> 00:00:59.000]  那個人每天都受害
[00:00:59.000 --> 00:01:04.000]  好撒瑪利人每天都動了慈心出手幫助
[00:01:04.000 --> 00:01:07.000]  不過後來發現原來這個好撒瑪利人
[00:01:07.000 --> 00:01:10.000]  其實住在強盜旁邊
[00:01:10.000 --> 00:01:12.000]  原來大家都是鄰舍
[00:01:12.000 --> 00:01:16.000]  好撒瑪利人每天都目睹強盜出門搶掠
[00:01:16.000 --> 00:01:19.000]  但他就因為非暴力
[00:01:19.000 --> 00:01:21.000]  和不可以取代上帝工作
[00:01:21.000 --> 00:01:24.000]  這個理由就沒有上前阻止他
[00:01:24.000 --> 00:01:28.000]  每天事後扮演好鄰舍的角色
[00:01:28.000 --> 00:01:31.000]  這個故事其實我是抄的
[00:01:31.000 --> 00:01:37.000]  是引述自見到神學院神學系助理教授陳維安教授
[00:01:37.000 --> 00:01:40.000]  在2016年6月30日寫的
[00:01:40.000 --> 00:01:43.000]  叫做好撒瑪利亞人的暴力
[00:01:43.000 --> 00:01:45.000]  這篇文章的開頭故事
[00:01:45.000 --> 00:01:47.000]  你可以找回這篇文章
[00:01:47.000 --> 00:01:49.000]  看他怎樣說下去
[00:01:49.000 --> 00:01:55.000]  究竟今天我們基督徒要怎樣面對怎樣回應成宗的挑戰呢
