
[00:00:00.000 --> 00:00:02.000]  好,鄧師傅,讓我們在聆聽主導而先
[00:00:02.000 --> 00:00:03.000]  讓我們再次透過禱告
[00:00:03.000 --> 00:00:06.000]  將我們心生靈皆在主神的手上
[00:00:06.000 --> 00:00:12.000]  天父,我多謝祢
[00:00:12.000 --> 00:00:15.000]  是祢賜給我們的生命
[00:00:15.000 --> 00:00:17.000]  能夠活在地上
[00:00:17.000 --> 00:00:20.000]  是祢賦予機會
[00:00:20.000 --> 00:00:22.000]  讓我們能夠在地上
[00:00:22.000 --> 00:00:25.000]  享受上帝祢的創造
[00:00:25.000 --> 00:00:28.000]  感謝祢
[00:00:29.000 --> 00:00:31.000]  能夠讓我們在救恩的上面
[00:00:31.000 --> 00:00:34.000]  可以接觸到主耶穌基督
[00:00:34.000 --> 00:00:38.000]  讓我們可以親身在祂面前
[00:00:38.000 --> 00:00:42.000]  能夠認識我們自己的光景
[00:00:42.000 --> 00:00:46.000]  重新得到一個悔罪的生命
[00:00:46.000 --> 00:00:48.000]  我們為此現上感謝
[00:00:48.000 --> 00:00:52.000]  為了今天我們所同心睇的經文
[00:00:52.000 --> 00:00:54.000]  祈求主祢給我們
[00:00:54.000 --> 00:00:57.000]  在聖靈的引導之下有亮光
[00:00:58.000 --> 00:01:01.000]  能夠清楚明白當中
[00:01:01.000 --> 00:01:03.000]  耶穌所面對的
[00:01:03.000 --> 00:01:07.000]  和耶穌所希望做到的事
[00:01:07.000 --> 00:01:09.000]  求祢的幫助
[00:01:09.000 --> 00:01:11.000]  我們同心的禱告
[00:01:11.000 --> 00:01:14.000]  奉靠主耶穌基督德性的明智求
[00:01:14.000 --> 00:01:20.000]  在《馬太福音》第五章第八節裡面
[00:01:20.000 --> 00:01:23.000]  記載了一句大家很熟悉的經文
[00:01:23.000 --> 00:01:27.000]  叫做「溫柔的人有福了」
[00:01:28.000 --> 00:01:31.000]  「為他們必承受地土」
[00:01:31.000 --> 00:01:33.000]  不知道當你讀到
[00:01:33.000 --> 00:01:36.000]  八福其中這一句的時候
[00:01:36.000 --> 00:01:39.000]  「溫柔」和「承受地土」
[00:01:39.000 --> 00:01:42.000]  兩者之間有什麼關係
[00:01:42.000 --> 00:01:44.000]  你有沒有想過呢
[00:01:44.000 --> 00:01:47.000]  今天我們會一起同心睇
[00:01:47.000 --> 00:01:49.000]  《馬太福音》第21章
[00:01:49.000 --> 00:01:52.000]  從第12節至17節的經文
[00:01:52.000 --> 00:01:54.000]  我希望透過承接
[00:01:54.000 --> 00:01:56.000]  我們上個禮拜開始看耶穌基督
[00:01:57.000 --> 00:02:01.000]  給了一個溫柔的侍奉的呼召
[00:02:01.000 --> 00:02:04.000]  我們怎樣去領受這個呼召之後
[00:02:04.000 --> 00:02:06.000]  和往後的日子
[00:02:06.000 --> 00:02:10.000]  我們怎樣跟上帝建立這份屬靈的關係
[00:02:10.000 --> 00:02:12.000]  我希望透過這一點
[00:02:12.000 --> 00:02:15.000]  一同的去了解
[00:02:15.000 --> 00:02:17.000]  首先我們去看看
[00:02:17.000 --> 00:02:21.000]  究竟什麼叫做「溫柔」的意義
[00:02:21.000 --> 00:02:25.000]  在很多人對「溫柔」的理解就是
[00:02:26.000 --> 00:02:28.000]  「溫柔」是代表著一個人
[00:02:28.000 --> 00:02:32.000]  手無搏雞之力的一個代名詞
[00:02:32.000 --> 00:02:35.000]  所以在上個禮拜
[00:02:35.000 --> 00:02:38.000]  當我們去談論有關耶穌
[00:02:38.000 --> 00:02:43.000]  承接了撒加利亞先知第九章第九節
[00:02:43.000 --> 00:02:46.000]  那個溫柔的呼召
[00:02:46.000 --> 00:02:49.000]  進入到耶路撒冷城
[00:02:49.000 --> 00:02:51.000]  這段經文很多時候
[00:02:51.000 --> 00:02:53.000]  我們所解釋的都是
[00:02:54.000 --> 00:02:57.000]  很威風的進入到耶路撒冷當中
[00:02:57.000 --> 00:03:01.000]  但是其實馬太福音是故意
[00:03:01.000 --> 00:03:05.000]  把耶穌很多人以為很駕細堂
[00:03:05.000 --> 00:03:07.000]  進入耶路撒冷這個圖畫
[00:03:07.000 --> 00:03:09.000]  把他放得很低調
[00:03:09.000 --> 00:03:11.000]  相反來講
[00:03:11.000 --> 00:03:16.000]  是強調利用這兩隻驢和驢驅
[00:03:16.000 --> 00:03:18.000]  來反映出
[00:03:18.000 --> 00:03:21.000]  承接在舊約先知所指導的
[00:03:21.000 --> 00:03:23.000]  一個溫柔的呼召
[00:03:24.000 --> 00:03:25.000]  耶穌基督來到這個世界
[00:03:25.000 --> 00:03:32.000]  不是來爭奪任何的屬世的權力
[00:03:32.000 --> 00:03:34.000]  相反
[00:03:34.000 --> 00:03:36.000]  耶穌來到這個世界
[00:03:36.000 --> 00:03:40.000]  是要顯出他那個溫柔的屬靈的生命
[00:03:40.000 --> 00:03:42.000]  讓我們去看見
[00:03:42.000 --> 00:03:45.000]  或者學到耶穌這樣的表現
[00:03:45.000 --> 00:03:49.000]  同樣在這個地上我們活著的時候
[00:03:49.000 --> 00:03:53.000]  面對世界每一件事情的取態
[00:03:54.000 --> 00:03:55.000]  是怎樣的
[00:03:55.000 --> 00:03:58.000]  有些信徒就會問
[00:03:58.000 --> 00:04:01.000]  黃牧師你既然這樣講到
[00:04:01.000 --> 00:04:04.000]  那是不是指導我們今天作為基督徒
[00:04:04.000 --> 00:04:07.000]  在這個世界要任人遭執呢
[00:04:07.000 --> 00:04:12.000]  打不還手 罵不還口呢
[00:04:12.000 --> 00:04:17.000]  甚至有些人指出
[00:04:17.000 --> 00:04:19.000]  這個會不會跟耶穌基督
[00:04:19.000 --> 00:04:22.000]  無理地被釘在十字架上面
[00:04:23.000 --> 00:04:28.000]  這個場景只不過是一個表演的層次呢
[00:04:28.000 --> 00:04:32.000]  今天我希望藉著這段聖經
[00:04:32.000 --> 00:04:38.000]  總括一個清楚的訊息給大家知道
[00:04:38.000 --> 00:04:46.000]  耶穌其實在整個救恩的工作上面
[00:04:47.000 --> 00:04:53.000]  其實目的不是為了祂自己得到什麼人的擁戴
