
[00:00:00.000 --> 00:00:07.000]  我一齊祷告 天父我們感謝祢給我們寶貴的話語和許多的應許
[00:00:07.000 --> 00:00:12.000]  讓我們將這些話放在心裏去幫助我們
[00:00:12.000 --> 00:00:17.000]  以致讓我們在我們的生活和侍奉裏得到力量
[00:00:17.000 --> 00:00:21.000]  我們這樣祈禱奉主耶穌基督的名 阿們
[00:00:21.000 --> 00:00:26.000]  這本書叫《教會的牧養關懷》
[00:00:26.000 --> 00:00:31.000]  裏面作者提到 其實教會好像外面的社會一樣
[00:00:31.000 --> 00:00:34.000]  我們會經歷很多的哀傷
[00:00:34.000 --> 00:00:39.000]  譬如有些父母生一些小朋友出來
[00:00:39.000 --> 00:00:45.000]  但是如果有一些身體上或者精神上的缺憾的時候
[00:00:45.000 --> 00:00:49.000]  可能突然間父母親或者一些親人
[00:00:49.000 --> 00:00:56.000]  可能突然間之前所有的一些夢想可能有些幻滅
[00:00:56.000 --> 00:01:01.000]  內心可能也會有些特別做父母的可能有些內疚
[00:01:01.000 --> 00:01:05.000]  有些懷疑 甚至有些憤怒
[00:01:05.000 --> 00:01:10.000]  或者很多對將來前面很多的疑惑究竟怎樣算呢
[00:01:10.000 --> 00:01:18.000]  又或者教會裏面都會經歷到一些在盟約上的一些被失信
[00:01:18.000 --> 00:01:23.000]  譬如婚姻的婚盟裏面有一方可能辜負了另一方
[00:01:23.000 --> 00:01:25.000]  帶來很多的傷痛
[00:01:25.000 --> 00:01:32.000]  又或者做生意被你的夥伴說為了錢老友都沒得做
[00:01:32.000 --> 00:01:35.000]  這些很多的情況會發生
[00:01:35.000 --> 00:01:39.000]  教會作為一個牧者或者突然間會互相的關懷
[00:01:39.000 --> 00:01:42.000]  其實我們自己都面對著很多的哀傷
[00:01:42.000 --> 00:01:48.000]  譬如說像牧者那樣可能有時被人的一些誤會
[00:01:48.000 --> 00:01:53.000]  但是有口難言 很不公平的一些冤屈落在身上
[00:01:53.000 --> 00:01:57.000]  我聽過有一個牧者說因為走過去
[00:01:57.000 --> 00:02:02.000]  不是因為要照顧某些事情的時候
[00:02:02.000 --> 00:02:04.000]  沒有跟會友打招呼 誰知就生他的氣
[00:02:04.000 --> 00:02:07.000]  這些很多誤會都會發生
[00:02:07.000 --> 00:02:16.000]  有一位叫Richard Dahem的一個美國人就寫了
[00:02:16.000 --> 00:02:19.000]  其實做牧師都是挺難的
[00:02:19.000 --> 00:02:22.000]  他舉個例子 如果你太過年輕的時候
[00:02:22.000 --> 00:02:27.000]  那些人就說你不能夠去服侍那些長者
[00:02:27.000 --> 00:02:32.000]  如果你太過年長 有人說你都不適合做年輕人的工作
[00:02:32.000 --> 00:02:38.000]  例如我現在在說 如果例子太多
[00:02:38.000 --> 00:02:40.000]  對經文解釋都不清楚
[00:02:40.000 --> 00:02:45.000]  如果不夠例子 你這樣說來都說不清
[00:02:45.000 --> 00:02:48.000]  你都不太清楚 你都沒有一些例子
[00:02:48.000 --> 00:02:50.000]  有時都挺難的
[00:02:50.000 --> 00:02:56.000]  有時牧者就會說到 聖經教我們怎樣做怎樣做
[00:02:56.000 --> 00:02:59.000]  有些錯有些錯 如果有些牧者就說
[00:02:59.000 --> 00:03:03.000]  你又這樣錯這樣錯 這個人就火氣很大
[00:03:03.000 --> 00:03:07.000]  如果甚麼都不說 又不講罪
[00:03:07.000 --> 00:03:10.000]  這個牧者就妥協了 甚麼都不敢講 甚麼都站在中間
[00:03:10.000 --> 00:03:16.000]  這個真的沒有用 很難 是不是
[00:03:16.000 --> 00:03:18.000]  所以做牧者困難
[00:03:18.000 --> 00:03:21.000]  其實有些頂姐妹服侍都不容易的
