
[00:00:00.000 --> 00:00:04.540]  上星期我們講過信心的禱告
[00:00:04.540 --> 00:00:07.840]  心水清的弟兄姊妹或許會留意到
[00:00:07.840 --> 00:00:11.840]  我講錯了一點點
[00:00:11.840 --> 00:00:17.200]  在最後有關Helen Rose Feer的一個見證
[00:00:17.200 --> 00:00:20.840]  他們求神賜給他們一個熱水壺
[00:00:20.840 --> 00:00:22.440]  神聽禱告
[00:00:22.440 --> 00:00:24.440]  他收到一個包裹
[00:00:24.440 --> 00:00:28.640]  有人遠隔重陽地寄了一個熱水壺
[00:00:28.640 --> 00:00:33.440]  去到赤道的一個國家給他們
[00:00:33.440 --> 00:00:35.700]  我在那裏我講錯了
[00:00:35.700 --> 00:00:39.740]  我說有人寄了一個熱水爐
[00:00:39.740 --> 00:00:44.240]  去到赤道的那個國家給他們
[00:00:44.240 --> 00:00:46.800]  熱水壺變了熱水爐
[00:00:46.800 --> 00:00:49.700]  我自己聽了也笑了出來
[00:00:49.700 --> 00:00:52.640]  在這裏先跟大家講聲不好意思
[00:00:52.640 --> 00:00:56.240]  但是想真一點 想深一層
[00:00:56.240 --> 00:00:58.800]  神很多時賜給我們的
[00:00:58.800 --> 00:01:02.600]  總是多過我們所想所求
[00:01:02.600 --> 00:01:07.440]  所以仍然都是很貼切 仍然都是很貼題
[00:01:07.440 --> 00:01:12.040]  特別是今天的這個題目
[00:01:12.040 --> 00:01:13.840]  今天的這個講題
[00:01:13.840 --> 00:01:16.440]  感恩的禱告
[00:01:16.440 --> 00:01:21.240]  一聽到我們會覺得我們已經懂了
[00:01:21.240 --> 00:01:23.840]  但是問問自己
[00:01:23.840 --> 00:01:29.640]  我們是不是真的懂得感恩呢
[00:01:29.640 --> 00:01:33.140]  我們時時說感恩
[00:01:33.140 --> 00:01:38.340]  我們有真正的感恩嗎
[00:01:38.340 --> 00:01:41.040]  有一個在大學裏面寄宿的女學生
[00:01:41.040 --> 00:01:45.840]  她寫信回家 她這樣寫
[00:01:45.840 --> 00:01:47.840]  她說親愛的媽媽
[00:01:47.840 --> 00:01:49.340]  很久沒有寫信給你了
[00:01:49.340 --> 00:01:51.140]  十分之抱歉
[00:01:51.140 --> 00:01:53.440]  因為我跌斷了手
[00:01:53.440 --> 00:01:56.640]  很長的日子 還沒有康復
[00:01:56.640 --> 00:02:00.340]  接著我又跌斷了腳
[00:02:00.340 --> 00:02:02.840]  因為我在宿舍的二樓跳了下去
[00:02:02.840 --> 00:02:06.040]  我跳下去是因為宿舍的火災
[00:02:06.040 --> 00:02:09.440]  後來有一個年輕又英俊的同學
[00:02:09.440 --> 00:02:10.640]  走來問我有沒有事
[00:02:10.640 --> 00:02:13.140]  他很關心我又幫我報警
[00:02:13.140 --> 00:02:17.040]  消防員很快就趕來把火救熄
[00:02:17.040 --> 00:02:19.440]  我進了醫院住了幾天
[00:02:19.440 --> 00:02:22.440]  這個同學天天來探望我
[00:02:22.440 --> 00:02:25.440]  他開始追求我
[00:02:25.440 --> 00:02:29.240]  由於宿舍需要收取一段比較長的日子
[00:02:29.240 --> 00:02:31.640]  我搬到他家住
[00:02:31.640 --> 00:02:33.240]  他對我很好
[00:02:33.240 --> 00:02:35.640]  媽 你不需要擔心
[00:02:35.640 --> 00:02:39.640]  我只是懷了兩個月的身孕
[00:02:39.640 --> 00:02:43.640]  他很快就和我結婚了
[00:02:43.640 --> 00:02:48.240]  我現在只是等他辦妥他離婚的手續
[00:02:48.240 --> 00:02:51.840]  我希望家裏一切都安好
[00:02:51.840 --> 00:02:55.440]  我一有時間再寫信給你
[00:02:55.440 --> 00:02:58.640]  愛你的女兒上
[00:02:58.640 --> 00:03:02.240]  這個越讀這封信越心寒的媽媽
[00:03:02.240 --> 00:03:04.440]  心裏面正在忐忑
[00:03:04.440 --> 00:03:07.140]  忐忑到不知道怎樣算好的時候
[00:03:07.140 --> 00:03:10.140]  發現這封信的右下角
[00:03:10.140 --> 00:03:12.740]  有幾行很小的字
[00:03:12.740 --> 00:03:15.040]  是這樣寫的
[00:03:15.040 --> 00:03:17.540]  媽 你不用怕
[00:03:17.540 --> 00:03:21.640]  上面我說的都不是事實
[00:03:21.640 --> 00:03:26.440]  我其實只是社會科取了一個C
[00:03:26.440 --> 00:03:30.440]  化學科就不合格而已
[00:03:30.440 --> 00:03:31.840]  我寫這麼多給你
[00:03:31.840 --> 00:03:36.040]  是要預備你看事物的一些角度
[00:03:36.040 --> 00:03:38.440]  一兩科不合格
[00:03:38.440 --> 00:03:39.640]  小事而已
[00:03:39.640 --> 00:03:43.440]  沒什麼大不了
[00:03:43.440 --> 00:03:46.840]  看事物的角度和態度
[00:03:46.840 --> 00:03:49.240]  的確可以直接影響到
[00:03:49.240 --> 00:03:53.240]  我們對生命的欣賞
[00:03:53.240 --> 00:03:55.240]  我相信大家都應該收過
[00:03:55.240 --> 00:03:58.240]  一個類似這樣的電郵
[00:03:58.240 --> 00:04:05.140]  假如這個世界是一條100人的村莊
[00:04:05.140 --> 00:04:07.240]  50個人是男性
[00:04:07.240 --> 00:04:09.340]  50個是女性
[00:04:09.340 --> 00:04:10.740]  然後一些不同的數字
[00:04:10.740 --> 00:04:12.840]  有多少個是小朋友
[00:04:12.840 --> 00:04:15.640]  多少個是超過65歲的人士
[00:04:15.640 --> 00:04:17.040]  多少個是成年人
[00:04:17.040 --> 00:04:19.440]  多少個是亞洲人 多少個是非洲人
[00:04:19.440 --> 00:04:22.340]  多少個是美洲人等等
[00:04:22.340 --> 00:04:26.240]  電郵除了一些這樣的人口分佈之外
[00:04:26.240 --> 00:04:28.040]  還有一些是數據的
[00:04:28.040 --> 00:04:29.840]  這些數據根據每一年
[00:04:29.840 --> 00:04:31.940]  我們如果真的每一年都收到的話
[00:04:31.940 --> 00:04:35.140]  它是會有更新的
[00:04:35.140 --> 00:04:37.540]  我說的這個就是這樣的
[00:04:37.540 --> 00:04:39.240]  都已經好幾年前了
[00:04:39.240 --> 00:04:41.240]  在這100個人以內
[00:04:41.240 --> 00:04:45.640]  有83個人可以寫和可以讀
[00:04:45.640 --> 00:04:48.240]  17個人不可以
[00:04:48.240 --> 00:04:52.740]  7個人有大學或者專上學院的學位
[00:04:52.740 --> 00:04:54.640]  22個人擁有電腦
[00:04:54.640 --> 00:04:56.740]  77個有遮頭
[00:04:56.740 --> 00:04:58.340]  23個沒有
[00:04:58.340 --> 00:04:59.440]  1個會餓死
[00:04:59.440 --> 00:05:02.440]  15個糧食不足 營養不良
[00:05:02.440 --> 00:05:05.640]  21個超重
[00:05:05.640 --> 00:05:10.840]  87個可以享有安全的食水來源供應
[00:05:10.840 --> 00:05:14.940]  13個不可以
[00:05:14.940 --> 00:05:16.240]  這些數據正如我說的
[00:05:16.240 --> 00:05:17.940]  每一年都會更新的
[00:05:17.940 --> 00:05:19.740]  而我說的這個
[00:05:19.740 --> 00:05:24.940]  是按照全世界70億人口來計算的
[00:05:24.940 --> 00:05:27.740]  這個電郵的原意
[00:05:27.740 --> 00:05:32.740]  是讓我們更加去關心這個世界
[00:05:32.740 --> 00:05:34.440]  這個地球
[00:05:34.440 --> 00:05:38.940]  也都可以藉著這個電郵
[00:05:38.940 --> 00:05:43.140]  讓我們知道我們自己是多麼的幸福
[00:05:43.140 --> 00:05:48.640]  但是 如果我們看事物的角度和態度
[00:05:48.640 --> 00:05:50.140]  我們的幸福指數
[00:05:50.140 --> 00:05:55.840]  只是在一些不及我們幸福的人身上
[00:05:55.840 --> 00:05:57.640]  我們很多時候都說
[00:05:57.640 --> 00:06:01.140]  我們比起很多人已經好很多了
[00:06:01.140 --> 00:06:02.540]  我擔保
[00:06:02.540 --> 00:06:05.940]  即使我們現在覺得是多麼的幸福
[00:06:05.940 --> 00:06:07.640]  多麼的滿足
[00:06:07.640 --> 00:06:12.640]  都只會是極短暫的一件事
[00:06:12.640 --> 00:06:15.940]  因為當我們看到別人不足的時候
[00:06:15.940 --> 00:06:17.940]  我們會感恩
[00:06:17.940 --> 00:06:20.840]  我們看到別人給我們豐足的時候
[00:06:20.840 --> 00:06:21.840]  我們怎麼辦呢
[00:06:21.840 --> 00:06:23.640]  我們就會不開心
[00:06:23.640 --> 00:06:27.140]  忘記了我們所擁有的已經是多麼豐富
[00:06:27.140 --> 00:06:29.140]  我敢相信
[00:06:29.140 --> 00:06:33.740]  假如這個世界是一條100人的村莊
[00:06:33.740 --> 00:06:36.840]  我們會找一些數據
[00:06:36.840 --> 00:06:41.340]  有多少人擁有身家超過1000萬
[00:06:41.340 --> 00:06:44.140]  多少人超過500萬
[00:06:44.140 --> 00:06:46.940]  多少人有洋樓養三狗
[00:06:46.940 --> 00:06:50.240]  又有多少人連身超過10萬
[00:06:50.240 --> 00:06:53.040]  多少人身體沒有病沒有痛
[00:06:53.040 --> 00:06:57.440]  這份名單 沒完沒了
[00:06:57.440 --> 00:07:00.640]  本來已經擁有很多的我們
[00:07:00.640 --> 00:07:03.540]  讀完這張清單之後
[00:07:03.540 --> 00:07:05.840]  我們還會感恩嗎
[00:07:05.840 --> 00:07:09.840]  還是我們要學剛才的那個大學女生一樣
[00:07:09.840 --> 00:07:13.140]  要將事情扭曲變壞
[00:07:13.140 --> 00:07:15.740]  將要求調較低一點
[00:07:15.740 --> 00:07:17.940]  然後才覺得滿足
[00:07:17.940 --> 00:07:23.040]  或者沒什麼大不了
[00:07:23.040 --> 00:07:26.840]  以這所書五章十九到二十節
[00:07:26.840 --> 00:07:30.540]  當用詩章 頌詞 靈歌彼此對說
[00:07:30.540 --> 00:07:33.040]  口唱深和的讚美主
[00:07:33.040 --> 00:07:36.340]  凡事要奉我們主耶穌基督的名
[00:07:36.340 --> 00:07:40.040]  常常感謝父神
[00:07:40.040 --> 00:07:43.140]  正經說 凡事
[00:07:43.140 --> 00:07:45.740]  凡事要奉我們主耶穌基督的名
[00:07:45.740 --> 00:07:48.740]  常常感謝父神
[00:07:48.740 --> 00:07:51.740]  若果我們每一次都要將
[00:07:51.740 --> 00:07:54.240]  看事物的角度和態度
[00:07:54.240 --> 00:07:59.240]  甚至要求都要時時調高調低的話
[00:07:59.240 --> 00:08:01.940]  我擔保 我們做不到
[00:08:01.940 --> 00:08:08.240]  凡事 常常感謝父神
[00:08:08.240 --> 00:08:12.040]  況且 我們不是因為
[00:08:12.040 --> 00:08:13.640]  我們是基督徒
[00:08:13.640 --> 00:08:18.740]  因為聖經要我們凡事感謝父神
[00:08:18.740 --> 00:08:21.240]  所以我們沒有辦法
[00:08:21.240 --> 00:08:25.440]  只好調高 調低我們的水平
[00:08:25.440 --> 00:08:31.140]  好讓我們做到聖經的標準
[00:08:31.140 --> 00:08:38.140]  其實 真正妨礙我們凡事感謝父神
[00:08:38.140 --> 00:08:42.140]  原因大概有四個
[00:08:42.140 --> 00:08:45.640]  第一個 是最不容易察覺的
[00:08:45.640 --> 00:08:49.440]  卻又時時讓我們不懂得感恩的
[00:08:49.440 --> 00:08:52.940]  是我們的驕傲
[00:08:52.940 --> 00:08:56.240]  我們時時都深深地感覺
[00:08:56.240 --> 00:09:00.140]  我們是用盡我們的力去爭取
[00:09:00.140 --> 00:09:04.140]  去爭取到我們現在所擁有的一切
[00:09:04.140 --> 00:09:06.740]  我不努力讀書 我怎麼進大學
[00:09:06.740 --> 00:09:09.340]  我不努力考取獎學金
[00:09:09.340 --> 00:09:11.540]  去參加課外活動
[00:09:11.540 --> 00:09:14.940]  怎麼可以這麼快就有公司增商邀請
[00:09:14.940 --> 00:09:16.740]  找到工作
[00:09:16.740 --> 00:09:19.140]  我不努力表現討好上司
[00:09:19.140 --> 00:09:21.340]  怎麼可以在職場
[00:09:21.340 --> 00:09:25.040]  在商場上面扶搖職上
[00:09:25.040 --> 00:09:27.040]  我們要搞清楚一件事
[00:09:27.040 --> 00:09:28.940]  我從來沒有排除過
[00:09:28.940 --> 00:09:34.040]  或者反對過努力的重要性
[00:09:34.040 --> 00:09:37.040]  有一幅漫畫是表達西方的
[00:09:37.040 --> 00:09:41.240]  一個笑話叫做Turtle Post
[00:09:41.240 --> 00:09:44.340]  一隻在欄杆上面的烏龜
