
[00:00:00.000 --> 00:00:04.000]  在開始之前我們做一個祈禱
[00:00:04.000 --> 00:00:28.000]  有統計香港現在有多少個基督徒
[00:00:28.000 --> 00:00:32.000]  其實比例上高在十個人之中
[00:00:32.000 --> 00:00:36.000]  仍然維持三四個左右
[00:00:36.000 --> 00:00:40.000]  即是一半以上的人是不信耶穌的
[00:00:40.000 --> 00:00:45.000]  其實我們都明白我們有很多機會和不信耶穌的人一起相處
[00:00:45.000 --> 00:00:52.000]  因為我們讀書的地方就算那間學校是教背景的
[00:00:52.000 --> 00:00:55.000]  其實你身邊的同學未必是信徒
[00:00:55.000 --> 00:00:58.000]  你家裏可能只有你一個信耶穌
[00:00:58.000 --> 00:01:02.000]  很多人家裏可能你是第一代信耶穌的
[00:01:02.000 --> 00:01:04.000]  或者你工作的地方
[00:01:04.000 --> 00:01:07.000]  如果你不是在基督教機構工作的話
[00:01:07.000 --> 00:01:10.000]  大部分都是未信耶穌的
[00:01:10.000 --> 00:01:15.000]  即是說我們其實有很多機會和未信耶穌的人相處
[00:01:15.000 --> 00:01:19.000]  我們其實都是置身在一個不信的環境裏
[00:01:19.000 --> 00:01:26.000]  究竟我們怎樣可以在這個不信的環境裏繼續忠於我們的上帝呢?
[00:01:26.000 --> 00:01:29.000]  今天我們會看《但義理書》
[00:01:29.000 --> 00:01:32.000]  《但義理書》是圍繞著兩個主題
[00:01:32.000 --> 00:01:36.000]  第一個主題是人對神的忠心
[00:01:36.000 --> 00:01:38.000]  但義理和他三個朋友
[00:01:38.000 --> 00:01:42.000]  其實我們從小到大上主日學
[00:01:42.000 --> 00:01:45.000]  都會教我們但義理和他三個朋友很厲害
[00:01:45.000 --> 00:01:50.000]  可以在很困難的環境底下去信耶穌
[00:01:50.000 --> 00:01:53.000]  繼續忠於上帝
[00:01:53.000 --> 00:01:58.000]  所以第一個主題是人對神的忠誠
[00:01:58.000 --> 00:02:02.000]  面對很大的信仰衝擊和張力的時候
[00:02:02.000 --> 00:02:06.000]  人可以怎樣去繼續忠於上帝呢?
[00:02:06.000 --> 00:02:08.000]  對上帝忠心呢?
[00:02:08.000 --> 00:02:11.000]  第二個主題是神的掌權
[00:02:11.000 --> 00:02:15.000]  其實地上有不同的王國興起
[00:02:15.000 --> 00:02:18.000]  然後一代一代的歷史都經過去
[00:02:18.000 --> 00:02:23.000]  究竟神是不是那位在這麼多歷史的掌權中間
[00:02:23.000 --> 00:02:26.000]  繞著手不理任何人的神呢?
[00:02:26.000 --> 00:02:32.000]  其實神是會有很微妙的介入和工作在裏面
