
[00:00:00.000 --> 00:00:05.400]  今日的講道是延續《雅各書》的系列
[00:00:05.400 --> 00:00:08.000]  《雅各書》二章一到十三節
[00:00:08.000 --> 00:00:12.700]  我的講題是以公平和憐憫去待人
[00:00:12.700 --> 00:00:16.800]  很多年前有一位老弟兄分享
[00:00:16.800 --> 00:00:21.200]  他在五、六十年代初來到香港
[00:00:21.200 --> 00:00:28.700]  他發覺教會當時有派奶粉、派麵條、派米
[00:00:28.700 --> 00:00:32.900]  我想很多人都拿過 我都拿過的
[00:00:32.900 --> 00:00:35.400]  他覺得很有興趣
[00:00:35.400 --> 00:00:37.100]  為什麼教會做這麼多好事
[00:00:37.100 --> 00:00:39.500]  就去教會參觀一下
[00:00:39.500 --> 00:00:45.600]  他當時是穿一件白色的六零年代文化的內衣
[00:00:45.600 --> 00:00:48.700]  但當然是已經黃黃殘舊的了
[00:00:48.700 --> 00:00:51.800]  穿一個唐裝 很殘舊
[00:00:51.800 --> 00:00:54.900]  當時還是綁著褲頭繩那種
[00:00:54.900 --> 00:00:56.900]  然後反兩反的
[00:00:56.900 --> 00:00:59.700]  可能太年輕的弟兄姊妹未必知道
[00:00:59.700 --> 00:01:03.700]  但好像我們差不多年紀就看過
[00:01:03.700 --> 00:01:06.300]  還要戴一頂舊的毯帽
[00:01:06.300 --> 00:01:07.900]  很像這幅
[00:01:07.900 --> 00:01:10.400]  但這個已經很漂亮了
[00:01:10.400 --> 00:01:12.600]  我記得以前看粵語長片
[00:01:12.600 --> 00:01:13.900]  一見到這些形象
[00:01:13.900 --> 00:01:16.700]  我就會覺得是漢奸來的
[00:01:16.700 --> 00:01:19.400]  所以他一進到教會
[00:01:19.400 --> 00:01:21.100]  坐在那裏
[00:01:21.100 --> 00:01:22.800]  他一坐下
[00:01:22.800 --> 00:01:26.000]  他隔壁那個就馬上退開兩個位
[00:01:26.000 --> 00:01:28.700]  我覺得他好像很怪
[00:01:28.700 --> 00:01:30.600]  完了崇拜之後
[00:01:30.600 --> 00:01:33.000]  沒有人理他
[00:01:33.000 --> 00:01:36.700]  他又很沒意思地走了
[00:01:36.700 --> 00:01:40.200]  他兒時者其實去了好幾間教會
[00:01:40.200 --> 00:01:42.400]  都有相同的情況
[00:01:42.400 --> 00:01:46.600]  直至到他去了他現在正在返回的那間教會
[00:01:46.600 --> 00:01:48.400]  我不開名了
[00:01:48.400 --> 00:01:50.000]  他去到教會崇拜
[00:01:50.000 --> 00:01:51.900]  當然有弟兄姊妹在他隔壁
[00:01:51.900 --> 00:01:53.400]  很歡迎他
[00:01:53.400 --> 00:01:54.800]  崇拜之後
[00:01:54.800 --> 00:01:56.200]  又跟他聊天
[00:01:56.200 --> 00:01:58.700]  很真誠地接待他
[00:01:58.700 --> 00:02:01.200]  他就留下了
[00:02:01.200 --> 00:02:03.000]  後來信了耶穌
[00:02:03.000 --> 00:02:05.200]  最後他成為了那間教會
[00:02:05.200 --> 00:02:07.700]  執事會的主席
[00:02:07.700 --> 00:02:11.100]  這個不是一個什麼新鮮的故事
[00:02:11.100 --> 00:02:13.200]  我想你們會聽過很多
[00:02:13.200 --> 00:02:16.800]  剛才雅各書去讀那段經文
[00:02:16.800 --> 00:02:19.800]  就很類似發生這樣的情況
[00:02:19.800 --> 00:02:21.100]  體重富人
[00:02:21.100 --> 00:02:23.000]  興旱窮人
[00:02:23.000 --> 00:02:28.600]  以至雅各就要寫信給這些會堂
[00:02:28.600 --> 00:02:30.400]  提醒他們
[00:02:30.400 --> 00:02:32.800]  我想你們了解一下
[00:02:32.800 --> 00:02:35.300]  雅各書的背景是怎樣的
[00:02:35.300 --> 00:02:38.600]  雅各是主耶穌的弟弟
[00:02:38.600 --> 00:02:40.200]  他有一個外號
[00:02:40.200 --> 00:02:43.000]  叫做公正的雅各
