
[00:00:00.000 --> 00:00:03.200]  今天的講題就叫做「太沙塵」
[00:00:03.200 --> 00:00:08.000]  不知道你們自己是否屬於很沙塵類型的那個類別呢?
[00:00:08.000 --> 00:00:10.400]  有誰是很沙塵的?舉一舉手
[00:00:10.400 --> 00:00:12.800]  應該都不敢舉手了,是吧?
[00:00:12.800 --> 00:00:16.100]  都不會認自己是很沙塵,是吧?
[00:00:16.100 --> 00:00:19.600]  其實今天的經文是比較特別的
[00:00:19.600 --> 00:00:21.600]  因為今天的經文是來自一段
[00:00:21.600 --> 00:00:23.400]  我們照它回到教會內的
[00:00:23.400 --> 00:00:24.700]  都不會太過陌生的
[00:00:24.700 --> 00:00:29.200]  就是耶穌為門徒洗腳的這一段經文
[00:00:29.200 --> 00:00:32.400]  不過這一段經文其實是非常難處理的
[00:00:32.400 --> 00:00:34.000]  是挺難解釋的
[00:00:34.000 --> 00:00:35.200]  一會兒你讀的時候
[00:00:35.200 --> 00:00:38.800]  你就會發現裡面有不少的問題出現
[00:00:38.800 --> 00:00:41.600]  十三章其實是一到二十節
[00:00:41.600 --> 00:00:42.800]  今天我們要讀的經文
[00:00:42.800 --> 00:00:44.800]  就是這一段比較長的經文
[00:00:44.800 --> 00:00:45.900]  但是我們沒有什麼時間
[00:00:45.900 --> 00:00:47.900]  我們不會全部讀完的
[00:00:47.900 --> 00:00:50.400]  我想你留意第一到第三節
[00:00:50.400 --> 00:00:53.900]  原文其實出現了兩次「之」「道」這個字
[00:00:53.900 --> 00:00:58.600]  而第一節和第三節都有出現過的
[00:00:58.600 --> 00:01:02.000]  然後第二節中間夾著一個人物
[00:01:02.000 --> 00:01:06.000]  而這個人物就是賣主的猶大
[00:01:06.000 --> 00:01:07.800]  到了這個段落的結束
[00:01:07.800 --> 00:01:09.900]  第十六節到二十節
[00:01:09.900 --> 00:01:12.300]  十三章的十六節到二十節
[00:01:12.300 --> 00:01:15.100]  又重複出現了兩個字眼
[00:01:15.100 --> 00:01:16.100]  是重複的
[00:01:16.100 --> 00:01:19.500]  第一個字眼,第一組的字眼就是「實實在在」
[00:01:19.500 --> 00:01:20.600]  其實就很簡單的
[00:01:20.600 --> 00:01:23.000]  這句希臘文的意思就是「阿們、阿們」
[00:01:23.000 --> 00:01:24.800]  就是「實在、實在」
[00:01:24.800 --> 00:01:26.600]  另外還有一個字重複出現的
[00:01:26.600 --> 00:01:28.500]  也是「之道」這個字
[00:01:28.500 --> 00:01:30.800]  也都出現了兩次
[00:01:30.800 --> 00:01:32.100]  而這麼巧
[00:01:32.100 --> 00:01:34.000]  在這一段的中間
[00:01:34.000 --> 00:01:35.700]  也都講了一個人物
[00:01:35.700 --> 00:01:37.600]  而這個人物就是耶穌所說
[00:01:37.600 --> 00:01:41.000]  「同我抬食飯的用腳踢我的這個人」
[00:01:41.000 --> 00:01:42.200]  那麼這個人是誰呢?
[00:01:42.200 --> 00:01:46.000]  很明顯就是賣主的猶大,是不是?
[00:01:46.000 --> 00:01:48.700]  而在第十三章的第四節
[00:01:48.700 --> 00:01:50.300]  這裡提到耶穌的一個動作
[00:01:50.300 --> 00:01:51.800]  在這段的開頭的時候
[00:01:51.800 --> 00:01:54.500]  提到耶穌的動作就是祂「起來」
[00:01:54.500 --> 00:01:58.900]  接著第五節就連串的行動了
[00:01:58.900 --> 00:02:00.400]  而在這個段落的結束
[00:02:00.400 --> 00:02:02.300]  第十三章的第十二節
[00:02:02.300 --> 00:02:03.800]  耶穌就「坐低」
[00:02:03.800 --> 00:02:05.700]  就調轉了動作,是不是?
[00:02:05.700 --> 00:02:08.700]  而且不單止這個動作調轉
[00:02:08.700 --> 00:02:10.100]  甚至乎在第十五節
[00:02:10.100 --> 00:02:11.400]  一路去到第十五節
[00:02:11.400 --> 00:02:13.500]  耶穌這次就不是用行動
[00:02:13.500 --> 00:02:15.900]  而是用說話去講話
[00:02:15.900 --> 00:02:19.100]  所以你看到是很前後呼應的架構
[00:02:19.100 --> 00:02:21.400]  而中間夾著的這一段
[00:02:21.400 --> 00:02:26.200]  就是耶穌和西門彼得的對話
[00:02:26.200 --> 00:02:28.500]  西門和耶穌的對話裡面
