
[00:00:00.000 --> 00:00:02.960]  弟兄姐妹早上,我們一起低頭祈禱
[00:00:02.960 --> 00:00:08.920]  天會多謝你,給我們今天的祖上來到當中,向你見拜
[00:00:08.920 --> 00:00:12.680]  天會多謝你,你的話語臨到我們當中
[00:00:12.680 --> 00:00:15.800]  讓你透過你的話語,再次更新我們的生命
[00:00:15.800 --> 00:00:20.280]  如你接著孩子所說的,弟兄姐妹所聽的
[00:00:20.280 --> 00:00:23.920]  我們同舊一齡,幫助我們有猶豫的心去聆聽
[00:00:23.920 --> 00:00:25.600]  以及更新我們的生命
[00:00:25.600 --> 00:00:27.720]  如神祷告,奉爺蘇吻祈禱
[00:00:29.840 --> 00:00:34.800]  剛才主席說,要求主席說,今次讀五節
[00:00:34.800 --> 00:00:39.840]  今次說尼希米第三章
[00:00:39.840 --> 00:00:41.960]  上次政務司一二三章
[00:00:41.960 --> 00:00:43.400]  一二章,今次是第三章
[00:00:43.400 --> 00:00:48.600]  當你打開尼希米記,拿了聖經就好了
[00:00:48.600 --> 00:00:52.120]  或者你拿了長廣體看的時候,你讀下去的時候
[00:00:52.120 --> 00:00:56.320]  如果你拿來去靈修的話
[00:00:56.320 --> 00:00:59.360]  這卷書卷其實有點枯乾
[00:00:59.760 --> 00:01:02.840]  一大堆人在這裡做來做去
[00:01:02.840 --> 00:01:04.000]  在說什麼呢?
[00:01:04.000 --> 00:01:08.160]  有時候無論是你在聖經看家譜
[00:01:08.160 --> 00:01:09.760]  或者你看那些
[00:01:09.760 --> 00:01:12.880]  如果是在七一及記那些,或者你還沒記的那些
[00:01:12.880 --> 00:01:16.160]  你開始說聖殿或者會幕那些
[00:01:16.160 --> 00:01:18.720]  那些立場總是有些乏味
[00:01:18.720 --> 00:01:21.800]  同樣有時候當我初信耶穌的時候
[00:01:21.800 --> 00:01:24.160]  看尼希米記第三章,都有些乏味
[00:01:24.160 --> 00:01:25.840]  究竟說來說去都要說些什麼
[00:01:25.840 --> 00:01:28.680]  說完之後,你讀完聖經,或者查完聖經
[00:01:28.960 --> 00:01:30.680]  你都不記得了裡面的內容
[00:01:30.680 --> 00:01:34.360]  但是如果我們仔細看這段經文的話
[00:01:34.360 --> 00:01:37.440]  其實裡面雖然有很多東西重複
[00:01:37.440 --> 00:01:39.960]  就是說誰做些什麼,誰做些什麼
[00:01:39.960 --> 00:01:41.920]  但是裡面有很多的精彩
[00:01:41.920 --> 00:01:43.560]  在內容當中
[00:01:43.560 --> 00:01:46.440]  今天我的題目就是說
[00:01:46.440 --> 00:01:51.000]  建造的福音,你在神的計劃嗎?
