
[00:00:00.000 --> 00:00:02.960]  各位廣福堂的弟兄姊妹平安
[00:00:02.960 --> 00:00:05.320]  多謝你們為我祈禱
[00:00:05.320 --> 00:00:07.640]  以及為我太太來禱告
[00:00:07.640 --> 00:00:13.080]  我其實選擇這個講道主題的時間
[00:00:13.080 --> 00:00:17.680]  其實剛剛知道我太太有乳癌
[00:00:17.680 --> 00:00:19.440]  Breast Cancer
[00:00:19.440 --> 00:00:26.400]  而且想不到一直照的時間已經擴散了
[00:00:26.400 --> 00:00:29.960]  所以我心裏想
[00:00:29.960 --> 00:00:33.400]  我知道接下來的路不容易走
[00:00:33.400 --> 00:00:36.240]  但我們同時亦相信
[00:00:36.240 --> 00:00:40.840]  在這個時間最重要是神的同在和平安
[00:00:40.840 --> 00:00:42.840]  結果很快就去做手術
[00:00:42.840 --> 00:00:46.360]  醫生知道她免疫系統不好和肺部不好
[00:00:46.360 --> 00:00:49.040]  所以警告會危險
[00:00:49.040 --> 00:00:52.400]  所以做完手術立即進入了深切治療
[00:00:52.400 --> 00:00:54.040]  但仍然平安
[00:00:54.040 --> 00:00:57.640]  接著就開始化療
[00:00:57.640 --> 00:01:01.480]  大概在兩個多星期之前
[00:01:01.480 --> 00:01:08.320]  想不到一針就將所有的白血球都掃掉
[00:01:08.320 --> 00:01:11.000]  我們平時有五千
[00:01:11.000 --> 00:01:12.520]  剩下五百
[00:01:12.520 --> 00:01:14.440]  五百當中的Neutrophils
[00:01:14.440 --> 00:01:18.840]  打細胞 打病菌的接近零
[00:01:18.840 --> 00:01:21.000]  於是她自己病期
[00:01:21.000 --> 00:01:22.520]  身體裏面的細菌
[00:01:22.520 --> 00:01:26.240]  因為她長期有肺部發炎
[00:01:26.240 --> 00:01:28.280]  就入了血
[00:01:28.280 --> 00:01:32.120]  所以在家中患了Septic Shock
[00:01:32.120 --> 00:01:34.080]  休克入醫院
[00:01:34.080 --> 00:01:36.400]  發高燒
[00:01:36.400 --> 00:01:40.720]  控制了幾天以為平靜
[00:01:40.720 --> 00:01:44.640]  誰知另一隻菌就入了肺部
[00:01:44.640 --> 00:01:47.320]  所以早幾天就再照肺部
[00:01:47.320 --> 00:01:50.040]  兩邊和上面都發燒
[00:01:50.040 --> 00:01:52.080]  又再發燒
[00:01:52.080 --> 00:01:56.760]  於是要再加一些藥
[00:01:56.760 --> 00:02:00.520]  暫停化療
[00:02:00.520 --> 00:02:04.960]  昨天燒退了一些
[00:02:04.960 --> 00:02:07.400]  今天我太太知道我會來
[00:02:07.400 --> 00:02:11.400]  所以她叫我多謝大家一直的祈禱
[00:02:11.400 --> 00:02:13.440]  但出奇的地方
[00:02:13.440 --> 00:02:15.680]  她真的很平安
[00:02:15.680 --> 00:02:19.280]  我真的很驚訝
[00:02:19.280 --> 00:02:21.560]  真是神同在
[00:02:21.560 --> 00:02:26.560]  所以我今天選擇的題目
[00:02:26.560 --> 00:02:29.720]  不單在聖經裏面
[00:02:29.720 --> 00:02:31.320]  在我們生命裏面
[00:02:31.320 --> 00:02:34.760]  每個人都會經歷這些時刻
[00:02:34.760 --> 00:02:38.080]  我今天選擇的經文很短
[00:02:38.080 --> 00:02:44.760]  但其實差不多把整本聖經包在這裏
[00:02:44.760 --> 00:02:47.160]  聖經很奇怪
[00:02:47.160 --> 00:02:52.160]  它很講述時候
[00:02:52.160 --> 00:02:54.400]  聖經裏面說"In his time"
[00:02:54.400 --> 00:02:58.360]  安在他的時候
[00:02:58.360 --> 00:02:59.480]  聖經裏面說
[00:02:59.480 --> 00:03:01.880]  "時候滿足的時間"
[00:03:01.880 --> 00:03:03.800]  這個離開神的世界
[00:03:03.800 --> 00:03:06.840]  是會藉著基督一切受造之物
[00:03:06.840 --> 00:03:08.880]  在基督裏同歸於一
[00:03:08.880 --> 00:03:11.240]  "時候"
[00:03:11.240 --> 00:03:13.760]  所以回收基督禮的時間
[00:03:13.760 --> 00:03:16.240]  Den猜不到
[00:03:16.240 --> 00:03:20.480]  聖經已經亡國幾百年
[00:03:20.480 --> 00:03:23.600]  已經不再聽到先知的聲音
[00:03:23.600 --> 00:03:25.120]  直到施洗約翰說
[00:03:25.120 --> 00:03:28.080]  "天國近了,晴天霹靂"
[00:03:28.080 --> 00:03:32.120]  為什麼說還有先知
[00:03:32.120 --> 00:03:33.280]  就是約翰說
[00:03:33.280 --> 00:03:35.520]  "看下神的羔羊"
[00:03:35.520 --> 00:03:38.680]  我看到聖靈降在他身上
[00:03:38.680 --> 00:03:42.200]  這個就是要來的
[00:03:42.200 --> 00:03:43.320]  但他出來的時間
[00:03:43.320 --> 00:03:44.240]  他都經常說
[00:03:44.240 --> 00:03:45.240]  他媽媽很急
[00:03:45.240 --> 00:03:47.000]  因為他媽媽被人批評
[00:03:47.000 --> 00:03:50.120]  說他未婚是懷孕
[00:03:50.120 --> 00:03:51.320]  大家知道耶穌是
[00:03:51.320 --> 00:03:53.000]  同征雷瑪利亞
