
[00:00:00.000 --> 00:00:05.000]  慶安 來到三月最後一個星期的主日
[00:00:05.000 --> 00:00:09.000]  我們都感恩疫情好像都有點緩和
[00:00:09.000 --> 00:00:11.000]  我們盼望下個星期
[00:00:11.000 --> 00:00:14.000]  不知道是不是好像政府放風說
[00:00:14.000 --> 00:00:17.000]  會放寬那個社交距離措施
[00:00:17.000 --> 00:00:20.000]  我們很期待壽苦節崇拜
[00:00:20.000 --> 00:00:22.000]  或者下個星期的復活節報道會
[00:00:22.000 --> 00:00:24.000]  可以多點見到大家
[00:00:24.000 --> 00:00:28.000]  今天我們繼續去思想約翰一書的訊息
[00:00:28.000 --> 00:00:33.000]  首先請Anita幫我們讀今天的經文
[00:00:33.000 --> 00:00:36.000]  然後我們一起去禱告
[00:00:36.000 --> 00:00:39.000]  請聽神的說話
[00:00:39.000 --> 00:00:42.000]  未有聲音
[00:00:42.000 --> 00:00:44.000]  喂喂 OK
[00:00:44.000 --> 00:00:47.000]  約翰一書二章三至六節
[00:00:47.000 --> 00:00:50.000]  我們若遵守神的命令
[00:00:50.000 --> 00:00:53.000]  就知道我們確實認識他
[00:00:53.000 --> 00:00:55.000]  人若說我認識他
[00:00:55.000 --> 00:00:57.000]  卻不遵守他的命令
[00:00:57.000 --> 00:00:59.000]  就是說方話的
[00:00:59.000 --> 00:01:02.000]  真理就不在他裏面了
[00:01:02.000 --> 00:01:04.000]  凡遵守他的道的
[00:01:04.000 --> 00:01:07.000]  愛神的心確實地在他裏面
[00:01:07.000 --> 00:01:09.000]  達到完全了
[00:01:09.000 --> 00:01:12.000]  由此我們知道我們是在他裏面
[00:01:12.000 --> 00:01:15.000]  凡說自己住在他裏面的
[00:01:15.000 --> 00:01:18.000]  就該照著他所行的去行
[00:01:18.000 --> 00:01:20.000]  好 讓我們一起去禱告
[00:01:20.000 --> 00:01:24.000]  預備我們的心來對聆聽神的說話
[00:01:24.000 --> 00:01:26.000]  天父當我們安靜下來的時候
[00:01:26.000 --> 00:01:30.000]  我們感受到自己裏面很多嘈雜的聲音
[00:01:30.000 --> 00:01:34.000]  我們聽到世界很多負面的消息
[00:01:34.000 --> 00:01:39.000]  我們自己生活裏面也面對不同的重擔
[00:01:39.000 --> 00:01:43.000]  事實上我們真是勞苦擔重擔
[00:01:43.000 --> 00:01:48.000]  主阿大 祢應許我們可以來到祢裏面得到安息
[00:01:48.000 --> 00:01:51.000]  主我們認定祢是我們阿爸父
[00:01:51.000 --> 00:01:53.000]  祢是我們的救贖主
[00:01:53.000 --> 00:01:56.000]  祢是那位跟我們納藥的神
[00:01:56.000 --> 00:02:01.000]  我們在極度黑暗的裏面仍然可以去親近祢
[00:02:01.000 --> 00:02:03.000]  因為祢是光
[00:02:03.000 --> 00:02:07.000]  神啊 祢的光已經照耀了我們的生命
[00:02:07.000 --> 00:02:11.000]  主啊 今天祢差遣我們要去實踐祢的光
[00:02:11.000 --> 00:02:13.000]  要照亮更多的人
[00:02:13.000 --> 00:02:16.000]  主啊 求祢藉著祢自己的說話
[00:02:16.000 --> 00:02:21.000]  來繼續去催迫 去引導 去提醒
[00:02:21.000 --> 00:02:23.000]  指教我們
[00:02:23.000 --> 00:02:26.000]  主啊 求祢使用祢自己的僕人
[00:02:26.000 --> 00:02:29.000]  能夠將祢的信息清楚地解明
[00:02:29.000 --> 00:02:33.000]  求祢讓講的 聽的 都得蒙益處
[00:02:33.000 --> 00:02:36.000]  多謝祢 看我們祈禱奉耶穌的名
[00:02:36.000 --> 00:02:38.000]  阿門
[00:02:38.000 --> 00:02:43.000]  接下來有一個在黑暗中為主發光的見證
[00:02:43.000 --> 00:02:46.000]  不知道大家有沒有看過這本書
[00:02:46.000 --> 00:02:48.000]  我請powerpoint去show一show
[00:02:48.000 --> 00:02:51.000]  密室這本書 彭柯麗
[00:02:51.000 --> 00:02:53.000]  不知道大家有沒有聽過
[00:02:53.000 --> 00:02:58.000]  彭柯麗是在二次大戰的時候的一個姐妹
[00:02:58.000 --> 00:03:03.000]  她生長在荷蘭一個很敬虔的教徒家庭
[00:03:03.000 --> 00:03:07.000]  她的爸爸只不過是一個很普通的市民
[00:03:07.000 --> 00:03:13.000]  他在荷蘭一個地方開了一間修理鐘錶的店舖
[00:03:13.000 --> 00:03:17.000]  一家本來都生活得非常之幸福
[00:03:17.000 --> 00:03:22.000]  但是有一天納粹德軍佔據了荷蘭
[00:03:22.000 --> 00:03:28.000]  他們大舉搜捕全城裏面的猶太人
[00:03:28.000 --> 00:03:35.000]  彭柯麗一家看到那班猶太人落在這些傷害裏面的時候
[00:03:35.000 --> 00:03:39.000]  他們想起聖經裏面有一句話
[00:03:39.000 --> 00:03:43.000]  耶穌曾經說過「好木人為羊舍命」
[00:03:43.000 --> 00:03:48.000]  他們覺得應該盡力拯救這班上帝的選民
[00:03:48.000 --> 00:03:51.000]  於是他們就在自己的古屋裏面
[00:03:51.000 --> 00:03:53.000]  劈開一個密室
[00:03:53.000 --> 00:03:56.000]  收藏這些猶太人
[00:03:56.000 --> 00:03:58.000]  有一天的晚上
[00:03:58.000 --> 00:04:00.000]  德軍聽聞風聲
[00:04:00.000 --> 00:04:04.000]  說這班人收藏了很多猶太人在家裏面
[00:04:04.000 --> 00:04:08.000]  於是他們就來到彭柯麗的家裏
[00:04:08.000 --> 00:04:10.000]  就叫她交人
[00:04:10.000 --> 00:04:11.000]  彭柯麗不肯
[00:04:11.000 --> 00:04:14.000]  於是德軍就將彭柯麗的爸爸
[00:04:14.000 --> 00:04:18.000]  姐姐和她一起收入集中營裏面
[00:04:18.000 --> 00:04:21.000]  受到很多的苦害
[00:04:21.000 --> 00:04:23.000]  但是在這裏
[00:04:23.000 --> 00:04:26.000]  彭柯麗和她的姐姐仍然學習
[00:04:26.000 --> 00:04:28.000]  按照耶穌的教導
[00:04:28.000 --> 00:04:31.000]  要恕傷害你的人
[00:04:31.000 --> 00:04:35.000]  很奇妙地神使用彭柯麗兩姐妹
[00:04:35.000 --> 00:04:37.000]  在集中營裏面
[00:04:37.000 --> 00:04:41.000]  去向在營裏面的婦女分享聖經
[00:04:41.000 --> 00:04:44.000]  教她們祈禱
[00:04:44.000 --> 00:04:47.000]  她們看到原來是上帝差遣她們兩姐妹
[00:04:47.000 --> 00:04:49.000]  去到集中營裏面
[00:04:49.000 --> 00:04:52.000]  和她們分享上帝的光
[00:04:52.000 --> 00:04:56.000]  後來彭柯麗的爸爸和她的姐姐
[00:04:56.000 --> 00:04:59.000]  因為病死在集中營裏
[00:04:59.000 --> 00:05:02.000]  而彭柯麗自己就得釋放
[00:05:02.000 --> 00:05:04.000]  她釋放之後
[00:05:04.000 --> 00:05:06.000]  就有機會去到不同的地方
[00:05:06.000 --> 00:05:08.000]  分享她的見證
[00:05:08.000 --> 00:05:11.000]  有一次彭柯麗去到一間教會
[00:05:11.000 --> 00:05:13.000]  分享完見證之後
[00:05:13.000 --> 00:05:16.000]  有一個軍人走上前
[00:05:16.000 --> 00:05:18.000]  和彭柯麗握手
[00:05:18.000 --> 00:05:22.000]  他說:我就是昔日逮捕你
[00:05:22.000 --> 00:05:24.000]  和在集中營裏面
[00:05:24.000 --> 00:05:28.000]  曾經苦害你的那位德國軍人
[00:05:28.000 --> 00:05:31.000]  他走到彭柯麗的面前
