
[00:00:00.000 --> 00:00:03.800]  今天要講到的題目叫「唯獨信心」
[00:00:03.800 --> 00:00:05.300]  有沒有人聽過這四個字?
[00:00:05.300 --> 00:00:06.820]  除了你看周刊
[00:00:06.820 --> 00:00:09.020]  之前已經聽過的,舉起你的手
[00:00:09.020 --> 00:00:11.160]  原來很少而已
[00:00:11.160 --> 00:00:14.560]  我發覺我們對教會的歷史認識不是很深
[00:00:14.560 --> 00:00:16.980]  其實在五百年前
[00:00:16.980 --> 00:00:18.880]  說的是1517年
[00:00:18.880 --> 00:00:21.160]  馬丁路德發起了改革運動
[00:00:21.160 --> 00:00:23.600]  以至我們現在有所謂的新教
[00:00:23.600 --> 00:00:24.560]  就是基督教
[00:00:24.560 --> 00:00:27.660]  在那個改革運動
[00:00:27.660 --> 00:00:31.940]  有五句話總括了整個運動
[00:00:31.940 --> 00:00:37.520]  總括了我們基督教信仰的一些很重要的訊息
[00:00:37.520 --> 00:00:40.520]  有「唯獨聖經」
[00:00:40.520 --> 00:00:42.820]  我們以聖經為我們最高的標準
[00:00:42.820 --> 00:00:44.300]  「唯獨信心」
[00:00:44.300 --> 00:00:46.800]  就是說我們唯獨藉著信心
[00:00:46.800 --> 00:00:49.240]  by faith and faith alone
[00:00:49.240 --> 00:00:51.680]  我們可以去到上帝的面前
[00:00:51.680 --> 00:00:53.380]  唯獨恩典
[00:00:53.380 --> 00:00:54.860]  唯獨耶穌
[00:00:54.860 --> 00:00:57.880]  以及唯獨神的榮耀
[00:00:57.880 --> 00:01:01.900]  這五句話總括了我們的信仰
[00:01:01.900 --> 00:01:05.760]  而唯獨信心這句話從何而來呢?
[00:01:05.760 --> 00:01:08.660]  或者為什麼神學家會想到出來呢?
[00:01:08.660 --> 00:01:11.280]  原來就是我們今天要讀的經文
[00:01:11.280 --> 00:01:12.980]  《羅馬書》第四章
[00:01:12.980 --> 00:01:15.480]  說第四章之前
[00:01:15.480 --> 00:01:16.500]  不要嫌我笨
[00:01:16.500 --> 00:01:18.540]  我又要說說頭三章說什麼
[00:01:18.540 --> 00:01:19.780]  不過很簡單而已
[00:01:19.780 --> 00:01:21.860]  因為如果我們不知道頭三章
[00:01:21.860 --> 00:01:23.340]  你看第四章
[00:01:23.340 --> 00:01:24.680]  你是不明白的
[00:01:25.420 --> 00:01:27.540]  第一章說福音是神的大能
[00:01:27.540 --> 00:01:29.120]  要救一切相信的
[00:01:29.120 --> 00:01:31.220]  接著保羅就在數
[00:01:31.220 --> 00:01:32.940]  人犯罪犯罪犯罪
[00:01:32.940 --> 00:01:35.260]  人做了很多錯事
[00:01:35.260 --> 00:01:37.820]  人決定要離開上帝
[00:01:37.820 --> 00:01:39.060]  神任由他
[00:01:39.060 --> 00:01:41.580]  神任憑他們行很多惡的事
[00:01:41.580 --> 00:01:42.420]  第一章
[00:01:42.420 --> 00:01:44.980]  第二章說到神公義的審判
[00:01:44.980 --> 00:01:47.220]  有律法的猶太人
[00:01:47.220 --> 00:01:48.740]  按著律法受審判
[00:01:48.740 --> 00:01:49.900]  沒有律法的
[00:01:49.900 --> 00:01:51.380]  就按著你的良心
[00:01:51.380 --> 00:01:53.660]  按著你的良知受審判
[00:01:53.660 --> 00:01:56.420]  第二章尾部說到猶太人
[00:01:56.420 --> 00:02:00.300]  所持有的律法和國禮
[00:02:00.300 --> 00:02:01.300]  都是沒有用的
[00:02:01.300 --> 00:02:02.140]  行不行?
[00:02:02.140 --> 00:02:03.380]  第三章
[00:02:03.380 --> 00:02:05.300]  再進一步
[00:02:05.300 --> 00:02:06.580]  一句話
[00:02:06.580 --> 00:02:07.740]  沒有疑人
[00:02:07.740 --> 00:02:09.460]  連一個都沒有
[00:02:09.460 --> 00:02:15.500]  簡單直接地將全世界所有的人
[00:02:15.500 --> 00:02:17.420]  圈在罪裡面
[00:02:17.420 --> 00:02:19.220]  每個人都是罪人
[00:02:19.220 --> 00:02:21.020]  如果你看完頭三章
[00:02:21.020 --> 00:02:24.780]  連羅馬書也蓋上
[00:02:24.780 --> 00:02:27.260]  你應該是很絕望的
[00:02:27.260 --> 00:02:30.900]  但如果你看完上星期牧師說的那篇《道》
[00:02:30.900 --> 00:02:33.420]  保羅說唯一的出路是什麼?
[00:02:33.420 --> 00:02:34.420]  基督
[00:02:34.420 --> 00:02:37.820]  藉著基督人可以恩信稱義
[00:02:37.820 --> 00:02:39.860]  德與同上帝和好
[00:02:39.860 --> 00:02:41.780]  今天的經文在第四章
[00:02:41.780 --> 00:02:44.380]  我們會講完四章一至二十五節
[00:02:44.380 --> 00:02:46.780]  我們現在沒有時間一次過讀完
[00:02:46.780 --> 00:02:48.300]  但是一路看的時候
[00:02:48.300 --> 00:02:50.980]  每一段經文我們都會講
[00:02:50.980 --> 00:02:54.100]  第四章一至三節請弟兄姊妹同聲頌讀
[00:02:54.100 --> 00:02:57.380]  這樣乃按肉體作我們
[00:02:57.380 --> 00:03:17.300]  這段經文簡單地說
[00:03:17.300 --> 00:03:20.260]  阿伯拉罕是不是因為行為稱義?
[00:03:20.260 --> 00:03:22.060]  是不是因為他做了些好事
[00:03:22.060 --> 00:03:23.500]  所以神說你配
[00:03:23.500 --> 00:03:24.460]  所以給他?
[00:03:24.460 --> 00:03:25.140]  不是
[00:03:25.140 --> 00:03:26.020]  然後他說
[00:03:26.020 --> 00:03:27.380]  阿伯拉罕信了神
[00:03:27.380 --> 00:03:29.140]  這時候算他為二
[00:03:29.140 --> 00:03:32.340]  是引用《創世紀》第十五章的經文
[00:03:32.340 --> 00:03:35.060]  《創世紀》第十五章的經文這麼說
[00:03:35.060 --> 00:03:38.500]  耶和華帶阿伯蘭去外面看星星
[00:03:38.500 --> 00:03:40.220]  然後你能不能數到?
[00:03:40.220 --> 00:03:41.380]  然後又對他說
[00:03:41.380 --> 00:03:43.660]  你的後裔將要如此
[00:03:43.660 --> 00:03:45.580]  阿伯蘭即是阿伯拉罕
[00:03:45.580 --> 00:03:46.380]  信耶和華
[00:03:46.380 --> 00:03:48.940]  耶和華就以此算為他的二
[00:03:48.940 --> 00:03:50.580]  耶和華又對他說
[00:03:50.580 --> 00:03:51.700]  我是耶和華
[00:03:51.700 --> 00:03:54.060]  曾領你出迦勒底的吾爾
[00:03:54.060 --> 00:03:56.060]  我要將這塊地賜給你
[00:03:56.060 --> 00:03:56.940]  在那一天
[00:03:56.940 --> 00:03:59.300]  耶和華與阿伯蘭納約說
[00:03:59.300 --> 00:04:01.860]  我以賜給你後裔這一片地
[00:04:01.860 --> 00:04:03.900]  從埃及河直到大河
[00:04:03.900 --> 00:04:06.060]  即是幼發拉底河的地
[00:04:06.060 --> 00:04:07.700]  這段經文說甚麼?
[00:04:07.700 --> 00:04:11.500]  嚴格來說
[00:04:11.500 --> 00:04:12.900]  是說有一天
[00:04:12.900 --> 00:04:15.780]  上帝牽著阿伯蘭出去看星星
[00:04:15.780 --> 00:04:16.620]  是不是?
[00:04:16.620 --> 00:04:18.020]  看星星的過程
[00:04:18.020 --> 00:04:20.300]  問阿伯拉罕你能數到多少?
[00:04:20.300 --> 00:04:21.700]  你能數到多少
[00:04:21.700 --> 00:04:25.420]  你的後裔將會如繁星一樣這麼多
[00:04:25.420 --> 00:04:26.820]  然後跟他說
[00:04:26.820 --> 00:04:29.340]  不僅有後裔如繁星
[00:04:29.340 --> 00:04:30.700]  也要給你一塊地
[00:04:30.700 --> 00:04:32.820]  你有人也要有地方居住
[00:04:32.820 --> 00:04:35.820]  原來在創世紀已經有土地的問題
[00:04:35.820 --> 00:04:38.300]  就將迦勒底撥給他
[00:04:38.300 --> 00:04:42.300]  你想想我們剛才說頭三章的重點
[00:04:42.300 --> 00:04:43.020]  是在說罪
