
[00:00:00.000 --> 00:00:04.800]  這篇詩篇記載了詩人一個很坦誠
[00:00:04.800 --> 00:00:08.900]  很真誠的一個心裏的掙扎
[00:00:08.900 --> 00:00:10.100]  這個掙扎是甚麼呢?
[00:00:10.100 --> 00:00:11.200]  這個掙扎就是說
[00:00:11.200 --> 00:00:13.500]  他所理解的神
[00:00:13.500 --> 00:00:17.200]  和他在現實生活上所經驗到的
[00:00:17.200 --> 00:00:19.100]  很大的落差
[00:00:19.100 --> 00:00:20.300]  我相信這個落差
[00:00:20.300 --> 00:00:23.400]  其實都是今天我們生活在這個世界
[00:00:23.400 --> 00:00:26.400]  一個很大的困惑
[00:00:26.400 --> 00:00:27.600]  這個困惑就是說
[00:00:27.600 --> 00:00:30.000]  如果神是真是公義的話
[00:00:30.000 --> 00:00:34.200]  為甚麼惡人不一定有惡報
[00:00:34.200 --> 00:00:38.400]  而好人也不一定有好報
[00:00:38.400 --> 00:00:39.700]  我們今天通過這篇經文
[00:00:39.700 --> 00:00:44.300]  來一同思考這個問題
[00:00:44.300 --> 00:00:48.400]  我們看第一節的經文
[00:00:48.400 --> 00:00:49.500]  第一節的經文講到
[00:00:49.500 --> 00:00:53.000]  神是會恩待清心的人
[00:00:53.000 --> 00:00:55.800]  即是專心尋求神的人
[00:00:55.800 --> 00:00:57.700]  接著在第二節
[00:00:57.700 --> 00:01:00.800]  這個詩人阿薩就說
[00:01:00.800 --> 00:01:02.400]  致於我
[00:01:02.400 --> 00:01:03.500]  意思是甚麼呢?
[00:01:03.500 --> 00:01:05.200]  意思是第一節所講的
[00:01:05.200 --> 00:01:09.700]  並不是阿薩心裏所認同
[00:01:09.700 --> 00:01:13.000]  或是所真心的說話
[00:01:13.000 --> 00:01:16.300]  他很坦白很真誠地去承認
[00:01:16.300 --> 00:01:17.600]  沒錯
[00:01:17.600 --> 00:01:19.200]  這個落差
[00:01:19.200 --> 00:01:22.200]  甚至可以令他差不多失腳
[00:01:22.200 --> 00:01:23.600]  甚麼原因呢?
[00:01:23.600 --> 00:01:27.800]  原因就是因為惡人和狂傲人在平安
[00:01:27.800 --> 00:01:30.700]  故此他心懷不平
[00:01:30.700 --> 00:01:32.800]  原文這個心懷不平
