
[00:00:00.000 --> 00:00:06.600]  好 大家望一望這個做得很好的宣傳的海報
[00:00:06.600 --> 00:00:10.200]  大家不要以為這個是世界盃
[00:00:10.200 --> 00:00:12.800]  這個不是世界盃的宣傳
[00:00:12.800 --> 00:00:18.200]  其實 蘋果大家會不會知道是什麼顏色
[00:00:18.200 --> 00:00:21.800]  你見過什麼顏色的蘋果
[00:00:21.800 --> 00:00:25.800]  綠色 紅色 有沒有見過金色的蘋果
[00:00:25.800 --> 00:00:28.000]  今天介紹給你認識金色的蘋果
[00:00:28.000 --> 00:00:31.000]  根據最新的科學的研究告訴我們
[00:00:31.000 --> 00:00:34.200]  有一樣東西正在逐漸消失
[00:00:34.200 --> 00:00:37.600]  就是我們實體講說話的能力
[00:00:37.600 --> 00:00:40.800]  在2007年每一個人平均講的說話
[00:00:40.800 --> 00:00:43.000]  大概是一萬六千個字
[00:00:43.000 --> 00:00:44.800]  到了2019年的時候
[00:00:44.800 --> 00:00:48.800]  這個數字跌到一萬二千八百個字
[00:00:48.800 --> 00:00:51.800]  最令人擔憂的原來就是25歲或以下
[00:00:51.800 --> 00:00:55.000]  最喜歡上網的那些年輕人
[00:00:55.000 --> 00:00:57.000]  最喜歡去社交平台的年輕人
[00:00:57.000 --> 00:00:59.600]  最喜歡玩數碼科技的年輕人
[00:00:59.600 --> 00:01:02.600]  他們越來越少講說話
[00:01:02.600 --> 00:01:04.200]  大家做家長的同不同意
[00:01:04.200 --> 00:01:05.600]  在家裏面是不是發覺
[00:01:05.600 --> 00:01:07.200]  他們幾乎在家裏面
[00:01:07.200 --> 00:01:12.000]  都不知道有沒有講多過十句說話
[00:01:12.000 --> 00:01:14.000]  甚至他們將自己個人的感受
[00:01:14.000 --> 00:01:16.000]  轉化成為符號去代表
[00:01:16.000 --> 00:01:18.400]  甚至是按一個like就算數了
[00:01:18.400 --> 00:01:19.800]  另一方面
[00:01:19.800 --> 00:01:22.200]  過去我們總有一個黑板的印象
[00:01:22.200 --> 00:01:26.400]  就是覺得女人講話總是比男人多
[00:01:26.400 --> 00:01:27.600]  同不同意嗎
[00:01:27.600 --> 00:01:29.400]  以前我們總是這樣想的
[00:01:29.400 --> 00:01:32.400]  但是原來在2007年的報告告訴我們
[00:01:32.400 --> 00:01:33.800]  不是這樣的
[00:01:33.800 --> 00:01:35.800]  男和女講話的數字
[00:01:35.800 --> 00:01:37.600]  其實是差不多的
[00:01:37.600 --> 00:01:40.200]  不過最近有一個最新的調查
[00:01:40.200 --> 00:01:42.800]  就是訪問了這四個國家
[00:01:42.800 --> 00:01:45.600]  跨越了十歲到九十四歲
[00:01:45.600 --> 00:01:48.000]  大型的一個研究
[00:01:48.000 --> 00:01:50.400]  就發現喜歡不喜歡講說話
[00:01:50.400 --> 00:01:53.400]  原來是取決於人生階段的
[00:01:53.400 --> 00:01:56.400]  而在二十五歲到六十四歲
[00:01:56.400 --> 00:01:59.800]  這個成家立業的人生黃金的階段
[00:01:59.800 --> 00:02:03.200]  女人平均是每天講
[00:02:03.200 --> 00:02:04.400]  你猜多少個字
[00:02:04.400 --> 00:02:07.000]  是二萬二千個字
[00:02:07.000 --> 00:02:09.000]  差不多是二萬二千個字
[00:02:09.000 --> 00:02:10.200]  從你起床到今天
[00:02:10.200 --> 00:02:12.000]  不知道你講了多少個字
[00:02:12.000 --> 00:02:14.800]  如果你是這個年數裏面的姐妹們
[00:02:14.800 --> 00:02:20.200]  男人竟然只有一萬八千五百個字左右
[00:02:20.200 --> 00:02:24.600]  所以女性多了差不多三千個字或以上
[00:02:24.600 --> 00:02:28.800]  我們講說話的減少
[00:02:28.800 --> 00:02:31.200]  其實正正是代表著
[00:02:31.200 --> 00:02:34.200]  可能在這個時代
[00:02:34.200 --> 00:02:36.600]  年輕人真的很不喜歡講話
[00:02:36.600 --> 00:02:38.600]  女人講說話多了
[00:02:38.600 --> 00:02:41.200]  在這個年歲裏面的女士多了
[00:02:41.200 --> 00:02:44.000]  其實大概是因為她們那個年齡層
[00:02:44.000 --> 00:02:45.600]  可能真的又要照顧家庭
[00:02:45.600 --> 00:02:46.800]  又要工作
[00:02:46.800 --> 00:02:50.800]  她們講說話真的多一點是明白的
[00:02:50.800 --> 00:02:52.400]  但我們要明白一件事
[00:02:52.400 --> 00:02:55.600]  說話多不等於講得對
[00:02:55.600 --> 00:02:59.000]  說話少也不等於合宜
[00:02:59.000 --> 00:03:00.600]  有時候還要配合你的身份
[00:03:00.600 --> 00:03:03.200]  有沒有合乎聖經的教導
[00:03:03.200 --> 00:03:05.400]  看看你的身份是否願意講這個說話
[00:03:05.400 --> 00:03:07.400]  還有你講的話是否合理
[00:03:07.400 --> 00:03:09.600]  前兩三天是否太古城
[00:03:09.600 --> 00:03:12.400]  發生了一宗很不開心的事件
[00:03:12.400 --> 00:03:15.200]  媽媽和女兒都一起跳樓
[00:03:15.200 --> 00:03:18.000]  據聞是和說話爭吵有關的
[00:03:18.000 --> 00:03:20.000]  可能是為了某些原因
[00:03:20.000 --> 00:03:23.200]  而近期香港的教育界風波不斷
[00:03:23.200 --> 00:03:24.800]  其中一個大家都可能聽過
[00:03:24.800 --> 00:03:29.000]  屯門一個中學的校長帶隊去新加坡
[00:03:29.000 --> 00:03:31.600]  然後在旅遊巴士上跟別人爆粗
[00:03:31.600 --> 00:03:34.200]  結果現在應該是被人解僱了
[00:03:34.200 --> 00:03:35.400]  他本來想辭職的
[00:03:35.400 --> 00:03:36.600]  後來辭都不用辭了
[00:03:36.600 --> 00:03:37.800]  被人解僱了
[00:03:37.800 --> 00:03:39.800]  但最近有一個不知哪個中學的
[00:03:39.800 --> 00:03:43.000]  孔什麼中學的周什麼校長
[00:03:43.000 --> 00:03:47.400]  被指用一些很侮辱女性的字眼
[00:03:47.400 --> 00:03:49.000]  說那些女學生
[00:03:49.000 --> 00:03:53.400]  而且用一些不當的言辭來對待教師
