
[00:00:00.000 --> 00:00:03.240]  各位靈魂姐妹朋友們早安
[00:00:03.240 --> 00:00:04.840]  今天第一個禮拜
[00:00:04.840 --> 00:00:06.860]  我都要講這個
[00:00:06.860 --> 00:00:09.800]  今年教會的主題
[00:00:09.800 --> 00:00:11.800]  今天教會的主題是
[00:00:11.800 --> 00:00:16.700]  靈魂體的心勝合一
[00:00:16.700 --> 00:00:20.500]  我特別要講一下
[00:00:20.500 --> 00:00:22.460]  到底什麼叫靈魂體
[00:00:22.460 --> 00:00:24.960]  還有過去我們講過
[00:00:24.960 --> 00:00:27.860]  關於靈魂體心勝合一的信息
[00:00:27.860 --> 00:00:30.600]  很快地講一下
[00:00:30.600 --> 00:00:33.000]  然後我們就要進入
[00:00:33.000 --> 00:00:38.240]  今天要講的靈魂體得健全
[00:00:38.240 --> 00:00:40.000]  有四招
[00:00:40.000 --> 00:00:43.940]  就好像武林祕笈一樣
[00:00:43.940 --> 00:00:45.400]  那四招
[00:00:45.400 --> 00:00:49.900]  可以讓你的靈魂體能夠健全起來
[00:00:49.900 --> 00:00:53.200]  我們先要講領受聖餐
[00:00:53.200 --> 00:00:56.860]  聖餐不只是吃個這個餅
[00:00:56.860 --> 00:00:58.160]  也沒有什麼好吃
[00:00:58.160 --> 00:01:00.640]  喝這麼一點葡萄汁
[00:01:00.640 --> 00:01:02.360]  也沒有什麼好喝
[00:01:02.360 --> 00:01:06.500]  乃是領受祂的身體
[00:01:06.500 --> 00:01:08.100]  祂的保險
[00:01:08.100 --> 00:01:12.500]  祂可以讓我們身體能夠健康起來
[00:01:12.500 --> 00:01:14.160]  我領受了這麼多年
[00:01:14.160 --> 00:01:16.600]  越來越健康
[00:01:16.600 --> 00:01:20.500]  當然我們要來看第四大的池子
[00:01:20.500 --> 00:01:23.640]  在耶路撒冷城
[00:01:23.640 --> 00:01:27.160]  在獅子門那邊有五個廊子
[00:01:27.160 --> 00:01:30.640]  還有一個巴塞的這個池子
[00:01:30.640 --> 00:01:32.660]  按照猶太人的講是說
[00:01:32.660 --> 00:01:35.500]  這個池子當水一動的時候
[00:01:35.500 --> 00:01:37.660]  你下去 第一個下去
[00:01:37.660 --> 00:01:41.360]  病就要得醫治
[00:01:41.360 --> 00:01:44.360]  然後我們要講
[00:01:44.360 --> 00:01:46.360]  我們要靈魂體健全
[00:01:46.360 --> 00:01:51.760]  我們真的也要來求神賜給我們約瑟的恩高
[00:01:51.760 --> 00:01:55.100]  The anointing of Joseph
[00:01:55.100 --> 00:01:57.540]  約瑟我們都知道
[00:01:57.540 --> 00:02:00.740]  他家孩子
[00:02:00.740 --> 00:02:02.060]  他幾乎是最小的
[00:02:02.060 --> 00:02:04.100]  他是第十一的
[00:02:04.100 --> 00:02:07.140]  他最得爸爸媽媽的喜歡
[00:02:07.140 --> 00:02:12.540]  但是卻被其他的弟兄所嫉妒
[00:02:12.540 --> 00:02:16.100]  甚至把他賣去做奴隸
[00:02:16.100 --> 00:02:21.140]  但是他一路從採醫變成求醫
[00:02:21.140 --> 00:02:27.860]  從奴隸最後做到了宰相
[00:02:27.860 --> 00:02:30.540]  這個恩高我們要來領受他
[00:02:30.540 --> 00:02:32.860]  我們要來學
[00:02:32.860 --> 00:02:36.900]  然後第四點我要講生命的果子
[00:02:36.900 --> 00:02:40.740]  我們要靈魂體得健全
[00:02:40.740 --> 00:02:46.840]  我們真的生命的果子我們要來吃
[00:02:46.840 --> 00:02:50.840]  為什麼說生命樹的果子這麼重要呢
[00:02:50.840 --> 00:02:53.460]  如果你去看創世紀
[00:02:53.460 --> 00:02:55.840]  他不是特別講說
[00:02:55.840 --> 00:03:00.900]  神說原子中有兩棵有許多果樹都可以吃
[00:03:00.900 --> 00:03:02.460]  唯獨其中有兩棵
[00:03:02.460 --> 00:03:05.760]  一棵叫做分別善惡樹
[00:03:05.760 --> 00:03:07.600]  或者叫智慧樹
[00:03:07.600 --> 00:03:08.440]  你不可以吃
[00:03:08.440 --> 00:03:10.960]  吃了那日必定死
[00:03:10.960 --> 00:03:13.560]  然後另外一棵就是生命樹
