
[00:00:00.000 --> 00:00:05.300]  今天和大家分享的經文是《約書亞記》二章一至七節。
[00:00:05.300 --> 00:00:09.700]  今天和大家分享的經文是《約書亞記》第二章一到七節。
[00:00:09.700 --> 00:00:16.400]  和大家分享今天這段經文的時候,我講道也想了一下,究竟這段聖經的講題應該是怎樣定。
[00:00:16.400 --> 00:00:22.000]  所以當我講這段經文的時候,我想這個講題的題目應該如何定。
[00:00:22.000 --> 00:00:30.700]  最後我落了的就是這個題目叫探子與耶利哥第一講,或者叫上講,分成兩講的。
[00:00:30.700 --> 00:00:37.200]  是不是真的可以憑著講方言去生活,這種方法是不是容許的呢,聖經。
[00:00:37.200 --> 00:00:44.400]  所以我今天講探子與耶利哥第一講,就憑方言生活是否允許呢?
[00:00:44.400 --> 00:00:48.400]  我有想過有別的題目,我有想過有其他題目。
[00:00:48.400 --> 00:00:53.100]  似乎後面我想過都幾能夠吸引人的。
[00:00:53.100 --> 00:00:56.000]  其實我也想過一些題目可能會很吸引人的。
[00:00:56.000 --> 00:01:00.400]  包括就是聖經是容許我們去召妓的。
[00:01:00.400 --> 00:01:03.000]  聖經允許我們去召妓嗎?
[00:01:03.000 --> 00:01:07.800]  不過我覺得這些題目就太過譁眾取寵,所以我後面都沒有用到。
[00:01:07.800 --> 00:01:11.400]  我覺得這題目有點譁眾取寵,我自己也沒有用到。
[00:01:11.400 --> 00:01:16.200]  因為這段聖經很多時候信徒誤用的都是講關於方言的問題。
[00:01:16.200 --> 00:01:20.000]  聖經很多時候誤用的都是講關於方言的問題。
[00:01:20.000 --> 00:01:25.400]  就讓我們今天去透過這段聖經看看,是不是這段聖經想講教我們,是不是講方言都可以呢?
[00:01:25.400 --> 00:01:29.700]  就是說,這件事情是不是教導我們說謊也可以呢?
[00:01:29.700 --> 00:01:31.700]  但是我們還沒有回到這段聖經之前,
[00:01:31.700 --> 00:01:37.200]  我想和大家分享一些我在加拿大生活這麼多年的日子的一些經驗。
[00:01:37.200 --> 00:01:43.200]  在沒有入題的時候,我想和大家分享我在加拿大生活這麼多年的一些經驗。
[00:01:43.200 --> 00:01:46.700]  加拿大冬天比夏天還要長。
[00:01:46.700 --> 00:01:49.200]  在加拿大冬天比夏天還要長。
[00:01:49.200 --> 00:01:53.200]  加拿大的冬天比夏天還要長,就是暖的日子很多。
[00:01:53.200 --> 00:01:58.200]  就是說天冷的日子比天冷的日子要長。
[00:01:58.200 --> 00:02:02.700]  過去這一年冬天還沒有完,不過下雪了很多。
[00:02:02.700 --> 00:02:08.500]  過去這一年下雪很多,冬的日子很多,天寒地凍的日子也很多。
[00:02:08.500 --> 00:02:16.000]  我相信在加拿大沒有一個人會否認冬的日子是大家不喜歡過的日子。
[00:02:16.000 --> 00:02:21.200]  就是說沒有人會否認說天凍的日子是人所喜歡的。
[00:02:21.200 --> 00:02:23.200]  因為日頭又短。
[00:02:23.200 --> 00:02:25.200]  因為日頭又短。
[00:02:25.200 --> 00:02:27.200]  有日光的時間又少。
[00:02:27.200 --> 00:02:29.200]  日照時間也很少。
