
[00:00:00.000 --> 00:00:02.000]  今天到《狼物書》第64講
[00:00:02.000 --> 00:00:05.000]  只要祝福,以善勝惡
[00:00:05.000 --> 00:00:07.000]  《狼物書》第62章講到
[00:00:07.000 --> 00:00:09.000]  基督的生命,恩順清爾人
[00:00:09.000 --> 00:00:13.000]  如何活出基督特別夢神氣熱的生命
[00:00:13.000 --> 00:00:15.000]  其中基督有一個很大的挑戰
[00:00:15.000 --> 00:00:16.000]  就是面對衝突
[00:00:16.000 --> 00:00:17.000]  或者用聖經的字眼
[00:00:17.000 --> 00:00:18.000]  面對迫迫
[00:00:18.000 --> 00:00:21.000]  有人去害你、針對你、傷害你的時候
[00:00:21.000 --> 00:00:22.000]  你如何回應呢?
[00:00:22.000 --> 00:00:23.000]  聖經教導我們
[00:00:23.000 --> 00:00:26.000]  當有人針對我們、迫迫我們的時候
[00:00:26.000 --> 00:00:29.000]  我們要只有祝福,以善勝惡
[00:00:29.000 --> 00:00:30.000]  我們看今天經文
[00:00:30.000 --> 00:00:32.000]  《狼物書》十二章十四到二十一節
[00:00:32.000 --> 00:00:35.000]  我請弟兄讀雙數節,姊妹讀單數節
[00:00:35.000 --> 00:00:38.000]  迫不理門的,要給他們祝福
[00:00:38.000 --> 00:00:41.000]  只要祝福,不可奏坐
[00:00:41.000 --> 00:00:49.000]  要彼此同心,不要志氣高大
[00:00:49.000 --> 00:00:51.000]  倒以苦就卑微的人
[00:00:51.000 --> 00:00:54.000]  不要自以為聰明
[00:00:54.000 --> 00:01:03.000]  若是能行,總要盡力與眾人和睦
[00:01:03.000 --> 00:01:19.000]  所以你的仇敵若餓了就給他吃
[00:01:19.000 --> 00:01:21.000]  若渴了就給他喝
[00:01:21.000 --> 00:01:31.000]  因為你這樣行,就是把炭火堆在他的頭上
[00:01:31.000 --> 00:01:32.000]  今天經文裡面說到
[00:01:32.000 --> 00:01:34.000]  基督有一個很重要的特質
[00:01:34.000 --> 00:01:40.000]  就是一個只有祝福、只有美善、只討神喜悅的特質
[00:01:40.000 --> 00:01:43.000]  基督有些牧者說到
[00:01:43.000 --> 00:01:45.000]  《狼物書》第十二章
[00:01:45.000 --> 00:01:48.000]  有三個基本的屬靈素質
[00:01:48.000 --> 00:01:51.000]  堅持真誠的愛
[00:01:51.000 --> 00:01:54.000]  堅持恨惡罪惡
[00:01:54.000 --> 00:01:56.000]  堅持活出美善
