
[00:00:00.000 --> 00:00:02.800]  這次從印度回來
[00:00:02.800 --> 00:00:04.700]  雖然還是身體蠻軟弱
[00:00:04.700 --> 00:00:07.500]  但是心裏還是蠻興奮的
[00:00:07.500 --> 00:00:10.100]  因爲回來看見建堂工程
[00:00:10.100 --> 00:00:11.600]  真的有很大的進展
[00:00:11.600 --> 00:00:16.500]  上禮拜五市內的水泥已經通通鋪好了
[00:00:16.500 --> 00:00:18.000]  一層層的階梯
[00:00:18.000 --> 00:00:20.700]  現在非常清楚都能夠看得見
[00:00:20.700 --> 00:00:22.000]  所以我們正在安排
[00:00:22.000 --> 00:00:24.300]  希望在五月份有機會
[00:00:24.300 --> 00:00:27.500]  讓大家能夠一同進入到工地裏面
[00:00:27.500 --> 00:00:29.000]  實際參觀一下
[00:00:29.000 --> 00:00:31.000]  你一定會非常興奮的
[00:00:31.000 --> 00:00:32.000]  Amen
[00:00:32.000 --> 00:00:38.500]  當我看見新堂一天天靠近完成的時候
[00:00:38.500 --> 00:00:41.000]  這種感觸真的很多
[00:00:41.000 --> 00:00:42.500]  回想這二十多年來
[00:00:42.500 --> 00:00:46.000]  生命河真的從一個很小的開始
[00:00:46.000 --> 00:00:48.000]  成長到如今
[00:00:48.000 --> 00:00:49.000]  二十多年前
[00:00:49.000 --> 00:00:52.500]  我們怎麼想得到今天的景況呢
[00:00:52.500 --> 00:00:57.500]  神的帶領永遠超過我們所求所想的不是嗎
[00:00:57.500 --> 00:01:02.000]  當時我們所想的只是一個堂會而已
[00:01:02.000 --> 00:01:06.000]  神所想的卻是一個movement
[00:01:06.000 --> 00:01:10.000]  當時我們所想到的只是怎麼樣成長
[00:01:10.000 --> 00:01:14.000]  神所想到的卻是影響力
[00:01:14.000 --> 00:01:17.000]  當我回顧這些年來我們所走過的路
[00:01:17.000 --> 00:01:21.000]  我真是不能夠不心存敬畏
[00:01:21.000 --> 00:01:23.000]  因爲生命河的意象
[00:01:23.000 --> 00:01:29.000]  真是遠遠大過我們當時所領會所能夠想象
[00:01:29.000 --> 00:01:34.000]  生命河不但指的一個信徒屬靈成長的更新
[00:01:34.000 --> 00:01:38.500]  不但是指的一個教會的增長跟復興
[00:01:38.500 --> 00:01:43.500]  生命河更是一個影響世代轉化城市的管道
[00:01:43.500 --> 00:01:45.000]  Amen
[00:01:45.000 --> 00:01:48.000]  事實上這個意象的範圍
[00:01:48.000 --> 00:01:54.000]  也是遠大過於我們過去傳統教會所能夠領會的
[00:01:54.000 --> 00:02:01.000]  你知道在過去中國教會那種傳統教會對教會觀的這種觀念裏面
[00:02:01.000 --> 00:02:03.000]  我們所想到的教會
[00:02:03.000 --> 00:02:07.000]  我們只想到我們自己的滿足得以需要而已
[00:02:07.000 --> 00:02:10.000]  就像保羅剛纔念在聖經裏面所說的
[00:02:10.000 --> 00:02:13.000]  他說我聽見你們信從主耶穌
[00:02:13.000 --> 00:02:15.000]  親愛衆聖徒
[00:02:15.000 --> 00:02:20.000]  我請問你教會的信徒能夠信從主耶穌
[00:02:20.000 --> 00:02:23.000]  親愛衆聖徒好不好
[00:02:23.000 --> 00:02:24.000]  好
[00:02:24.000 --> 00:02:25.000]  這已經是模範教會了
[00:02:25.000 --> 00:02:27.000]  你看一個教會能夠信從主耶穌
[00:02:27.000 --> 00:02:28.000]  親愛衆聖徒
[00:02:28.000 --> 00:02:30.000]  這已經是模範教會了
[00:02:30.000 --> 00:02:32.000]  可是保羅說no no no
[00:02:32.000 --> 00:02:34.000]  不能夠停留在這裏
[00:02:34.000 --> 00:02:38.000]  保羅說我要求神開你們的眼睛
[00:02:38.000 --> 00:02:40.000]  讓你們真知道祂
[00:02:40.000 --> 00:02:45.000]  換句話說信從主耶穌親愛衆聖徒只不過是起點
[00:02:45.000 --> 00:02:47.000]  眼睛還沒打開
[00:02:47.000 --> 00:02:49.000]  你以爲已經是很好了
[00:02:49.000 --> 00:02:51.000]  事實上保羅說你眼睛還沒打開
[00:02:51.000 --> 00:02:53.000]  我要求神開你的眼睛
[00:02:53.000 --> 00:02:56.000]  能夠真知道祂
[00:02:56.000 --> 00:02:58.000]  知道什麼呢
[00:02:58.000 --> 00:03:02.000]  知道祂的恩昭有何等的指望
[00:03:02.000 --> 00:03:06.000]  知道神所要做的工作是何等的榮耀
[00:03:06.000 --> 00:03:11.000]  知道祂在我們身上顯得能力是何等的浩大
