
[00:00:00.000 --> 00:00:06.140]  我們繼續看約拿書《識經》講到系列第四講重生的約拿
[00:00:06.140 --> 00:00:10.000]  經文記在第三章第1到第4節
[00:00:10.000 --> 00:00:11.000]  經文這樣說:
[00:00:11.000 --> 00:00:14.000]  她說:「耀華的話,二次臨到約拿說:
[00:00:14.000 --> 00:00:17.000]  你起來往尼尼眉大城去,
[00:00:17.000 --> 00:00:21.000]  向其中的居民宣告我所吩咐你的話。」
[00:00:21.000 --> 00:00:22.000]  第三節:
[00:00:22.000 --> 00:00:25.500]  「約拿便照耀華的話,起來往尼尼眉去,
[00:00:25.500 --> 00:00:29.500]  這尼尼眉是極大的城,有三日的路程。」
[00:00:29.500 --> 00:00:33.000]  約拿進城走了一日,
[00:00:33.000 --> 00:00:34.000]  宣告說:
[00:00:34.000 --> 00:00:38.500]  「再等四十日,尼尼眉必傾覆了。」
[00:00:38.500 --> 00:00:43.000]  我們會透過約拿書這幾節的經文去學習三條一
[00:00:43.000 --> 00:00:46.000]  第一條一就是「再一次的機會」
[00:00:46.000 --> 00:00:48.000]  留意第三章的第一節
[00:00:48.000 --> 00:00:52.000]  這裡不是說「耀華的話,二次臨到約拿」嗎?
[00:00:52.000 --> 00:00:53.500]  如果你很記性的話
[00:00:53.500 --> 00:00:57.000]  你大概仍然會記得第一章第一節
[00:00:57.000 --> 00:00:59.000]  約拿書第一章第一節
[00:00:59.000 --> 00:01:04.000]  「耀華的話,臨到亞美泰的兒子約拿說」
[00:01:04.000 --> 00:01:07.000]  有沒有發現多了些什麼?少了些什麼?
[00:01:07.000 --> 00:01:11.500]  多了的顯然就是「第二次」這個字
[00:01:11.500 --> 00:01:16.000]  少了的就是「約拿的父親亞美泰」這個名字
[00:01:16.000 --> 00:01:17.000]  當然不需要再提
[00:01:17.000 --> 00:01:19.000]  因為第一章第一節已經提了
[00:01:19.000 --> 00:01:23.000]  反而這裡多了的就是「第二次」這個字
[00:01:23.000 --> 00:01:26.000]  這個字的意思就是等於「再次」
[00:01:26.000 --> 00:01:29.500]  換句話說,已經先前有了一次
[00:01:29.500 --> 00:01:33.000]  但是那一次就是約拿書的第一章第一節
[00:01:33.000 --> 00:01:36.500]  那一次約拿沒有執行耶和華的吩咐
