
[00:00:00.000 --> 00:00:02.000]  弟兄姊妹祖籍平安
[00:00:02.000 --> 00:00:04.000]  感謝神
[00:00:04.000 --> 00:00:06.000]  我們今天又能夠來到祂的面前
[00:00:06.000 --> 00:00:09.000]  一起來學習祂的話
[00:00:09.000 --> 00:00:13.000]  今天我們要跟弟兄姊妹分享的
[00:00:13.000 --> 00:00:16.000]  還是繼續這個主耶穌
[00:00:16.000 --> 00:00:21.000]  祂的生活跟工作過的五個村莊
[00:00:21.000 --> 00:00:24.000]  我們在講過第一個
[00:00:24.000 --> 00:00:25.000]  講過第二個
[00:00:25.000 --> 00:00:27.000]  第一個是玻璃痕
[00:00:27.000 --> 00:00:31.000]  玻璃痕是主耶穌降生的地方
[00:00:31.000 --> 00:00:36.000]  第二個是納撒勒
[00:00:36.000 --> 00:00:39.000]  是祂成長的地方
[00:00:39.000 --> 00:00:42.000]  現在我們還有三個
[00:00:42.000 --> 00:00:47.000]  加布隆是祂工作的地方
[00:00:47.000 --> 00:00:56.000]  波大尼是祂得到信徒尊敬和敬愛的地方
[00:00:56.000 --> 00:01:00.000]  是像爲祂的家一樣的
[00:01:00.000 --> 00:01:03.000]  第五個最後一個是以馬務師
[00:01:03.000 --> 00:01:08.000]  就講到在主耶穌復活以後
[00:01:08.000 --> 00:01:15.000]  祂在路上碰到兩個灰心
[00:01:15.000 --> 00:01:17.000]  要離開耶路撒冷的盟徒
[00:01:17.000 --> 00:01:22.000]  在一路上跟他們講聖經的真理
[00:01:22.000 --> 00:01:24.000]  他們就醒悟過來
[00:01:24.000 --> 00:01:27.000]  他們就回到耶路撒冷去
[00:01:27.000 --> 00:01:29.000]  這五個呢
[00:01:29.000 --> 00:01:34.000]  玻璃痕、納撒勒、加布隆
[00:01:34.000 --> 00:01:38.000]  還有波大尼和以馬務師
[00:01:38.000 --> 00:01:42.000]  這五個可以代表主耶穌在地上的一生
[00:01:42.000 --> 00:01:44.000]  祂所經過的路程
[00:01:44.000 --> 00:01:49.000]  所以我們從這個五個地方來思想主耶穌
[00:01:49.000 --> 00:01:51.000]  可以給我們看見
[00:01:51.000 --> 00:01:53.000]  祂是神的兒子
[00:01:53.000 --> 00:01:55.000]  爲了成就神的旨意
[00:01:55.000 --> 00:01:58.000]  祂來到地上成就
[00:01:58.000 --> 00:02:01.000]  爲我們服侍我們
[00:02:01.000 --> 00:02:04.000]  爲我們的罪定在十家
[00:02:04.000 --> 00:02:06.000]  祂復活昇天
[00:02:06.000 --> 00:02:08.000]  祂成爲我們的救主
[00:02:08.000 --> 00:02:12.000]  將來還要再來接我們到祂那裏去
[00:02:12.000 --> 00:02:15.000]  所以我們看到這個玻璃痕
[00:02:15.000 --> 00:02:17.000]  看了這個納撒勒
[00:02:17.000 --> 00:02:21.000]  今天我們要看到這個加布隆
[00:02:21.000 --> 00:02:24.000]  我們讀弟兄姊妹
[00:02:24.000 --> 00:02:26.000]  給弟兄姊妹讀一節聖經
[00:02:26.000 --> 00:02:31.000]  就在《馬太福音》十二章十八節
[00:02:31.000 --> 00:02:35.000]  《馬太福音》十二章十八節
[00:02:35.000 --> 00:02:40.000]  看哪我的僕人
[00:02:40.000 --> 00:02:45.000]  我所揀血、所親愛、心裏所喜悅的
[00:02:45.000 --> 00:02:49.000]  我要將我的靈賜給他
[00:02:49.000 --> 00:02:53.000]  他必將公理傳給外邦
[00:02:53.000 --> 00:02:57.000]  他不增敬、不喧嚷
[00:02:57.000 --> 00:03:01.000]  街上也沒有人聽見他的聲音
[00:03:01.000 --> 00:03:04.000]  鴉傷的蘆葦他不折斷
[00:03:04.000 --> 00:03:07.000]  江山的燈火他不吹滅
[00:03:07.000 --> 00:03:09.000]  等他施行公理
[00:03:09.000 --> 00:03:11.000]  叫公理得勝
[00:03:11.000 --> 00:03:15.000]  外邦人都要仰望他的名
[00:03:15.000 --> 00:03:19.000]  這是以賽亞書裏頭的寓言
[00:03:19.000 --> 00:03:21.000]  講到主耶穌來的話
[00:03:21.000 --> 00:03:24.000]  是像神的虎倫一樣的
[00:03:24.000 --> 00:03:26.000]  他要將
[00:03:26.000 --> 00:03:28.000]  把公理
[00:03:28.000 --> 00:03:30.000]  叫公理得勝
[00:03:30.000 --> 00:03:34.000]  叫外邦人都來仰望他的名
[00:03:34.000 --> 00:03:36.000]  我們就
[00:03:36.000 --> 00:03:40.000]  今天要從這個主耶穌生活過的
[00:03:40.000 --> 00:03:42.000]  五個村莊裏頭的
[00:03:42.000 --> 00:03:45.000]  第三個加珀農
[00:03:45.000 --> 00:03:49.000]  來看看耶穌在地上所行的
[00:03:49.000 --> 00:03:51.000]  他所說的
[00:03:51.000 --> 00:03:54.000]  我們先低頭有點禱告
[00:03:54.000 --> 00:03:56.000]  愛我們的父生
